dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 8
workers: 4
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
VQ: bsq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 4
data_pre: CelebAHQ
model_pre: model_16_2
loss_pre: loss_1.0
training_pre: bsq
saver_name_pre: bsq_CelebAHQ_model_16_2_loss_1.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/3750] loss 1.0024, rec_loss 0.2270, p_loss 0.7600, utilization 0.0127, perplexity 114.5064,
Train Epoch: [1/30] Iters:[20/3750] loss 0.9049, rec_loss 0.1613, p_loss 0.7316, utilization 0.0080, perplexity 62.6034,
Train Epoch: [1/30] Iters:[30/3750] loss 0.8556, rec_loss 0.1336, p_loss 0.7110, utilization 0.0064, perplexity 45.8365,
Train Epoch: [1/30] Iters:[40/3750] loss 0.8275, rec_loss 0.1178, p_loss 0.6995, utilization 0.0057, perplexity 37.5685,
Train Epoch: [1/30] Iters:[50/3750] loss 0.8080, rec_loss 0.1064, p_loss 0.6918, utilization 0.0054, perplexity 33.1140,
Train Epoch: [1/30] Iters:[60/3750] loss 0.7517, rec_loss 0.0719, p_loss 0.6712, utilization 0.0039, perplexity 14.1906,
Train Epoch: [1/30] Iters:[70/3750] loss 0.7274, rec_loss 0.0627, p_loss 0.6559, utilization 0.0046, perplexity 17.0267,
Train Epoch: [1/30] Iters:[80/3750] loss 0.7073, rec_loss 0.0551, p_loss 0.6431, utilization 0.0053, perplexity 20.4639,
Train Epoch: [1/30] Iters:[90/3750] loss 0.6837, rec_loss 0.0497, p_loss 0.6240, utilization 0.0065, perplexity 26.0706,
Train Epoch: [1/30] Iters:[100/3750] loss 0.6515, rec_loss 0.0451, p_loss 0.5956, utilization 0.0074, perplexity 31.0261,
Train Epoch: [1/30] Iters:[110/3750] loss 0.6181, rec_loss 0.0413, p_loss 0.5653, utilization 0.0082, perplexity 36.9790,
Train Epoch: [1/30] Iters:[120/3750] loss 0.5896, rec_loss 0.0386, p_loss 0.5389, utilization 0.0090, perplexity 45.0202,
Train Epoch: [1/30] Iters:[130/3750] loss 0.5636, rec_loss 0.0370, p_loss 0.5142, utilization 0.0097, perplexity 52.3233,
Train Epoch: [1/30] Iters:[140/3750] loss 0.5364, rec_loss 0.0342, p_loss 0.4897, utilization 0.0099, perplexity 57.4820,
Train Epoch: [1/30] Iters:[150/3750] loss 0.5217, rec_loss 0.0326, p_loss 0.4766, utilization 0.0102, perplexity 62.6750,
Train Epoch: [1/30] Iters:[160/3750] loss 0.5044, rec_loss 0.0312, p_loss 0.4606, utilization 0.0105, perplexity 69.2076,
Train Epoch: [1/30] Iters:[170/3750] loss 0.4898, rec_loss 0.0291, p_loss 0.4482, utilization 0.0104, perplexity 70.4865,
Train Epoch: [1/30] Iters:[180/3750] loss 0.4765, rec_loss 0.0286, p_loss 0.4352, utilization 0.0108, perplexity 74.7466,
Train Epoch: [1/30] Iters:[190/3750] loss 0.4668, rec_loss 0.0285, p_loss 0.4257, utilization 0.0111, perplexity 79.1640,
Train Epoch: [1/30] Iters:[200/3750] loss 0.4549, rec_loss 0.0277, p_loss 0.4144, utilization 0.0115, perplexity 85.0248,
Train Epoch: [1/30] Iters:[210/3750] loss 0.4503, rec_loss 0.0279, p_loss 0.4095, utilization 0.0117, perplexity 88.8189,
Train Epoch: [1/30] Iters:[220/3750] loss 0.4463, rec_loss 0.0286, p_loss 0.4046, utilization 0.0122, perplexity 93.5910,
Train Epoch: [1/30] Iters:[230/3750] loss 0.4415, rec_loss 0.0283, p_loss 0.4002, utilization 0.0126, perplexity 95.1056,
Train Epoch: [1/30] Iters:[240/3750] loss 0.4439, rec_loss 0.0278, p_loss 0.4030, utilization 0.0131, perplexity 99.0593,
Train Epoch: [1/30] Iters:[250/3750] loss 0.4433, rec_loss 0.0284, p_loss 0.4018, utilization 0.0136, perplexity 103.1491,
Train Epoch: [1/30] Iters:[260/3750] loss 0.4345, rec_loss 0.0270, p_loss 0.3945, utilization 0.0141, perplexity 104.2202,
Train Epoch: [1/30] Iters:[270/3750] loss 0.4232, rec_loss 0.0254, p_loss 0.3849, utilization 0.0144, perplexity 108.5351,
Train Epoch: [1/30] Iters:[280/3750] loss 0.4182, rec_loss 0.0243, p_loss 0.3808, utilization 0.0149, perplexity 112.1864,
Train Epoch: [1/30] Iters:[290/3750] loss 0.4098, rec_loss 0.0239, p_loss 0.3727, utilization 0.0155, perplexity 117.6784,
Train Epoch: [1/30] Iters:[300/3750] loss 0.4005, rec_loss 0.0226, p_loss 0.3648, utilization 0.0159, perplexity 122.1895,
Train Epoch: [1/30] Iters:[310/3750] loss 0.4013, rec_loss 0.0229, p_loss 0.3653, utilization 0.0164, perplexity 125.4492,
Train Epoch: [1/30] Iters:[320/3750] loss 0.4010, rec_loss 0.0239, p_loss 0.3638, utilization 0.0169, perplexity 129.5109,
Train Epoch: [1/30] Iters:[330/3750] loss 0.3955, rec_loss 0.0242, p_loss 0.3580, utilization 0.0172, perplexity 132.5424,
Train Epoch: [1/30] Iters:[340/3750] loss 0.3890, rec_loss 0.0239, p_loss 0.3519, utilization 0.0175, perplexity 133.5751,
Train Epoch: [1/30] Iters:[350/3750] loss 0.3906, rec_loss 0.0241, p_loss 0.3531, utilization 0.0184, perplexity 140.3750,
Train Epoch: [1/30] Iters:[360/3750] loss 0.3878, rec_loss 0.0240, p_loss 0.3504, utilization 0.0190, perplexity 148.8857,
Train Epoch: [1/30] Iters:[370/3750] loss 0.3860, rec_loss 0.0237, p_loss 0.3488, utilization 0.0197, perplexity 156.1618,
Train Epoch: [1/30] Iters:[380/3750] loss 0.3801, rec_loss 0.0230, p_loss 0.3435, utilization 0.0201, perplexity 164.2705,
Train Epoch: [1/30] Iters:[390/3750] loss 0.3749, rec_loss 0.0221, p_loss 0.3391, utilization 0.0205, perplexity 170.2078,
Train Epoch: [1/30] Iters:[400/3750] loss 0.3658, rec_loss 0.0216, p_loss 0.3306, utilization 0.0209, perplexity 176.7337,
Train Epoch: [1/30] Iters:[410/3750] loss 0.3571, rec_loss 0.0207, p_loss 0.3228, utilization 0.0218, perplexity 184.6180,
Train Epoch: [1/30] Iters:[420/3750] loss 0.3513, rec_loss 0.0195, p_loss 0.3180, utilization 0.0222, perplexity 191.9714,
Train Epoch: [1/30] Iters:[430/3750] loss 0.3488, rec_loss 0.0193, p_loss 0.3156, utilization 0.0233, perplexity 199.5830,
Train Epoch: [1/30] Iters:[440/3750] loss 0.3491, rec_loss 0.0201, p_loss 0.3150, utilization 0.0244, perplexity 215.2487,
Train Epoch: [1/30] Iters:[450/3750] loss 0.3494, rec_loss 0.0208, p_loss 0.3145, utilization 0.0245, perplexity 215.9322,
Train Epoch: [1/30] Iters:[460/3750] loss 0.3464, rec_loss 0.0212, p_loss 0.3111, utilization 0.0248, perplexity 218.9713,
Train Epoch: [1/30] Iters:[470/3750] loss 0.3440, rec_loss 0.0210, p_loss 0.3090, utilization 0.0255, perplexity 225.7072,
Train Epoch: [1/30] Iters:[480/3750] loss 0.3415, rec_loss 0.0201, p_loss 0.3073, utilization 0.0257, perplexity 230.2893,
Train Epoch: [1/30] Iters:[490/3750] loss 0.3406, rec_loss 0.0197, p_loss 0.3068, utilization 0.0261, perplexity 230.8654,
Train Epoch: [1/30] Iters:[500/3750] loss 0.3364, rec_loss 0.0185, p_loss 0.3037, utilization 0.0270, perplexity 241.7657,
Train Epoch: [1/30] Iters:[510/3750] loss 0.3383, rec_loss 0.0181, p_loss 0.3060, utilization 0.0273, perplexity 246.4180,
Train Epoch: [1/30] Iters:[520/3750] loss 0.3359, rec_loss 0.0182, p_loss 0.3035, utilization 0.0278, perplexity 255.9156,
Train Epoch: [1/30] Iters:[530/3750] loss 0.3343, rec_loss 0.0184, p_loss 0.3017, utilization 0.0283, perplexity 264.8467,
Train Epoch: [1/30] Iters:[540/3750] loss 0.3299, rec_loss 0.0179, p_loss 0.2978, utilization 0.0288, perplexity 273.7426,
Train Epoch: [1/30] Iters:[550/3750] loss 0.3265, rec_loss 0.0177, p_loss 0.2944, utilization 0.0297, perplexity 284.8490,
Train Epoch: [1/30] Iters:[560/3750] loss 0.3252, rec_loss 0.0177, p_loss 0.2929, utilization 0.0308, perplexity 303.8756,
Train Epoch: [1/30] Iters:[570/3750] loss 0.3215, rec_loss 0.0173, p_loss 0.2897, utilization 0.0307, perplexity 306.9858,
Train Epoch: [1/30] Iters:[580/3750] loss 0.3198, rec_loss 0.0172, p_loss 0.2879, utilization 0.0317, perplexity 315.0591,
Train Epoch: [1/30] Iters:[590/3750] loss 0.3180, rec_loss 0.0165, p_loss 0.2869, utilization 0.0321, perplexity 317.5802,
Train Epoch: [1/30] Iters:[600/3750] loss 0.3197, rec_loss 0.0165, p_loss 0.2886, utilization 0.0326, perplexity 328.6492,
Train Epoch: [1/30] Iters:[610/3750] loss 0.3149, rec_loss 0.0160, p_loss 0.2842, utilization 0.0331, perplexity 331.8566,
Train Epoch: [1/30] Iters:[620/3750] loss 0.3173, rec_loss 0.0159, p_loss 0.2866, utilization 0.0339, perplexity 340.8291,
Train Epoch: [1/30] Iters:[630/3750] loss 0.3153, rec_loss 0.0159, p_loss 0.2846, utilization 0.0345, perplexity 350.6547,
Train Epoch: [1/30] Iters:[640/3750] loss 0.3122, rec_loss 0.0165, p_loss 0.2807, utilization 0.0350, perplexity 362.7631,
Train Epoch: [1/30] Iters:[650/3750] loss 0.3061, rec_loss 0.0164, p_loss 0.2749, utilization 0.0352, perplexity 363.8504,
Train Epoch: [1/30] Iters:[660/3750] loss 0.3039, rec_loss 0.0165, p_loss 0.2724, utilization 0.0358, perplexity 376.0762,
Train Epoch: [1/30] Iters:[670/3750] loss 0.3000, rec_loss 0.0170, p_loss 0.2681, utilization 0.0364, perplexity 378.3916,
Train Epoch: [1/30] Iters:[680/3750] loss 0.3002, rec_loss 0.0170, p_loss 0.2685, utilization 0.0367, perplexity 376.0205,
Train Epoch: [1/30] Iters:[690/3750] loss 0.2986, rec_loss 0.0164, p_loss 0.2673, utilization 0.0370, perplexity 383.1540,
Train Epoch: [1/30] Iters:[700/3750] loss 0.3023, rec_loss 0.0163, p_loss 0.2710, utilization 0.0377, perplexity 387.8764,
Train Epoch: [1/30] Iters:[710/3750] loss 0.3043, rec_loss 0.0162, p_loss 0.2733, utilization 0.0379, perplexity 388.7372,
Train Epoch: [1/30] Iters:[720/3750] loss 0.3030, rec_loss 0.0155, p_loss 0.2725, utilization 0.0382, perplexity 398.3883,
Train Epoch: [1/30] Iters:[730/3750] loss 0.3007, rec_loss 0.0155, p_loss 0.2701, utilization 0.0388, perplexity 413.7037,
Train Epoch: [1/30] Iters:[740/3750] loss 0.3021, rec_loss 0.0157, p_loss 0.2713, utilization 0.0393, perplexity 411.7823,
Train Epoch: [1/30] Iters:[750/3750] loss 0.2974, rec_loss 0.0156, p_loss 0.2667, utilization 0.0390, perplexity 415.9434,
Train Epoch: [1/30] Iters:[760/3750] loss 0.2944, rec_loss 0.0156, p_loss 0.2637, utilization 0.0393, perplexity 410.5038,
Train Epoch: [1/30] Iters:[770/3750] loss 0.2918, rec_loss 0.0156, p_loss 0.2612, utilization 0.0397, perplexity 417.2385,
Train Epoch: [1/30] Iters:[780/3750] loss 0.2944, rec_loss 0.0155, p_loss 0.2638, utilization 0.0401, perplexity 424.6721,
Train Epoch: [1/30] Iters:[790/3750] loss 0.2924, rec_loss 0.0153, p_loss 0.2620, utilization 0.0407, perplexity 438.3550,
Train Epoch: [1/30] Iters:[800/3750] loss 0.2924, rec_loss 0.0157, p_loss 0.2615, utilization 0.0409, perplexity 437.4530,
Train Epoch: [1/30] Iters:[810/3750] loss 0.2938, rec_loss 0.0158, p_loss 0.2629, utilization 0.0411, perplexity 443.9125,
Train Epoch: [1/30] Iters:[820/3750] loss 0.2932, rec_loss 0.0156, p_loss 0.2624, utilization 0.0412, perplexity 443.0942,
Train Epoch: [1/30] Iters:[830/3750] loss 0.2888, rec_loss 0.0157, p_loss 0.2580, utilization 0.0413, perplexity 448.4072,
Train Epoch: [1/30] Iters:[840/3750] loss 0.2870, rec_loss 0.0156, p_loss 0.2564, utilization 0.0415, perplexity 455.0139,
Train Epoch: [1/30] Iters:[850/3750] loss 0.2863, rec_loss 0.0149, p_loss 0.2563, utilization 0.0423, perplexity 467.9811,
Train Epoch: [1/30] Iters:[860/3750] loss 0.2816, rec_loss 0.0141, p_loss 0.2524, utilization 0.0427, perplexity 485.1753,
Train Epoch: [1/30] Iters:[870/3750] loss 0.2812, rec_loss 0.0142, p_loss 0.2517, utilization 0.0434, perplexity 503.9231,
Train Epoch: [1/30] Iters:[880/3750] loss 0.2803, rec_loss 0.0137, p_loss 0.2514, utilization 0.0439, perplexity 513.8572,
Train Epoch: [1/30] Iters:[890/3750] loss 0.2807, rec_loss 0.0137, p_loss 0.2517, utilization 0.0442, perplexity 517.7843,
Train Epoch: [1/30] Iters:[900/3750] loss 0.2772, rec_loss 0.0134, p_loss 0.2484, utilization 0.0443, perplexity 524.6700,
Train Epoch: [1/30] Iters:[910/3750] loss 0.2774, rec_loss 0.0137, p_loss 0.2483, utilization 0.0446, perplexity 526.2946,
Train Epoch: [1/30] Iters:[920/3750] loss 0.2776, rec_loss 0.0139, p_loss 0.2484, utilization 0.0448, perplexity 528.9637,
Train Epoch: [1/30] Iters:[930/3750] loss 0.2767, rec_loss 0.0139, p_loss 0.2475, utilization 0.0450, perplexity 527.2731,
Train Epoch: [1/30] Iters:[940/3750] loss 0.2750, rec_loss 0.0137, p_loss 0.2458, utilization 0.0453, perplexity 539.3065,
Train Epoch: [1/30] Iters:[950/3750] loss 0.2763, rec_loss 0.0140, p_loss 0.2469, utilization 0.0461, perplexity 551.2692,
Train Epoch: [1/30] Iters:[960/3750] loss 0.2741, rec_loss 0.0137, p_loss 0.2449, utilization 0.0458, perplexity 546.9401,
Train Epoch: [1/30] Iters:[970/3750] loss 0.2707, rec_loss 0.0134, p_loss 0.2417, utilization 0.0461, perplexity 549.1498,
