dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: ema_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_vq
saver_name_pre: ema_vq_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 1.4419, rec_loss 0.2207, p_loss 0.7515, utilization 0.0140, perplexity 103.9250,
Train Epoch: [1/30] Iters:[20/1875] loss 1.1267, rec_loss 0.1520, p_loss 0.7200, utilization 0.0163, perplexity 155.5170,
Train Epoch: [1/30] Iters:[30/1875] loss 1.0001, rec_loss 0.1209, p_loss 0.7012, utilization 0.0188, perplexity 208.9746,
Train Epoch: [1/30] Iters:[40/1875] loss 0.9231, rec_loss 0.1019, p_loss 0.6816, utilization 0.0282, perplexity 360.9086,
Train Epoch: [1/30] Iters:[50/1875] loss 0.8655, rec_loss 0.0899, p_loss 0.6605, utilization 0.0435, perplexity 588.6632,
Train Epoch: [1/30] Iters:[60/1875] loss 0.6903, rec_loss 0.0532, p_loss 0.6118, utilization 0.0680, perplexity 1002.0862,
Train Epoch: [1/30] Iters:[70/1875] loss 0.6363, rec_loss 0.0430, p_loss 0.5722, utilization 0.0946, perplexity 1474.0953,
Train Epoch: [1/30] Iters:[80/1875] loss 0.5896, rec_loss 0.0369, p_loss 0.5330, utilization 0.1215, perplexity 1940.8420,
Train Epoch: [1/30] Iters:[90/1875] loss 0.5532, rec_loss 0.0339, p_loss 0.4998, utilization 0.1444, perplexity 2413.9190,
Train Epoch: [1/30] Iters:[100/1875] loss 0.5197, rec_loss 0.0312, p_loss 0.4683, utilization 0.1590, perplexity 2775.4503,
Train Epoch: [1/30] Iters:[110/1875] loss 0.4977, rec_loss 0.0294, p_loss 0.4487, utilization 0.1656, perplexity 2966.8375,
Train Epoch: [1/30] Iters:[120/1875] loss 0.4765, rec_loss 0.0277, p_loss 0.4300, utilization 0.1724, perplexity 3180.4790,
Train Epoch: [1/30] Iters:[130/1875] loss 0.4581, rec_loss 0.0269, p_loss 0.4127, utilization 0.1797, perplexity 3448.1329,
Train Epoch: [1/30] Iters:[140/1875] loss 0.4399, rec_loss 0.0257, p_loss 0.3973, utilization 0.1851, perplexity 3641.8204,
Train Epoch: [1/30] Iters:[150/1875] loss 0.4255, rec_loss 0.0241, p_loss 0.3860, utilization 0.1901, perplexity 3890.9139,
Train Epoch: [1/30] Iters:[160/1875] loss 0.4163, rec_loss 0.0229, p_loss 0.3789, utilization 0.1983, perplexity 4189.0015,
Train Epoch: [1/30] Iters:[170/1875] loss 0.4075, rec_loss 0.0226, p_loss 0.3705, utilization 0.2068, perplexity 4606.5204,
Train Epoch: [1/30] Iters:[180/1875] loss 0.4005, rec_loss 0.0218, p_loss 0.3646, utilization 0.2186, perplexity 5163.7092,
Train Epoch: [1/30] Iters:[190/1875] loss 0.3909, rec_loss 0.0208, p_loss 0.3560, utilization 0.2302, perplexity 5765.5218,
Train Epoch: [1/30] Iters:[200/1875] loss 0.3829, rec_loss 0.0200, p_loss 0.3487, utilization 0.2421, perplexity 6368.7076,
Train Epoch: [1/30] Iters:[210/1875] loss 0.3720, rec_loss 0.0190, p_loss 0.3388, utilization 0.2581, perplexity 7169.7549,
Train Epoch: [1/30] Iters:[220/1875] loss 0.3637, rec_loss 0.0181, p_loss 0.3314, utilization 0.2747, perplexity 7994.2067,
Train Epoch: [1/30] Iters:[230/1875] loss 0.3540, rec_loss 0.0174, p_loss 0.3223, utilization 0.2851, perplexity 8497.8050,
Train Epoch: [1/30] Iters:[240/1875] loss 0.3479, rec_loss 0.0169, p_loss 0.3167, utilization 0.2928, perplexity 8851.5415,
Train Epoch: [1/30] Iters:[250/1875] loss 0.3428, rec_loss 0.0168, p_loss 0.3115, utilization 0.3011, perplexity 9187.1340,
Train Epoch: [1/30] Iters:[260/1875] loss 0.3376, rec_loss 0.0163, p_loss 0.3061, utilization 0.3029, perplexity 9309.5445,
Train Epoch: [1/30] Iters:[270/1875] loss 0.3300, rec_loss 0.0160, p_loss 0.2986, utilization 0.3030, perplexity 9273.2718,
Train Epoch: [1/30] Iters:[280/1875] loss 0.3233, rec_loss 0.0153, p_loss 0.2924, utilization 0.3082, perplexity 9629.9077,
Train Epoch: [1/30] Iters:[290/1875] loss 0.3146, rec_loss 0.0146, p_loss 0.2843, utilization 0.3166, perplexity 10067.9843,
Train Epoch: [1/30] Iters:[300/1875] loss 0.3092, rec_loss 0.0145, p_loss 0.2785, utilization 0.3243, perplexity 10489.5702,
Train Epoch: [1/30] Iters:[310/1875] loss 0.3032, rec_loss 0.0145, p_loss 0.2726, utilization 0.3302, perplexity 10792.4075,
Train Epoch: [1/30] Iters:[320/1875] loss 0.2959, rec_loss 0.0139, p_loss 0.2656, utilization 0.3348, perplexity 11049.3077,
Train Epoch: [1/30] Iters:[330/1875] loss 0.2911, rec_loss 0.0139, p_loss 0.2606, utilization 0.3429, perplexity 11502.0203,
Train Epoch: [1/30] Iters:[340/1875] loss 0.2919, rec_loss 0.0143, p_loss 0.2608, utilization 0.3484, perplexity 11865.6188,
Train Epoch: [1/30] Iters:[350/1875] loss 0.2891, rec_loss 0.0139, p_loss 0.2589, utilization 0.3527, perplexity 12244.6693,
Train Epoch: [1/30] Iters:[360/1875] loss 0.2844, rec_loss 0.0132, p_loss 0.2553, utilization 0.3593, perplexity 12562.7359,
Train Epoch: [1/30] Iters:[370/1875] loss 0.2843, rec_loss 0.0130, p_loss 0.2557, utilization 0.3671, perplexity 13091.1904,
Train Epoch: [1/30] Iters:[380/1875] loss 0.2805, rec_loss 0.0128, p_loss 0.2525, utilization 0.3681, perplexity 13112.7967,
Train Epoch: [1/30] Iters:[390/1875] loss 0.2718, rec_loss 0.0119, p_loss 0.2445, utilization 0.3725, perplexity 13436.8176,
Train Epoch: [1/30] Iters:[400/1875] loss 0.2635, rec_loss 0.0115, p_loss 0.2367, utilization 0.3780, perplexity 13708.3385,
Train Epoch: [1/30] Iters:[410/1875] loss 0.2588, rec_loss 0.0113, p_loss 0.2324, utilization 0.3844, perplexity 14195.6391,
Train Epoch: [1/30] Iters:[420/1875] loss 0.2519, rec_loss 0.0111, p_loss 0.2258, utilization 0.3897, perplexity 14581.7602,
Train Epoch: [1/30] Iters:[430/1875] loss 0.2476, rec_loss 0.0110, p_loss 0.2215, utilization 0.3960, perplexity 15184.8345,
Train Epoch: [1/30] Iters:[440/1875] loss 0.2421, rec_loss 0.0108, p_loss 0.2163, utilization 0.3979, perplexity 15310.4458,
Train Epoch: [1/30] Iters:[450/1875] loss 0.2396, rec_loss 0.0105, p_loss 0.2137, utilization 0.4003, perplexity 15515.7828,
Train Epoch: [1/30] Iters:[460/1875] loss 0.2364, rec_loss 0.0105, p_loss 0.2102, utilization 0.4018, perplexity 15616.7648,
Train Epoch: [1/30] Iters:[470/1875] loss 0.2348, rec_loss 0.0102, p_loss 0.2085, utilization 0.4046, perplexity 15774.3909,
Train Epoch: [1/30] Iters:[480/1875] loss 0.2309, rec_loss 0.0096, p_loss 0.2052, utilization 0.4047, perplexity 15737.7253,
Train Epoch: [1/30] Iters:[490/1875] loss 0.2300, rec_loss 0.0094, p_loss 0.2046, utilization 0.4094, perplexity 16070.2430,
Train Epoch: [1/30] Iters:[500/1875] loss 0.2279, rec_loss 0.0092, p_loss 0.2029, utilization 0.4107, perplexity 16215.0704,
Train Epoch: [1/30] Iters:[510/1875] loss 0.2253, rec_loss 0.0091, p_loss 0.2003, utilization 0.4123, perplexity 16421.9948,
Train Epoch: [1/30] Iters:[520/1875] loss 0.2237, rec_loss 0.0091, p_loss 0.1985, utilization 0.4104, perplexity 16318.2554,
