dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: ema_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0
training_pre: ema_vq
saver_name_pre: ema_vq_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 1.0757, rec_loss 0.2000, p_loss 0.7415, utilization 0.0072, perplexity 78.9933,
Train Epoch: [1/30] Iters:[20/1875] loss 0.9217, rec_loss 0.1348, p_loss 0.7126, utilization 0.0066, perplexity 95.0122,
Train Epoch: [1/30] Iters:[30/1875] loss 0.8552, rec_loss 0.1084, p_loss 0.6932, utilization 0.0068, perplexity 115.7217,
Train Epoch: [1/30] Iters:[40/1875] loss 0.8112, rec_loss 0.0922, p_loss 0.6765, utilization 0.0070, perplexity 139.7389,
Train Epoch: [1/30] Iters:[50/1875] loss 0.7746, rec_loss 0.0810, p_loss 0.6581, utilization 0.0073, perplexity 162.2505,
Train Epoch: [1/30] Iters:[60/1875] loss 0.6776, rec_loss 0.0490, p_loss 0.6178, utilization 0.0077, perplexity 199.0338,
Train Epoch: [1/30] Iters:[70/1875] loss 0.6318, rec_loss 0.0415, p_loss 0.5803, utilization 0.0087, perplexity 239.2886,
Train Epoch: [1/30] Iters:[80/1875] loss 0.5919, rec_loss 0.0365, p_loss 0.5456, utilization 0.0096, perplexity 278.5231,
Train Epoch: [1/30] Iters:[90/1875] loss 0.5596, rec_loss 0.0345, p_loss 0.5134, utilization 0.0106, perplexity 310.1626,
Train Epoch: [1/30] Iters:[100/1875] loss 0.5314, rec_loss 0.0338, p_loss 0.4844, utilization 0.0116, perplexity 339.5815,
Train Epoch: [1/30] Iters:[110/1875] loss 0.5071, rec_loss 0.0315, p_loss 0.4617, utilization 0.0123, perplexity 371.1064,
Train Epoch: [1/30] Iters:[120/1875] loss 0.4875, rec_loss 0.0299, p_loss 0.4436, utilization 0.0128, perplexity 395.1898,
Train Epoch: [1/30] Iters:[130/1875] loss 0.4672, rec_loss 0.0282, p_loss 0.4250, utilization 0.0132, perplexity 411.7729,
Train Epoch: [1/30] Iters:[140/1875] loss 0.4464, rec_loss 0.0258, p_loss 0.4083, utilization 0.0134, perplexity 429.7896,
Train Epoch: [1/30] Iters:[150/1875] loss 0.4319, rec_loss 0.0234, p_loss 0.3968, utilization 0.0136, perplexity 436.3413,
Train Epoch: [1/30] Iters:[160/1875] loss 0.4199, rec_loss 0.0221, p_loss 0.3862, utilization 0.0137, perplexity 447.9952,
Train Epoch: [1/30] Iters:[170/1875] loss 0.4103, rec_loss 0.0212, p_loss 0.3773, utilization 0.0139, perplexity 462.4544,
Train Epoch: [1/30] Iters:[180/1875] loss 0.4078, rec_loss 0.0215, p_loss 0.3740, utilization 0.0140, perplexity 477.3779,
Train Epoch: [1/30] Iters:[190/1875] loss 0.4035, rec_loss 0.0218, p_loss 0.3689, utilization 0.0142, perplexity 493.4998,
Train Epoch: [1/30] Iters:[200/1875] loss 0.3948, rec_loss 0.0214, p_loss 0.3606, utilization 0.0143, perplexity 522.7494,
Train Epoch: [1/30] Iters:[210/1875] loss 0.3865, rec_loss 0.0206, p_loss 0.3533, utilization 0.0145, perplexity 534.9643,
Train Epoch: [1/30] Iters:[220/1875] loss 0.3811, rec_loss 0.0209, p_loss 0.3476, utilization 0.0146, perplexity 552.5864,
Train Epoch: [1/30] Iters:[230/1875] loss 0.3704, rec_loss 0.0199, p_loss 0.3378, utilization 0.0147, perplexity 570.0857,
Train Epoch: [1/30] Iters:[240/1875] loss 0.3621, rec_loss 0.0187, p_loss 0.3308, utilization 0.0148, perplexity 582.3016,
Train Epoch: [1/30] Iters:[250/1875] loss 0.3566, rec_loss 0.0182, p_loss 0.3258, utilization 0.0149, perplexity 589.1314,
Train Epoch: [1/30] Iters:[260/1875] loss 0.3514, rec_loss 0.0179, p_loss 0.3203, utilization 0.0151, perplexity 606.6047,
Train Epoch: [1/30] Iters:[270/1875] loss 0.3444, rec_loss 0.0168, p_loss 0.3142, utilization 0.0152, perplexity 615.6503,
Train Epoch: [1/30] Iters:[280/1875] loss 0.3403, rec_loss 0.0162, p_loss 0.3104, utilization 0.0153, perplexity 625.2188,
Train Epoch: [1/30] Iters:[290/1875] loss 0.3329, rec_loss 0.0156, p_loss 0.3032, utilization 0.0154, perplexity 634.9266,
Train Epoch: [1/30] Iters:[300/1875] loss 0.3247, rec_loss 0.0150, p_loss 0.2951, utilization 0.0155, perplexity 641.0594,
Train Epoch: [1/30] Iters:[310/1875] loss 0.3192, rec_loss 0.0145, p_loss 0.2900, utilization 0.0156, perplexity 654.0312,
Train Epoch: [1/30] Iters:[320/1875] loss 0.3112, rec_loss 0.0140, p_loss 0.2821, utilization 0.0158, perplexity 661.4448,
Train Epoch: [1/30] Iters:[330/1875] loss 0.3031, rec_loss 0.0135, p_loss 0.2739, utilization 0.0159, perplexity 678.0686,
Train Epoch: [1/30] Iters:[340/1875] loss 0.2991, rec_loss 0.0134, p_loss 0.2697, utilization 0.0160, perplexity 684.5963,
Train Epoch: [1/30] Iters:[350/1875] loss 0.2973, rec_loss 0.0135, p_loss 0.2674, utilization 0.0161, perplexity 688.0559,
Train Epoch: [1/30] Iters:[360/1875] loss 0.2944, rec_loss 0.0132, p_loss 0.2644, utilization 0.0162, perplexity 687.5562,
Train Epoch: [1/30] Iters:[370/1875] loss 0.2972, rec_loss 0.0135, p_loss 0.2662, utilization 0.0162, perplexity 690.0215,
Train Epoch: [1/30] Iters:[380/1875] loss 0.2979, rec_loss 0.0130, p_loss 0.2676, utilization 0.0163, perplexity 683.4496,
Train Epoch: [1/30] Iters:[390/1875] loss 0.2983, rec_loss 0.0127, p_loss 0.2678, utilization 0.0164, perplexity 689.6945,
Train Epoch: [1/30] Iters:[400/1875] loss 0.2958, rec_loss 0.0126, p_loss 0.2654, utilization 0.0165, perplexity 700.7303,
Train Epoch: [1/30] Iters:[410/1875] loss 0.2958, rec_loss 0.0125, p_loss 0.2650, utilization 0.0166, perplexity 705.5197,
Train Epoch: [1/30] Iters:[420/1875] loss 0.2918, rec_loss 0.0121, p_loss 0.2617, utilization 0.0167, perplexity 717.5646,
Train Epoch: [1/30] Iters:[430/1875] loss 0.2870, rec_loss 0.0122, p_loss 0.2564, utilization 0.0168, perplexity 730.5680,
Train Epoch: [1/30] Iters:[440/1875] loss 0.2822, rec_loss 0.0123, p_loss 0.2514, utilization 0.0169, perplexity 736.7428,
Train Epoch: [1/30] Iters:[450/1875] loss 0.2815, rec_loss 0.0129, p_loss 0.2497, utilization 0.0170, perplexity 740.7467,
Train Epoch: [1/30] Iters:[460/1875] loss 0.2796, rec_loss 0.0137, p_loss 0.2466, utilization 0.0170, perplexity 747.2495,
Train Epoch: [1/30] Iters:[470/1875] loss 0.2784, rec_loss 0.0136, p_loss 0.2447, utilization 0.0172, perplexity 750.5466,
Train Epoch: [1/30] Iters:[480/1875] loss 0.2754, rec_loss 0.0135, p_loss 0.2418, utilization 0.0172, perplexity 756.4236,
Train Epoch: [1/30] Iters:[490/1875] loss 0.2717, rec_loss 0.0132, p_loss 0.2383, utilization 0.0173, perplexity 769.4081,
Train Epoch: [1/30] Iters:[500/1875] loss 0.2686, rec_loss 0.0120, p_loss 0.2363, utilization 0.0174, perplexity 780.2738,
Train Epoch: [1/30] Iters:[510/1875] loss 0.2627, rec_loss 0.0108, p_loss 0.2317, utilization 0.0175, perplexity 789.9458,
