dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
VQ: fsq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_8_4
loss_pre: loss_1.0
training_pre: fsq
saver_name_pre: fsq_CelebAHQ_model_8_4_loss_1.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 0.9607, rec_loss 0.2071, p_loss 0.7536, utilization 0.0091, perplexity 31.2052,
Train Epoch: [1/30] Iters:[20/1875] loss 0.8757, rec_loss 0.1498, p_loss 0.7259, utilization 0.0098, perplexity 39.7282,
Train Epoch: [1/30] Iters:[30/1875] loss 0.8251, rec_loss 0.1206, p_loss 0.7045, utilization 0.0118, perplexity 55.6137,
Train Epoch: [1/30] Iters:[40/1875] loss 0.7890, rec_loss 0.1020, p_loss 0.6870, utilization 0.0137, perplexity 85.1476,
Train Epoch: [1/30] Iters:[50/1875] loss 0.7612, rec_loss 0.0897, p_loss 0.6716, utilization 0.0148, perplexity 103.9159,
Train Epoch: [1/30] Iters:[60/1875] loss 0.6873, rec_loss 0.0561, p_loss 0.6312, utilization 0.0178, perplexity 147.6187,
Train Epoch: [1/30] Iters:[70/1875] loss 0.6436, rec_loss 0.0454, p_loss 0.5982, utilization 0.0220, perplexity 199.9202,
Train Epoch: [1/30] Iters:[80/1875] loss 0.6045, rec_loss 0.0405, p_loss 0.5640, utilization 0.0263, perplexity 249.6638,
Train Epoch: [1/30] Iters:[90/1875] loss 0.5676, rec_loss 0.0374, p_loss 0.5302, utilization 0.0293, perplexity 275.5696,
Train Epoch: [1/30] Iters:[100/1875] loss 0.5306, rec_loss 0.0353, p_loss 0.4953, utilization 0.0326, perplexity 310.6197,
Train Epoch: [1/30] Iters:[110/1875] loss 0.5043, rec_loss 0.0333, p_loss 0.4711, utilization 0.0356, perplexity 342.7535,
Train Epoch: [1/30] Iters:[120/1875] loss 0.4783, rec_loss 0.0309, p_loss 0.4473, utilization 0.0391, perplexity 385.1692,
Train Epoch: [1/30] Iters:[130/1875] loss 0.4580, rec_loss 0.0286, p_loss 0.4294, utilization 0.0413, perplexity 418.0001,
Train Epoch: [1/30] Iters:[140/1875] loss 0.4440, rec_loss 0.0278, p_loss 0.4161, utilization 0.0452, perplexity 467.4931,
Train Epoch: [1/30] Iters:[150/1875] loss 0.4346, rec_loss 0.0268, p_loss 0.4077, utilization 0.0501, perplexity 530.3147,
