dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
VQ: lfq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_16_2
loss_pre: loss_1.0
training_pre: lfq
saver_name_pre: lfq_CelebAHQ_model_16_2_loss_1.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 1.3556, rec_loss 0.1979, p_loss 0.7415, utilization 0.0225, perplexity 132.7896,
Train Epoch: [1/30] Iters:[20/1875] loss 1.1628, rec_loss 0.1443, p_loss 0.7145, utilization 0.0138, perplexity 74.5454,
Train Epoch: [1/30] Iters:[30/1875] loss 1.0705, rec_loss 0.1203, p_loss 0.7008, utilization 0.0105, perplexity 53.8717,
Train Epoch: [1/30] Iters:[40/1875] loss 1.0177, rec_loss 0.1062, p_loss 0.6912, utilization 0.0087, perplexity 43.5093,
Train Epoch: [1/30] Iters:[50/1875] loss 0.9780, rec_loss 0.0952, p_loss 0.6824, utilization 0.0075, perplexity 37.1545,
Train Epoch: [1/30] Iters:[60/1875] loss 0.8679, rec_loss 0.0648, p_loss 0.6605, utilization 0.0036, perplexity 13.2417,
Train Epoch: [1/30] Iters:[70/1875] loss 0.8322, rec_loss 0.0552, p_loss 0.6485, utilization 0.0034, perplexity 13.0592,
Train Epoch: [1/30] Iters:[80/1875] loss 0.8106, rec_loss 0.0484, p_loss 0.6373, utilization 0.0035, perplexity 14.1760,
Train Epoch: [1/30] Iters:[90/1875] loss 0.7894, rec_loss 0.0423, p_loss 0.6199, utilization 0.0039, perplexity 15.6193,
Train Epoch: [1/30] Iters:[100/1875] loss 0.7696, rec_loss 0.0390, p_loss 0.5985, utilization 0.0047, perplexity 17.8276,
Train Epoch: [1/30] Iters:[110/1875] loss 0.7544, rec_loss 0.0369, p_loss 0.5822, utilization 0.0054, perplexity 19.8507,
Train Epoch: [1/30] Iters:[120/1875] loss 0.7360, rec_loss 0.0350, p_loss 0.5620, utilization 0.0060, perplexity 21.7404,
Train Epoch: [1/30] Iters:[130/1875] loss 0.7163, rec_loss 0.0338, p_loss 0.5397, utilization 0.0064, perplexity 22.9799,
