dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
VQ: mmd_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_0.5
training_pre: mmd_vq
saver_name_pre: mmd_vq_CelebAHQ_model_256_8_2_loss_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 8.6120, rec_loss 0.5348, p_loss 0.8143, utilization 0.0083, perplexity 44.6701,
Train Epoch: [1/30] Iters:[20/1875] loss 22.5345, rec_loss 0.4494, p_loss 0.7719, utilization 0.0048, perplexity 23.7822,
Train Epoch: [1/30] Iters:[30/1875] loss 48.5455, rec_loss 0.3981, p_loss 0.7577, utilization 0.0035, perplexity 16.6104,
Train Epoch: [1/30] Iters:[40/1875] loss 90.4059, rec_loss 0.3420, p_loss 0.7424, utilization 0.0027, perplexity 12.9887,
Train Epoch: [1/30] Iters:[50/1875] loss 113.4313, rec_loss 0.2988, p_loss 0.7314, utilization 0.0023, perplexity 10.8382,
Train Epoch: [1/30] Iters:[60/1875] loss 115.4314, rec_loss 0.2404, p_loss 0.7059, utilization 0.0008, perplexity 2.5340,
Train Epoch: [1/30] Iters:[70/1875] loss 137.5670, rec_loss 0.1948, p_loss 0.7013, utilization 0.0007, perplexity 2.4427,
Train Epoch: [1/30] Iters:[80/1875] loss 141.9937, rec_loss 0.1636, p_loss 0.6930, utilization 0.0006, perplexity 2.6007,
Train Epoch: [1/30] Iters:[90/1875] loss 109.5884, rec_loss 0.1581, p_loss 0.6918, utilization 0.0006, perplexity 2.7982,
Train Epoch: [1/30] Iters:[100/1875] loss 74.9526, rec_loss 0.1682, p_loss 0.6943, utilization 0.0006, perplexity 3.1833,
Train Epoch: [1/30] Iters:[110/1875] loss 78.8346, rec_loss 0.1491, p_loss 0.6964, utilization 0.0005, perplexity 3.2709,
Train Epoch: [1/30] Iters:[120/1875] loss 59.5910, rec_loss 0.1513, p_loss 0.6912, utilization 0.0005, perplexity 3.5447,
Train Epoch: [1/30] Iters:[130/1875] loss 38.9764, rec_loss 0.1484, p_loss 0.6914, utilization 0.0005, perplexity 3.8517,
Train Epoch: [1/30] Iters:[140/1875] loss 31.3528, rec_loss 0.1408, p_loss 0.6909, utilization 0.0005, perplexity 4.1692,
Train Epoch: [1/30] Iters:[150/1875] loss 27.2859, rec_loss 0.1292, p_loss 0.6905, utilization 0.0005, perplexity 4.3370,
Train Epoch: [1/30] Iters:[160/1875] loss 20.8302, rec_loss 0.1221, p_loss 0.6864, utilization 0.0005, perplexity 4.5914,
Train Epoch: [1/30] Iters:[170/1875] loss 11.9961, rec_loss 0.1083, p_loss 0.6867, utilization 0.0005, perplexity 4.8510,
Train Epoch: [1/30] Iters:[180/1875] loss 8.9383, rec_loss 0.1028, p_loss 0.6848, utilization 0.0005, perplexity 5.0057,
Train Epoch: [1/30] Iters:[190/1875] loss 6.7471, rec_loss 0.0956, p_loss 0.6803, utilization 0.0006, perplexity 5.1885,
Train Epoch: [1/30] Iters:[200/1875] loss 5.7643, rec_loss 0.0851, p_loss 0.6742, utilization 0.0006, perplexity 5.2346,
Train Epoch: [1/30] Iters:[210/1875] loss 6.2239, rec_loss 0.0743, p_loss 0.6670, utilization 0.0006, perplexity 5.4419,
Train Epoch: [1/30] Iters:[220/1875] loss 6.9293, rec_loss 0.0703, p_loss 0.6556, utilization 0.0006, perplexity 5.7186,
