dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
VQ: mmd_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5
training_pre: mmd_vq
saver_name_pre: mmd_vq_CelebAHQ_model_65536_16_1_loss_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 11.1085, rec_loss 0.4268, p_loss 0.7958, utilization 0.0054, perplexity 24.6346,
Train Epoch: [1/30] Iters:[20/1875] loss 15.2622, rec_loss 0.3308, p_loss 0.7657, utilization 0.0031, perplexity 13.7411,
Train Epoch: [1/30] Iters:[30/1875] loss 11.0596, rec_loss 0.2820, p_loss 0.7483, utilization 0.0024, perplexity 11.9882,
Train Epoch: [1/30] Iters:[40/1875] loss 9.0101, rec_loss 0.2369, p_loss 0.7331, utilization 0.0021, perplexity 11.0153,
Train Epoch: [1/30] Iters:[50/1875] loss 7.5005, rec_loss 0.2046, p_loss 0.7211, utilization 0.0023, perplexity 11.5872,
Train Epoch: [1/30] Iters:[60/1875] loss 5.5170, rec_loss 0.1322, p_loss 0.6921, utilization 0.0027, perplexity 11.8999,
Train Epoch: [1/30] Iters:[70/1875] loss 1.8586, rec_loss 0.0967, p_loss 0.6751, utilization 0.0050, perplexity 16.4309,
Train Epoch: [1/30] Iters:[80/1875] loss 1.5530, rec_loss 0.0692, p_loss 0.6586, utilization 0.0070, perplexity 19.7147,
Train Epoch: [1/30] Iters:[90/1875] loss 1.1896, rec_loss 0.0583, p_loss 0.6438, utilization 0.0104, perplexity 28.7994,
Train Epoch: [1/30] Iters:[100/1875] loss 1.0911, rec_loss 0.0534, p_loss 0.6254, utilization 0.0145, perplexity 39.0265,
Train Epoch: [1/30] Iters:[110/1875] loss 1.0382, rec_loss 0.0504, p_loss 0.6069, utilization 0.0188, perplexity 52.8030,
Train Epoch: [1/30] Iters:[120/1875] loss 0.9954, rec_loss 0.0462, p_loss 0.5798, utilization 0.0227, perplexity 63.9837,
Train Epoch: [1/30] Iters:[130/1875] loss 0.9435, rec_loss 0.0438, p_loss 0.5497, utilization 0.0287, perplexity 82.8265,
Train Epoch: [1/30] Iters:[140/1875] loss 0.8931, rec_loss 0.0410, p_loss 0.5193, utilization 0.0326, perplexity 104.0131,
Train Epoch: [1/30] Iters:[150/1875] loss 0.8447, rec_loss 0.0365, p_loss 0.4920, utilization 0.0346, perplexity 127.7475,
Train Epoch: [1/30] Iters:[160/1875] loss 0.7990, rec_loss 0.0328, p_loss 0.4682, utilization 0.0364, perplexity 159.5187,
Train Epoch: [1/30] Iters:[170/1875] loss 0.7389, rec_loss 0.0309, p_loss 0.4471, utilization 0.0384, perplexity 213.4751,
Train Epoch: [1/30] Iters:[180/1875] loss 0.6854, rec_loss 0.0293, p_loss 0.4339, utilization 0.0395, perplexity 281.3397,
Train Epoch: [1/30] Iters:[190/1875] loss 0.6420, rec_loss 0.0279, p_loss 0.4219, utilization 0.0410, perplexity 355.6962,
Train Epoch: [1/30] Iters:[200/1875] loss 0.6029, rec_loss 0.0270, p_loss 0.4100, utilization 0.0433, perplexity 443.4243,
Train Epoch: [1/30] Iters:[210/1875] loss 0.5673, rec_loss 0.0252, p_loss 0.3991, utilization 0.0459, perplexity 537.4372,
Train Epoch: [1/30] Iters:[220/1875] loss 0.5460, rec_loss 0.0252, p_loss 0.3956, utilization 0.0487, perplexity 654.7335,
Train Epoch: [1/30] Iters:[230/1875] loss 0.5219, rec_loss 0.0243, p_loss 0.3869, utilization 0.0501, perplexity 742.2556,
Train Epoch: [1/30] Iters:[240/1875] loss 0.5013, rec_loss 0.0236, p_loss 0.3822, utilization 0.0532, perplexity 863.1971,
Train Epoch: [1/30] Iters:[250/1875] loss 0.4877, rec_loss 0.0230, p_loss 0.3773, utilization 0.0558, perplexity 966.5968,
Train Epoch: [1/30] Iters:[260/1875] loss 0.4756, rec_loss 0.0224, p_loss 0.3719, utilization 0.0583, perplexity 1096.4697,
Train Epoch: [1/30] Iters:[270/1875] loss 0.4631, rec_loss 0.0213, p_loss 0.3631, utilization 0.0599, perplexity 1171.1050,
Train Epoch: [1/30] Iters:[280/1875] loss 0.4558, rec_loss 0.0208, p_loss 0.3592, utilization 0.0633, perplexity 1310.7278,
Train Epoch: [1/30] Iters:[290/1875] loss 0.4475, rec_loss 0.0201, p_loss 0.3510, utilization 0.0653, perplexity 1416.5631,
Train Epoch: [1/30] Iters:[300/1875] loss 0.4396, rec_loss 0.0201, p_loss 0.3457, utilization 0.0684, perplexity 1550.4918,
Train Epoch: [1/30] Iters:[310/1875] loss 0.4314, rec_loss 0.0204, p_loss 0.3413, utilization 0.0715, perplexity 1668.1407,
Train Epoch: [1/30] Iters:[320/1875] loss 0.4220, rec_loss 0.0195, p_loss 0.3330, utilization 0.0752, perplexity 1815.7759,
Train Epoch: [1/30] Iters:[330/1875] loss 0.4106, rec_loss 0.0189, p_loss 0.3223, utilization 0.0773, perplexity 1928.6686,
Train Epoch: [1/30] Iters:[340/1875] loss 0.3979, rec_loss 0.0180, p_loss 0.3151, utilization 0.0815, perplexity 2112.5326,
Train Epoch: [1/30] Iters:[350/1875] loss 0.3885, rec_loss 0.0169, p_loss 0.3085, utilization 0.0850, perplexity 2249.4780,
Train Epoch: [1/30] Iters:[360/1875] loss 0.3768, rec_loss 0.0159, p_loss 0.2991, utilization 0.0879, perplexity 2412.4415,
