dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: online_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0
training_pre: online_vq
saver_name_pre: online_vq_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 1.7059, rec_loss 0.2402, p_loss 0.7646, utilization 0.0223, perplexity 230.6534,
Train Epoch: [1/30] Iters:[20/1875] loss 1.2680, rec_loss 0.1607, p_loss 0.7286, utilization 0.0286, perplexity 370.6786,
Train Epoch: [1/30] Iters:[30/1875] loss 1.1003, rec_loss 0.1265, p_loss 0.7057, utilization 0.0343, perplexity 488.3310,
Train Epoch: [1/30] Iters:[40/1875] loss 1.0091, rec_loss 0.1069, p_loss 0.6908, utilization 0.0409, perplexity 649.9192,
Train Epoch: [1/30] Iters:[50/1875] loss 0.9448, rec_loss 0.0938, p_loss 0.6759, utilization 0.0458, perplexity 759.2742,
Train Epoch: [1/30] Iters:[60/1875] loss 0.7357, rec_loss 0.0534, p_loss 0.6419, utilization 0.0573, perplexity 1038.1626,
Train Epoch: [1/30] Iters:[70/1875] loss 0.6905, rec_loss 0.0442, p_loss 0.6117, utilization 0.0696, perplexity 1348.0111,
Train Epoch: [1/30] Iters:[80/1875] loss 0.6534, rec_loss 0.0393, p_loss 0.5820, utilization 0.0837, perplexity 1687.5442,
Train Epoch: [1/30] Iters:[90/1875] loss 0.6185, rec_loss 0.0360, p_loss 0.5475, utilization 0.0976, perplexity 2054.0150,
Train Epoch: [1/30] Iters:[100/1875] loss 0.5855, rec_loss 0.0336, p_loss 0.5128, utilization 0.1119, perplexity 2439.1438,
Train Epoch: [1/30] Iters:[110/1875] loss 0.5557, rec_loss 0.0318, p_loss 0.4829, utilization 0.1255, perplexity 2830.1821,
Train Epoch: [1/30] Iters:[120/1875] loss 0.5360, rec_loss 0.0303, p_loss 0.4627, utilization 0.1351, perplexity 3051.6948,
Train Epoch: [1/30] Iters:[130/1875] loss 0.5149, rec_loss 0.0285, p_loss 0.4436, utilization 0.1450, perplexity 3367.5914,
Train Epoch: [1/30] Iters:[140/1875] loss 0.4952, rec_loss 0.0270, p_loss 0.4304, utilization 0.1545, perplexity 3666.7637,
Train Epoch: [1/30] Iters:[150/1875] loss 0.4796, rec_loss 0.0255, p_loss 0.4198, utilization 0.1635, perplexity 3906.2588,
Train Epoch: [1/30] Iters:[160/1875] loss 0.4664, rec_loss 0.0243, p_loss 0.4082, utilization 0.1703, perplexity 4045.5217,
Train Epoch: [1/30] Iters:[170/1875] loss 0.4491, rec_loss 0.0228, p_loss 0.3934, utilization 0.1789, perplexity 4372.3037,
Train Epoch: [1/30] Iters:[180/1875] loss 0.4394, rec_loss 0.0222, p_loss 0.3843, utilization 0.1846, perplexity 4512.2918,
Train Epoch: [1/30] Iters:[190/1875] loss 0.4323, rec_loss 0.0216, p_loss 0.3770, utilization 0.1888, perplexity 4639.3058,
Train Epoch: [1/30] Iters:[200/1875] loss 0.4261, rec_loss 0.0212, p_loss 0.3702, utilization 0.1932, perplexity 4842.7507,
Train Epoch: [1/30] Iters:[210/1875] loss 0.4157, rec_loss 0.0203, p_loss 0.3605, utilization 0.1973, perplexity 5008.1959,
Train Epoch: [1/30] Iters:[220/1875] loss 0.4119, rec_loss 0.0207, p_loss 0.3560, utilization 0.2034, perplexity 5243.6078,
Train Epoch: [1/30] Iters:[230/1875] loss 0.4011, rec_loss 0.0199, p_loss 0.3464, utilization 0.2084, perplexity 5496.9845,
Train Epoch: [1/30] Iters:[240/1875] loss 0.3910, rec_loss 0.0189, p_loss 0.3379, utilization 0.2133, perplexity 5689.0043,
Train Epoch: [1/30] Iters:[250/1875] loss 0.3849, rec_loss 0.0182, p_loss 0.3330, utilization 0.2180, perplexity 5867.8789,
Train Epoch: [1/30] Iters:[260/1875] loss 0.3828, rec_loss 0.0178, p_loss 0.3300, utilization 0.2249, perplexity 6203.4656,
Train Epoch: [1/30] Iters:[270/1875] loss 0.3798, rec_loss 0.0169, p_loss 0.3265, utilization 0.2288, perplexity 6354.3021,
Train Epoch: [1/30] Iters:[280/1875] loss 0.3799, rec_loss 0.0167, p_loss 0.3248, utilization 0.2330, perplexity 6524.7865,
Train Epoch: [1/30] Iters:[290/1875] loss 0.3774, rec_loss 0.0164, p_loss 0.3196, utilization 0.2360, perplexity 6694.1746,
Train Epoch: [1/30] Iters:[300/1875] loss 0.3719, rec_loss 0.0161, p_loss 0.3129, utilization 0.2384, perplexity 6860.6471,
Train Epoch: [1/30] Iters:[310/1875] loss 0.3664, rec_loss 0.0160, p_loss 0.3079, utilization 0.2395, perplexity 6897.3839,
Train Epoch: [1/30] Iters:[320/1875] loss 0.3566, rec_loss 0.0154, p_loss 0.2984, utilization 0.2417, perplexity 7071.5987,
Train Epoch: [1/30] Iters:[330/1875] loss 0.3467, rec_loss 0.0147, p_loss 0.2892, utilization 0.2457, perplexity 7321.7480,
Train Epoch: [1/30] Iters:[340/1875] loss 0.3425, rec_loss 0.0152, p_loss 0.2859, utilization 0.2498, perplexity 7532.5193,
Train Epoch: [1/30] Iters:[350/1875] loss 0.3425, rec_loss 0.0152, p_loss 0.2852, utilization 0.2543, perplexity 7710.6360,
Train Epoch: [1/30] Iters:[360/1875] loss 0.3415, rec_loss 0.0149, p_loss 0.2839, utilization 0.2559, perplexity 7780.3198,
Train Epoch: [1/30] Iters:[370/1875] loss 0.3394, rec_loss 0.0146, p_loss 0.2822, utilization 0.2583, perplexity 7852.3701,
Train Epoch: [1/30] Iters:[380/1875] loss 0.3403, rec_loss 0.0144, p_loss 0.2835, utilization 0.2590, perplexity 7860.2893,
Train Epoch: [1/30] Iters:[390/1875] loss 0.3382, rec_loss 0.0136, p_loss 0.2805, utilization 0.2606, perplexity 7966.2958,
Train Epoch: [1/30] Iters:[400/1875] loss 0.3321, rec_loss 0.0134, p_loss 0.2751, utilization 0.2624, perplexity 8088.1058,
Train Epoch: [1/30] Iters:[410/1875] loss 0.3254, rec_loss 0.0132, p_loss 0.2688, utilization 0.2660, perplexity 8308.0549,
Train Epoch: [1/30] Iters:[420/1875] loss 0.3186, rec_loss 0.0130, p_loss 0.2633, utilization 0.2679, perplexity 8453.2754,
Train Epoch: [1/30] Iters:[430/1875] loss 0.3125, rec_loss 0.0128, p_loss 0.2570, utilization 0.2706, perplexity 8572.0651,
Train Epoch: [1/30] Iters:[440/1875] loss 0.3049, rec_loss 0.0124, p_loss 0.2509, utilization 0.2716, perplexity 8653.2898,
Train Epoch: [1/30] Iters:[450/1875] loss 0.3005, rec_loss 0.0120, p_loss 0.2461, utilization 0.2726, perplexity 8721.7511,
Train Epoch: [1/30] Iters:[460/1875] loss 0.2976, rec_loss 0.0115, p_loss 0.2433, utilization 0.2748, perplexity 8811.7333,
Train Epoch: [1/30] Iters:[470/1875] loss 0.2987, rec_loss 0.0115, p_loss 0.2428, utilization 0.2770, perplexity 8952.6418,
Train Epoch: [1/30] Iters:[480/1875] loss 0.2945, rec_loss 0.0112, p_loss 0.2385, utilization 0.2785, perplexity 9129.7481,
Train Epoch: [1/30] Iters:[490/1875] loss 0.2897, rec_loss 0.0110, p_loss 0.2342, utilization 0.2812, perplexity 9288.8459,
Train Epoch: [1/30] Iters:[500/1875] loss 0.2849, rec_loss 0.0106, p_loss 0.2303, utilization 0.2829, perplexity 9432.8404,
Train Epoch: [1/30] Iters:[510/1875] loss 0.2822, rec_loss 0.0104, p_loss 0.2272, utilization 0.2841, perplexity 9632.8167,
Train Epoch: [1/30] Iters:[520/1875] loss 0.2834, rec_loss 0.0105, p_loss 0.2268, utilization 0.2849, perplexity 9651.0586,
