dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: vanilla_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_vq
saver_name_pre: vanilla_vq_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 3.7148, rec_loss 0.5185, p_loss 0.7977, utilization 0.0125, perplexity 51.1125,
Train Epoch: [1/30] Iters:[20/1875] loss 5.7435, rec_loss 0.4382, p_loss 0.7664, utilization 0.0091, perplexity 28.2861,
Train Epoch: [1/30] Iters:[30/1875] loss 11.7645, rec_loss 0.4081, p_loss 0.7552, utilization 0.0077, perplexity 19.7581,
Train Epoch: [1/30] Iters:[40/1875] loss 23.6462, rec_loss 0.3789, p_loss 0.7444, utilization 0.0066, perplexity 15.4197,
Train Epoch: [1/30] Iters:[50/1875] loss 43.2383, rec_loss 0.3494, p_loss 0.7372, utilization 0.0057, perplexity 12.7899,
Train Epoch: [1/30] Iters:[60/1875] loss 70.5201, rec_loss 0.2776, p_loss 0.7175, utilization 0.0035, perplexity 3.0773,
Train Epoch: [1/30] Iters:[70/1875] loss 90.5834, rec_loss 0.2329, p_loss 0.7109, utilization 0.0028, perplexity 2.5773,
Train Epoch: [1/30] Iters:[80/1875] loss 93.3065, rec_loss 0.1892, p_loss 0.6999, utilization 0.0026, perplexity 2.7846,
Train Epoch: [1/30] Iters:[90/1875] loss 83.7758, rec_loss 0.1504, p_loss 0.6907, utilization 0.0024, perplexity 3.1807,
Train Epoch: [1/30] Iters:[100/1875] loss 65.7207, rec_loss 0.1223, p_loss 0.6807, utilization 0.0024, perplexity 3.5844,
Train Epoch: [1/30] Iters:[110/1875] loss 48.1511, rec_loss 0.1076, p_loss 0.6724, utilization 0.0023, perplexity 3.8743,
Train Epoch: [1/30] Iters:[120/1875] loss 38.9868, rec_loss 0.0993, p_loss 0.6650, utilization 0.0021, perplexity 4.1968,
Train Epoch: [1/30] Iters:[130/1875] loss 42.4771, rec_loss 0.0901, p_loss 0.6622, utilization 0.0017, perplexity 4.4512,
