dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
VQ: vanilla_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0
training_pre: vanilla_vq
saver_name_pre: vanilla_vq_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 3.0697, rec_loss 0.5152, p_loss 0.7966, utilization 0.0057, perplexity 29.9753,
Train Epoch: [1/30] Iters:[20/1875] loss 2.4223, rec_loss 0.4370, p_loss 0.7729, utilization 0.0033, perplexity 19.5469,
Train Epoch: [1/30] Iters:[30/1875] loss 2.5321, rec_loss 0.4181, p_loss 0.7621, utilization 0.0023, perplexity 14.1722,
Train Epoch: [1/30] Iters:[40/1875] loss 3.5095, rec_loss 0.3981, p_loss 0.7585, utilization 0.0018, perplexity 11.2719,
Train Epoch: [1/30] Iters:[50/1875] loss 6.1349, rec_loss 0.3867, p_loss 0.7571, utilization 0.0015, perplexity 9.4722,
Train Epoch: [1/30] Iters:[60/1875] loss 13.6684, rec_loss 0.3467, p_loss 0.7473, utilization 0.0004, perplexity 3.9070,
Train Epoch: [1/30] Iters:[70/1875] loss 32.2469, rec_loss 0.3297, p_loss 0.7448, utilization 0.0003, perplexity 2.5020,
Train Epoch: [1/30] Iters:[80/1875] loss 67.1087, rec_loss 0.3012, p_loss 0.7383, utilization 0.0003, perplexity 2.2302,
Train Epoch: [1/30] Iters:[90/1875] loss 91.8583, rec_loss 0.2594, p_loss 0.7308, utilization 0.0002, perplexity 2.1507,
Train Epoch: [1/30] Iters:[100/1875] loss 107.9246, rec_loss 0.2161, p_loss 0.7173, utilization 0.0002, perplexity 2.1464,
Train Epoch: [1/30] Iters:[110/1875] loss 110.1295, rec_loss 0.1762, p_loss 0.7019, utilization 0.0002, perplexity 2.1906,
Train Epoch: [1/30] Iters:[120/1875] loss 99.7264, rec_loss 0.1397, p_loss 0.6867, utilization 0.0002, perplexity 2.2698,
Train Epoch: [1/30] Iters:[130/1875] loss 70.3585, rec_loss 0.1088, p_loss 0.6769, utilization 0.0002, perplexity 2.3781,
