dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
VQ: wasserstein_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_0.5
training_pre: wasserstein_vq
saver_name_pre: wasserstein_vq_CelebAHQ_model_256_8_2_loss_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 10.4266, rec_loss 0.5284, p_loss 0.8134, utilization 0.0089, perplexity 43.8833,
Train Epoch: [1/30] Iters:[20/1875] loss 26.1931, rec_loss 0.4535, p_loss 0.7758, utilization 0.0064, perplexity 24.1327,
Train Epoch: [1/30] Iters:[30/1875] loss 56.5390, rec_loss 0.4006, p_loss 0.7646, utilization 0.0051, perplexity 16.9778,
Train Epoch: [1/30] Iters:[40/1875] loss 102.6332, rec_loss 0.3414, p_loss 0.7501, utilization 0.0041, perplexity 13.3047,
Train Epoch: [1/30] Iters:[50/1875] loss 110.9042, rec_loss 0.3084, p_loss 0.7380, utilization 0.0034, perplexity 11.3260,
Train Epoch: [1/30] Iters:[60/1875] loss 113.8422, rec_loss 0.2580, p_loss 0.7177, utilization 0.0020, perplexity 3.6046,
Train Epoch: [1/30] Iters:[70/1875] loss 111.7922, rec_loss 0.2107, p_loss 0.7129, utilization 0.0016, perplexity 3.7215,
Train Epoch: [1/30] Iters:[80/1875] loss 108.9461, rec_loss 0.1734, p_loss 0.7021, utilization 0.0013, perplexity 3.9526,
Train Epoch: [1/30] Iters:[90/1875] loss 66.8461, rec_loss 0.1712, p_loss 0.6955, utilization 0.0017, perplexity 4.6885,
Train Epoch: [1/30] Iters:[100/1875] loss 49.6020, rec_loss 0.1603, p_loss 0.6989, utilization 0.0018, perplexity 5.2944,
Train Epoch: [1/30] Iters:[110/1875] loss 58.3084, rec_loss 0.1294, p_loss 0.6964, utilization 0.0015, perplexity 5.2026,
Train Epoch: [1/30] Iters:[120/1875] loss 54.9838, rec_loss 0.1234, p_loss 0.6911, utilization 0.0015, perplexity 5.8844,
Train Epoch: [1/30] Iters:[130/1875] loss 39.2295, rec_loss 0.1220, p_loss 0.6915, utilization 0.0014, perplexity 6.5723,
Train Epoch: [1/30] Iters:[140/1875] loss 34.3229, rec_loss 0.1110, p_loss 0.6933, utilization 0.0014, perplexity 7.4786,
Train Epoch: [1/30] Iters:[150/1875] loss 23.9477, rec_loss 0.1021, p_loss 0.6882, utilization 0.0019, perplexity 9.6614,
Train Epoch: [1/30] Iters:[160/1875] loss 11.5365, rec_loss 0.0927, p_loss 0.6822, utilization 0.0026, perplexity 13.4471,
Train Epoch: [1/30] Iters:[170/1875] loss 10.2346, rec_loss 0.0840, p_loss 0.6769, utilization 0.0030, perplexity 15.9066,
Train Epoch: [1/30] Iters:[180/1875] loss 7.7769, rec_loss 0.0786, p_loss 0.6705, utilization 0.0037, perplexity 18.6849,
Train Epoch: [1/30] Iters:[190/1875] loss 9.0890, rec_loss 0.0740, p_loss 0.6661, utilization 0.0037, perplexity 19.7475,
Train Epoch: [1/30] Iters:[200/1875] loss 9.9000, rec_loss 0.0720, p_loss 0.6605, utilization 0.0036, perplexity 20.0440,
Train Epoch: [1/30] Iters:[210/1875] loss 11.5362, rec_loss 0.0705, p_loss 0.6556, utilization 0.0033, perplexity 18.5637,
Train Epoch: [1/30] Iters:[220/1875] loss 12.0817, rec_loss 0.0695, p_loss 0.6517, utilization 0.0033, perplexity 17.5711,
Train Epoch: [1/30] Iters:[230/1875] loss 10.8446, rec_loss 0.0681, p_loss 0.6472, utilization 0.0033, perplexity 18.4503,
Train Epoch: [1/30] Iters:[240/1875] loss 10.4179, rec_loss 0.0636, p_loss 0.6420, utilization 0.0034, perplexity 19.4304,
Train Epoch: [1/30] Iters:[250/1875] loss 10.4586, rec_loss 0.0616, p_loss 0.6330, utilization 0.0036, perplexity 20.3068,
Train Epoch: [1/30] Iters:[260/1875] loss 9.6154, rec_loss 0.0613, p_loss 0.6190, utilization 0.0039, perplexity 22.2776,
Train Epoch: [1/30] Iters:[270/1875] loss 9.5000, rec_loss 0.0589, p_loss 0.6009, utilization 0.0042, perplexity 24.5670,
Train Epoch: [1/30] Iters:[280/1875] loss 9.7523, rec_loss 0.0559, p_loss 0.5780, utilization 0.0043, perplexity 26.1933,
Train Epoch: [1/30] Iters:[290/1875] loss 9.0070, rec_loss 0.0535, p_loss 0.5545, utilization 0.0047, perplexity 28.7966,
Train Epoch: [1/30] Iters:[300/1875] loss 8.3374, rec_loss 0.0503, p_loss 0.5367, utilization 0.0052, perplexity 32.4411,
Train Epoch: [1/30] Iters:[310/1875] loss 7.5556, rec_loss 0.0466, p_loss 0.5253, utilization 0.0059, perplexity 36.2584,
Train Epoch: [1/30] Iters:[320/1875] loss 6.4764, rec_loss 0.0444, p_loss 0.5119, utilization 0.0069, perplexity 41.6123,
Train Epoch: [1/30] Iters:[330/1875] loss 6.3718, rec_loss 0.0421, p_loss 0.5058, utilization 0.0082, perplexity 47.5976,
Train Epoch: [1/30] Iters:[340/1875] loss 6.4700, rec_loss 0.0417, p_loss 0.4985, utilization 0.0093, perplexity 55.7096,
Train Epoch: [1/30] Iters:[350/1875] loss 6.5734, rec_loss 0.0411, p_loss 0.4894, utilization 0.0102, perplexity 64.1208,
Train Epoch: [1/30] Iters:[360/1875] loss 6.6750, rec_loss 0.0390, p_loss 0.4771, utilization 0.0109, perplexity 71.8491,
Train Epoch: [1/30] Iters:[370/1875] loss 7.2227, rec_loss 0.0381, p_loss 0.4720, utilization 0.0115, perplexity 79.2899,
Train Epoch: [1/30] Iters:[380/1875] loss 7.4917, rec_loss 0.0371, p_loss 0.4644, utilization 0.0118, perplexity 87.6496,
Train Epoch: [1/30] Iters:[390/1875] loss 7.6285, rec_loss 0.0368, p_loss 0.4567, utilization 0.0124, perplexity 94.9119,
Train Epoch: [1/30] Iters:[400/1875] loss 7.5522, rec_loss 0.0360, p_loss 0.4479, utilization 0.0129, perplexity 101.3302,
Train Epoch: [1/30] Iters:[410/1875] loss 7.5904, rec_loss 0.0356, p_loss 0.4437, utilization 0.0136, perplexity 107.2910,
Train Epoch: [1/30] Iters:[420/1875] loss 7.2474, rec_loss 0.0351, p_loss 0.4355, utilization 0.0139, perplexity 112.5240,
