dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 16
workers: 8
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
VQ: wasserstein_vq
epochs: 30
eval_epochs: 5
lr: 0.0001
dropout: 0.0
seed: 3407
weight_decay: 1e-05
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/checkpoint/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/results/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/saver/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/reconstruction/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/yaml/CelebAHQ
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 8
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5
training_pre: wasserstein_vq
saver_name_pre: wasserstein_vq_CelebAHQ_model_65536_16_1_loss_1.0_0.2_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/Pixel-Space/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1875] loss 11.9633, rec_loss 0.4222, p_loss 0.7904, utilization 0.0060, perplexity 25.4340,
Train Epoch: [1/30] Iters:[20/1875] loss 15.9372, rec_loss 0.3153, p_loss 0.7615, utilization 0.0040, perplexity 16.3630,
Train Epoch: [1/30] Iters:[30/1875] loss 11.8169, rec_loss 0.2551, p_loss 0.7408, utilization 0.0039, perplexity 16.5905,
Train Epoch: [1/30] Iters:[40/1875] loss 9.6543, rec_loss 0.2170, p_loss 0.7281, utilization 0.0046, perplexity 18.4385,
Train Epoch: [1/30] Iters:[50/1875] loss 8.2158, rec_loss 0.1886, p_loss 0.7162, utilization 0.0062, perplexity 24.9075,
Train Epoch: [1/30] Iters:[60/1875] loss 6.1757, rec_loss 0.1162, p_loss 0.6892, utilization 0.0079, perplexity 40.2533,
Train Epoch: [1/30] Iters:[70/1875] loss 2.4887, rec_loss 0.0842, p_loss 0.6699, utilization 0.0116, perplexity 73.3731,
Train Epoch: [1/30] Iters:[80/1875] loss 2.0258, rec_loss 0.0657, p_loss 0.6499, utilization 0.0166, perplexity 117.8645,
Train Epoch: [1/30] Iters:[90/1875] loss 1.6416, rec_loss 0.0537, p_loss 0.6227, utilization 0.0215, perplexity 161.7859,
Train Epoch: [1/30] Iters:[100/1875] loss 1.3768, rec_loss 0.0464, p_loss 0.5933, utilization 0.0277, perplexity 222.2754,
Train Epoch: [1/30] Iters:[110/1875] loss 1.2498, rec_loss 0.0423, p_loss 0.5669, utilization 0.0348, perplexity 289.6066,
Train Epoch: [1/30] Iters:[120/1875] loss 1.1550, rec_loss 0.0392, p_loss 0.5360, utilization 0.0403, perplexity 349.9107,
Train Epoch: [1/30] Iters:[130/1875] loss 1.1078, rec_loss 0.0372, p_loss 0.5090, utilization 0.0459, perplexity 409.9532,
Train Epoch: [1/30] Iters:[140/1875] loss 1.0462, rec_loss 0.0348, p_loss 0.4877, utilization 0.0511, perplexity 484.1438,
Train Epoch: [1/30] Iters:[150/1875] loss 0.9832, rec_loss 0.0323, p_loss 0.4686, utilization 0.0540, perplexity 545.1773,
Train Epoch: [1/30] Iters:[160/1875] loss 0.9230, rec_loss 0.0297, p_loss 0.4487, utilization 0.0560, perplexity 617.4276,
Train Epoch: [1/30] Iters:[170/1875] loss 0.8868, rec_loss 0.0284, p_loss 0.4348, utilization 0.0598, perplexity 699.3500,
Train Epoch: [1/30] Iters:[180/1875] loss 0.8306, rec_loss 0.0272, p_loss 0.4227, utilization 0.0629, perplexity 805.8183,
Train Epoch: [1/30] Iters:[190/1875] loss 0.8031, rec_loss 0.0260, p_loss 0.4109, utilization 0.0668, perplexity 919.4111,
Train Epoch: [1/30] Iters:[200/1875] loss 0.7907, rec_loss 0.0256, p_loss 0.4047, utilization 0.0715, perplexity 1052.5050,
Train Epoch: [1/30] Iters:[210/1875] loss 0.7703, rec_loss 0.0248, p_loss 0.3963, utilization 0.0763, perplexity 1183.2379,
Train Epoch: [1/30] Iters:[220/1875] loss 0.7472, rec_loss 0.0248, p_loss 0.3896, utilization 0.0802, perplexity 1319.3883,
Train Epoch: [1/30] Iters:[230/1875] loss 0.7278, rec_loss 0.0242, p_loss 0.3825, utilization 0.0832, perplexity 1446.3205,
Train Epoch: [1/30] Iters:[240/1875] loss 0.7090, rec_loss 0.0238, p_loss 0.3781, utilization 0.0850, perplexity 1540.3636,
Train Epoch: [1/30] Iters:[250/1875] loss 0.6847, rec_loss 0.0233, p_loss 0.3710, utilization 0.0865, perplexity 1642.3236,
Train Epoch: [1/30] Iters:[260/1875] loss 0.6712, rec_loss 0.0226, p_loss 0.3640, utilization 0.0880, perplexity 1725.7116,
Train Epoch: [1/30] Iters:[270/1875] loss 0.6497, rec_loss 0.0213, p_loss 0.3552, utilization 0.0891, perplexity 1815.5397,
Train Epoch: [1/30] Iters:[280/1875] loss 0.6495, rec_loss 0.0203, p_loss 0.3505, utilization 0.0910, perplexity 1903.1833,
Train Epoch: [1/30] Iters:[290/1875] loss 0.6409, rec_loss 0.0195, p_loss 0.3433, utilization 0.0931, perplexity 1998.0000,
Train Epoch: [1/30] Iters:[300/1875] loss 0.6453, rec_loss 0.0188, p_loss 0.3331, utilization 0.0946, perplexity 2067.8098,
Train Epoch: [1/30] Iters:[310/1875] loss 0.6398, rec_loss 0.0182, p_loss 0.3284, utilization 0.0957, perplexity 2102.0579,
Train Epoch: [1/30] Iters:[320/1875] loss 0.6467, rec_loss 0.0173, p_loss 0.3222, utilization 0.0981, perplexity 2195.6560,
Train Epoch: [1/30] Iters:[330/1875] loss 0.6344, rec_loss 0.0170, p_loss 0.3138, utilization 0.0997, perplexity 2279.6823,
Train Epoch: [1/30] Iters:[340/1875] loss 0.6131, rec_loss 0.0167, p_loss 0.3095, utilization 0.1018, perplexity 2387.1276,
Train Epoch: [1/30] Iters:[350/1875] loss 0.5933, rec_loss 0.0160, p_loss 0.3062, utilization 0.1052, perplexity 2556.7789,
Train Epoch: [1/30] Iters:[360/1875] loss 0.5776, rec_loss 0.0157, p_loss 0.2980, utilization 0.1092, perplexity 2773.3709,
Train Epoch: [1/30] Iters:[370/1875] loss 0.5609, rec_loss 0.0157, p_loss 0.2952, utilization 0.1119, perplexity 2900.6081,
Train Epoch: [1/30] Iters:[380/1875] loss 0.5547, rec_loss 0.0152, p_loss 0.2936, utilization 0.1146, perplexity 3024.6427,
Train Epoch: [1/30] Iters:[390/1875] loss 0.5580, rec_loss 0.0152, p_loss 0.2889, utilization 0.1176, perplexity 3185.4201,
Train Epoch: [1/30] Iters:[400/1875] loss 0.5583, rec_loss 0.0153, p_loss 0.2853, utilization 0.1198, perplexity 3311.2057,
Train Epoch: [1/30] Iters:[410/1875] loss 0.5538, rec_loss 0.0152, p_loss 0.2830, utilization 0.1215, perplexity 3428.9423,
Train Epoch: [1/30] Iters:[420/1875] loss 0.5444, rec_loss 0.0146, p_loss 0.2780, utilization 0.1243, perplexity 3611.8977,
Train Epoch: [1/30] Iters:[430/1875] loss 0.5416, rec_loss 0.0144, p_loss 0.2736, utilization 0.1276, perplexity 3769.6090,
Train Epoch: [1/30] Iters:[440/1875] loss 0.5404, rec_loss 0.0139, p_loss 0.2698, utilization 0.1295, perplexity 3842.2187,
Train Epoch: [1/30] Iters:[450/1875] loss 0.5274, rec_loss 0.0138, p_loss 0.2660, utilization 0.1327, perplexity 3984.8564,
Train Epoch: [1/30] Iters:[460/1875] loss 0.5201, rec_loss 0.0135, p_loss 0.2613, utilization 0.1358, perplexity 4095.7261,
Train Epoch: [1/30] Iters:[470/1875] loss 0.5140, rec_loss 0.0132, p_loss 0.2565, utilization 0.1390, perplexity 4236.0642,
Train Epoch: [1/30] Iters:[480/1875] loss 0.5025, rec_loss 0.0129, p_loss 0.2491, utilization 0.1404, perplexity 4340.6941,
Train Epoch: [1/30] Iters:[490/1875] loss 0.4825, rec_loss 0.0125, p_loss 0.2429, utilization 0.1448, perplexity 4597.0537,
Train Epoch: [1/30] Iters:[500/1875] loss 0.4753, rec_loss 0.0118, p_loss 0.2368, utilization 0.1468, perplexity 4706.1925,
Train Epoch: [1/30] Iters:[510/1875] loss 0.4763, rec_loss 0.0114, p_loss 0.2362, utilization 0.1498, perplexity 4902.0725,
Train Epoch: [1/30] Iters:[520/1875] loss 0.4826, rec_loss 0.0114, p_loss 0.2346, utilization 0.1509, perplexity 4945.9380,
Train Epoch: [1/30] Iters:[530/1875] loss 0.4799, rec_loss 0.0113, p_loss 0.2350, utilization 0.1547, perplexity 5104.2297,
Train Epoch: [1/30] Iters:[540/1875] loss 0.4818, rec_loss 0.0111, p_loss 0.2359, utilization 0.1562, perplexity 5148.9984,
Train Epoch: [1/30] Iters:[550/1875] loss 0.4883, rec_loss 0.0114, p_loss 0.2370, utilization 0.1591, perplexity 5301.6492,
Train Epoch: [1/30] Iters:[560/1875] loss 0.4877, rec_loss 0.0113, p_loss 0.2343, utilization 0.1614, perplexity 5396.3163,
Train Epoch: [1/30] Iters:[570/1875] loss 0.4793, rec_loss 0.0113, p_loss 0.2315, utilization 0.1654, perplexity 5614.9617,
Train Epoch: [1/30] Iters:[580/1875] loss 0.4843, rec_loss 0.0108, p_loss 0.2265, utilization 0.1681, perplexity 5784.2487,
