dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-ema_vq_transplant_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_refinement
saver_name_pre: ema_vq_refinement_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/468] gen_loss 4.3961, rec_loss 0.0123, lpips_loss 0.1515, g_loss 0.3807, disc_weight 0.4000, disc_adaptive_weight 10.5624, d_loss 2.6474, logits_real -0.2928, logits_fake -0.3858,
Train Epoch: [1/30] Iters:[20/468] gen_loss 9.6742, rec_loss 0.0175, lpips_loss 0.1943, g_loss 0.4486, disc_weight 0.4000, disc_adaptive_weight 19.4434, d_loss 2.3568, logits_real -0.2901, logits_fake -0.4521,
Train Epoch: [1/30] Iters:[30/468] gen_loss 11.5717, rec_loss 0.0279, lpips_loss 0.2605, g_loss 0.4825, disc_weight 0.4000, disc_adaptive_weight 21.9911, d_loss 2.1632, logits_real -0.2899, logits_fake -0.4862,
Train Epoch: [1/30] Iters:[40/468] gen_loss 11.9067, rec_loss 0.0435, lpips_loss 0.3204, g_loss 0.4848, disc_weight 0.4000, disc_adaptive_weight 22.7607, d_loss 2.0161, logits_real -0.2882, logits_fake -0.4865,
Train Epoch: [1/30] Iters:[50/468] gen_loss 12.0242, rec_loss 0.0622, lpips_loss 0.3735, g_loss 0.4813, disc_weight 0.4000, disc_adaptive_weight 23.2366, d_loss 1.8938, logits_real -0.2866, logits_fake -0.4813,
Train Epoch: [1/30] Iters:[60/468] gen_loss 13.6350, rec_loss 0.0896, lpips_loss 0.4682, g_loss 0.4976, disc_weight 0.4000, disc_adaptive_weight 26.1693, d_loss 1.6098, logits_real -0.2837, logits_fake -0.4953,
Train Epoch: [1/30] Iters:[70/468] gen_loss 12.9251, rec_loss 0.1215, lpips_loss 0.5475, g_loss 0.4772, disc_weight 0.4000, disc_adaptive_weight 25.6277, d_loss 1.4142, logits_real -0.2805, logits_fake -0.4732,
Train Epoch: [1/30] Iters:[80/468] gen_loss 11.9733, rec_loss 0.1490, lpips_loss 0.5951, g_loss 0.4428, disc_weight 0.4000, disc_adaptive_weight 25.3908, d_loss 1.2585, logits_real -0.2766, logits_fake -0.4390,
Train Epoch: [1/30] Iters:[90/468] gen_loss 11.4774, rec_loss 0.1690, lpips_loss 0.6272, g_loss 0.4140, disc_weight 0.4000, disc_adaptive_weight 25.8830, d_loss 1.1284, logits_real -0.2735, logits_fake -0.4105,
Train Epoch: [1/30] Iters:[100/468] gen_loss 10.2689, rec_loss 0.1803, lpips_loss 0.6406, g_loss 0.3882, disc_weight 0.4000, disc_adaptive_weight 24.1549, d_loss 1.0235, logits_real -0.2703, logits_fake -0.3849,
Train Epoch: [1/30] Iters:[110/468] gen_loss 8.4278, rec_loss 0.1996, lpips_loss 0.6450, g_loss 0.3576, disc_weight 0.4000, disc_adaptive_weight 20.6268, d_loss 0.9581, logits_real -0.2666, logits_fake -0.3557,
Train Epoch: [1/30] Iters:[120/468] gen_loss 6.6468, rec_loss 0.2131, lpips_loss 0.6483, g_loss 0.3330, disc_weight 0.4000, disc_adaptive_weight 16.5865, d_loss 0.9261, logits_real -0.2634, logits_fake -0.3332,
Train Epoch: [1/30] Iters:[130/468] gen_loss 4.8514, rec_loss 0.2193, lpips_loss 0.6522, g_loss 0.3073, disc_weight 0.4000, disc_adaptive_weight 12.0152, d_loss 0.9013, logits_real -0.2593, logits_fake -0.3057,
Train Epoch: [1/30] Iters:[140/468] gen_loss 3.0288, rec_loss 0.2283, lpips_loss 0.6423, g_loss 0.2769, disc_weight 0.4000, disc_adaptive_weight 7.0008, d_loss 0.8896, logits_real -0.2537, logits_fake -0.2756,
Train Epoch: [1/30] Iters:[150/468] gen_loss 2.0384, rec_loss 0.2460, lpips_loss 0.6293, g_loss 0.2435, disc_weight 0.4000, disc_adaptive_weight 4.4390, d_loss 0.8835, logits_real -0.2462, logits_fake -0.2439,
Train Epoch: [1/30] Iters:[160/468] gen_loss 1.7221, rec_loss 0.2613, lpips_loss 0.6117, g_loss 0.2114, disc_weight 0.4000, disc_adaptive_weight 3.9811, d_loss 0.8706, logits_real -0.2364, logits_fake -0.2127,
