dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: fsq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-fsq_transplant_CelebAHQ_model_8_4_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_8_4
loss_pre: loss_1.0_0.4
training_pre: fsq_refinement
saver_name_pre: fsq_refinement_CelebAHQ_model_8_4_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/468] gen_loss 2.4193, rec_loss 0.0154, lpips_loss 0.1820, g_loss 0.2310, disc_weight 0.4000, disc_adaptive_weight 8.6782, d_loss 2.6127, logits_real -0.1243, logits_fake -0.2271,
Train Epoch: [1/30] Iters:[20/468] gen_loss 2.6360, rec_loss 0.0232, lpips_loss 0.2179, g_loss 0.2827, disc_weight 0.4000, disc_adaptive_weight 8.2148, d_loss 2.3649, logits_real -0.1245, logits_fake -0.2816,
Train Epoch: [1/30] Iters:[30/468] gen_loss 2.3853, rec_loss 0.0313, lpips_loss 0.2464, g_loss 0.2997, disc_weight 0.4000, disc_adaptive_weight 7.0085, d_loss 2.2017, logits_real -0.1236, logits_fake -0.3015,
Train Epoch: [1/30] Iters:[40/468] gen_loss 2.2570, rec_loss 0.0381, lpips_loss 0.2928, g_loss 0.3037, disc_weight 0.4000, disc_adaptive_weight 6.3479, d_loss 2.0687, logits_real -0.1232, logits_fake -0.3062,
Train Epoch: [1/30] Iters:[50/468] gen_loss 2.1774, rec_loss 0.0445, lpips_loss 0.3353, g_loss 0.3031, disc_weight 0.4000, disc_adaptive_weight 5.9312, d_loss 1.9412, logits_real -0.1227, logits_fake -0.3052,
Train Epoch: [1/30] Iters:[60/468] gen_loss 2.0331, rec_loss 0.0583, lpips_loss 0.4039, g_loss 0.3093, disc_weight 0.4000, disc_adaptive_weight 5.0248, d_loss 1.6816, logits_real -0.1224, logits_fake -0.3114,
Train Epoch: [1/30] Iters:[70/468] gen_loss 1.7587, rec_loss 0.0724, lpips_loss 0.4599, g_loss 0.2848, disc_weight 0.4000, disc_adaptive_weight 4.2708, d_loss 1.5097, logits_real -0.1210, logits_fake -0.2875,
Train Epoch: [1/30] Iters:[80/468] gen_loss 1.5989, rec_loss 0.0851, lpips_loss 0.5028, g_loss 0.2458, disc_weight 0.4000, disc_adaptive_weight 4.0190, d_loss 1.3799, logits_real -0.1203, logits_fake -0.2472,
Train Epoch: [1/30] Iters:[90/468] gen_loss 1.3994, rec_loss 0.0963, lpips_loss 0.5145, g_loss 0.2040, disc_weight 0.4000, disc_adaptive_weight 3.6600, d_loss 1.2746, logits_real -0.1192, logits_fake -0.2041,
Train Epoch: [1/30] Iters:[100/468] gen_loss 1.2132, rec_loss 0.1063, lpips_loss 0.5057, g_loss 0.1604, disc_weight 0.4000, disc_adaptive_weight 3.7040, d_loss 1.2018, logits_real -0.1165, logits_fake -0.1600,
Train Epoch: [1/30] Iters:[110/468] gen_loss 1.0245, rec_loss 0.1121, lpips_loss 0.4840, g_loss 0.1190, disc_weight 0.4000, disc_adaptive_weight 3.6949, d_loss 1.1387, logits_real -0.1123, logits_fake -0.1196,
Train Epoch: [1/30] Iters:[120/468] gen_loss 0.8564, rec_loss 0.1122, lpips_loss 0.4518, g_loss 0.0859, disc_weight 0.4000, disc_adaptive_weight 3.6254, d_loss 1.0765, logits_real -0.1074, logits_fake -0.0860,
Train Epoch: [1/30] Iters:[130/468] gen_loss 0.7640, rec_loss 0.1120, lpips_loss 0.4155, g_loss 0.0656, disc_weight 0.4000, disc_adaptive_weight 3.9143, d_loss 1.0154, logits_real -0.1010, logits_fake -0.0651,
Train Epoch: [1/30] Iters:[140/468] gen_loss 0.6891, rec_loss 0.1091, lpips_loss 0.3790, g_loss 0.0487, disc_weight 0.4000, disc_adaptive_weight 4.3224, d_loss 0.9626, logits_real -0.0935, logits_fake -0.0488,
Train Epoch: [1/30] Iters:[150/468] gen_loss 0.5846, rec_loss 0.1019, lpips_loss 0.3444, g_loss 0.0344, disc_weight 0.4000, disc_adaptive_weight 4.0994, d_loss 0.9173, logits_real -0.0852, logits_fake -0.0352,
Train Epoch: [1/30] Iters:[160/468] gen_loss 0.5066, rec_loss 0.0931, lpips_loss 0.3146, g_loss 0.0257, disc_weight 0.4000, disc_adaptive_weight 3.8370, d_loss 0.8803, logits_real -0.0767, logits_fake -0.0273,
Train Epoch: [1/30] Iters:[170/468] gen_loss 0.4530, rec_loss 0.0872, lpips_loss 0.2905, g_loss 0.0200, disc_weight 0.4000, disc_adaptive_weight 3.6766, d_loss 0.8511, logits_real -0.0677, logits_fake -0.0209,
Train Epoch: [1/30] Iters:[180/468] gen_loss 0.3927, rec_loss 0.0776, lpips_loss 0.2700, g_loss 0.0150, disc_weight 0.4000, disc_adaptive_weight 3.1152, d_loss 0.8236, logits_real -0.0582, logits_fake -0.0167,
Train Epoch: [1/30] Iters:[190/468] gen_loss 0.3543, rec_loss 0.0669, lpips_loss 0.2527, g_loss 0.0146, disc_weight 0.4000, disc_adaptive_weight 2.5890, d_loss 0.7970, logits_real -0.0486, logits_fake -0.0153,
Train Epoch: [1/30] Iters:[200/468] gen_loss 0.3300, rec_loss 0.0575, lpips_loss 0.2356, g_loss 0.0162, disc_weight 0.4000, disc_adaptive_weight 2.3705, d_loss 0.7706, logits_real -0.0403, logits_fake -0.0164,
Train Epoch: [1/30] Iters:[210/468] gen_loss 0.3092, rec_loss 0.0503, lpips_loss 0.2205, g_loss 0.0168, disc_weight 0.4000, disc_adaptive_weight 2.2687, d_loss 0.7467, logits_real -0.0327, logits_fake -0.0165,
Train Epoch: [1/30] Iters:[220/468] gen_loss 0.2843, rec_loss 0.0404, lpips_loss 0.2058, g_loss 0.0173, disc_weight 0.4000, disc_adaptive_weight 2.1609, d_loss 0.7194, logits_real -0.0264, logits_fake -0.0175,
Train Epoch: [1/30] Iters:[230/468] gen_loss 0.2685, rec_loss 0.0326, lpips_loss 0.1937, g_loss 0.0181, disc_weight 0.4000, disc_adaptive_weight 2.3183, d_loss 0.6938, logits_real -0.0220, logits_fake -0.0177,
Train Epoch: [1/30] Iters:[240/468] gen_loss 0.2536, rec_loss 0.0285, lpips_loss 0.1845, g_loss 0.0166, disc_weight 0.4000, disc_adaptive_weight 2.4466, d_loss 0.6745, logits_real -0.0185, logits_fake -0.0168,
Train Epoch: [1/30] Iters:[250/468] gen_loss 0.2408, rec_loss 0.0255, lpips_loss 0.1784, g_loss 0.0152, disc_weight 0.4000, disc_adaptive_weight 2.4018, d_loss 0.6585, logits_real -0.0162, logits_fake -0.0156,
Train Epoch: [1/30] Iters:[260/468] gen_loss 0.2328, rec_loss 0.0231, lpips_loss 0.1738, g_loss 0.0147, disc_weight 0.4000, disc_adaptive_weight 2.4356, d_loss 0.6438, logits_real -0.0143, logits_fake -0.0145,
Train Epoch: [1/30] Iters:[270/468] gen_loss 0.2252, rec_loss 0.0230, lpips_loss 0.1713, g_loss 0.0122, disc_weight 0.4000, disc_adaptive_weight 2.5319, d_loss 0.6331, logits_real -0.0126, logits_fake -0.0117,
Train Epoch: [1/30] Iters:[280/468] gen_loss 0.2157, rec_loss 0.0222, lpips_loss 0.1693, g_loss 0.0098, disc_weight 0.4000, disc_adaptive_weight 2.4651, d_loss 0.6227, logits_real -0.0107, logits_fake -0.0096,
Train Epoch: [1/30] Iters:[290/468] gen_loss 0.2067, rec_loss 0.0204, lpips_loss 0.1660, g_loss 0.0082, disc_weight 0.4000, disc_adaptive_weight 2.5457, d_loss 0.6102, logits_real -0.0090, logits_fake -0.0082,
Train Epoch: [1/30] Iters:[300/468] gen_loss 0.1981, rec_loss 0.0194, lpips_loss 0.1632, g_loss 0.0059, disc_weight 0.4000, disc_adaptive_weight 2.5889, d_loss 0.6002, logits_real -0.0073, logits_fake -0.0061,
Train Epoch: [1/30] Iters:[310/468] gen_loss 0.1899, rec_loss 0.0187, lpips_loss 0.1611, g_loss 0.0036, disc_weight 0.4000, disc_adaptive_weight 2.5921, d_loss 0.5911, logits_real -0.0060, logits_fake -0.0039,
Train Epoch: [1/30] Iters:[320/468] gen_loss 0.1824, rec_loss 0.0179, lpips_loss 0.1593, g_loss 0.0019, disc_weight 0.4000, disc_adaptive_weight 2.5536, d_loss 0.5826, logits_real -0.0047, logits_fake -0.0023,
Train Epoch: [1/30] Iters:[330/468] gen_loss 0.1776, rec_loss 0.0177, lpips_loss 0.1584, g_loss 0.0005, disc_weight 0.4000, disc_adaptive_weight 2.6903, d_loss 0.5742, logits_real -0.0037, logits_fake -0.0008,
Train Epoch: [1/30] Iters:[340/468] gen_loss 0.1737, rec_loss 0.0180, lpips_loss 0.1588, g_loss -0.0011, disc_weight 0.4000, disc_adaptive_weight 2.6423, d_loss 0.5680, logits_real -0.0027, logits_fake 0.0009,
Train Epoch: [1/30] Iters:[350/468] gen_loss 0.1701, rec_loss 0.0179, lpips_loss 0.1587, g_loss -0.0025, disc_weight 0.4000, disc_adaptive_weight 2.7058, d_loss 0.5613, logits_real -0.0012, logits_fake 0.0026,
Train Epoch: [1/30] Iters:[360/468] gen_loss 0.1646, rec_loss 0.0172, lpips_loss 0.1577, g_loss -0.0039, disc_weight 0.4000, disc_adaptive_weight 2.7664, d_loss 0.5540, logits_real 0.0004, logits_fake 0.0040,
Train Epoch: [1/30] Iters:[370/468] gen_loss 0.1590, rec_loss 0.0168, lpips_loss 0.1572, g_loss -0.0057, disc_weight 0.4000, disc_adaptive_weight 2.8077, d_loss 0.5472, logits_real 0.0017, logits_fake 0.0058,
Train Epoch: [1/30] Iters:[380/468] gen_loss 0.1541, rec_loss 0.0164, lpips_loss 0.1564, g_loss -0.0071, disc_weight 0.4000, disc_adaptive_weight 2.7036, d_loss 0.5413, logits_real 0.0031, logits_fake 0.0073,
Train Epoch: [1/30] Iters:[390/468] gen_loss 0.1492, rec_loss 0.0162, lpips_loss 0.1554, g_loss -0.0086, disc_weight 0.4000, disc_adaptive_weight 2.6641, d_loss 0.5362, logits_real 0.0043, logits_fake 0.0089,
Train Epoch: [1/30] Iters:[400/468] gen_loss 0.1446, rec_loss 0.0166, lpips_loss 0.1552, g_loss -0.0100, disc_weight 0.4000, disc_adaptive_weight 2.7462, d_loss 0.5322, logits_real 0.0050, logits_fake 0.0104,
Train Epoch: [1/30] Iters:[410/468] gen_loss 0.1422, rec_loss 0.0170, lpips_loss 0.1556, g_loss -0.0119, disc_weight 0.4000, disc_adaptive_weight 2.6226, d_loss 0.5282, logits_real 0.0060, logits_fake 0.0118,
Train Epoch: [1/30] Iters:[420/468] gen_loss 0.1382, rec_loss 0.0171, lpips_loss 0.1561, g_loss -0.0129, disc_weight 0.4000, disc_adaptive_weight 2.7462, d_loss 0.5245, logits_real 0.0070, logits_fake 0.0127,
Train Epoch: [1/30] Iters:[430/468] gen_loss 0.1339, rec_loss 0.0173, lpips_loss 0.1563, g_loss -0.0142, disc_weight 0.4000, disc_adaptive_weight 2.8236, d_loss 0.5207, logits_real 0.0081, logits_fake 0.0139,
Train Epoch: [1/30] Iters:[440/468] gen_loss 0.1292, rec_loss 0.0168, lpips_loss 0.1563, g_loss -0.0151, disc_weight 0.4000, disc_adaptive_weight 2.9383, d_loss 0.5155, logits_real 0.0091, logits_fake 0.0147,
Train Epoch: [1/30] Iters:[450/468] gen_loss 0.1269, rec_loss 0.0163, lpips_loss 0.1558, g_loss -0.0161, disc_weight 0.4000, disc_adaptive_weight 2.8450, d_loss 0.5103, logits_real 0.0102, logits_fake 0.0154,
Train Epoch: [1/30] Iters:[460/468] gen_loss 0.1208, rec_loss 0.0161, lpips_loss 0.1556, g_loss -0.0170, disc_weight 0.4000, disc_adaptive_weight 3.0397, d_loss 0.5063, logits_real 0.0111, logits_fake 0.0166,
epoch:2, cur_lr:0.000010
Train Epoch: [2/30] Iters:[10/468] gen_loss 0.0875, rec_loss 0.0155, lpips_loss 0.1553, g_loss -0.0201, disc_weight 0.4000, disc_adaptive_weight 4.0685, d_loss 0.4934, logits_real 0.0147, logits_fake 0.0214,
Train Epoch: [2/30] Iters:[20/468] gen_loss 0.0922, rec_loss 0.0159, lpips_loss 0.1558, g_loss -0.0213, disc_weight 0.4000, disc_adaptive_weight 3.7320, d_loss 0.4931, logits_real 0.0150, logits_fake 0.0223,
Train Epoch: [2/30] Iters:[30/468] gen_loss 0.0899, rec_loss 0.0158, lpips_loss 0.1554, g_loss -0.0222, disc_weight 0.4000, disc_adaptive_weight 3.6806, d_loss 0.4914, logits_real 0.0156, logits_fake 0.0228,
Train Epoch: [2/30] Iters:[40/468] gen_loss 0.0844, rec_loss 0.0156, lpips_loss 0.1551, g_loss -0.0229, disc_weight 0.4000, disc_adaptive_weight 3.7824, d_loss 0.4894, logits_real 0.0164, logits_fake 0.0236,
