dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: lfq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-lfq_transplant_CelebAHQ_model_16_2_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_16_2
loss_pre: loss_1.0_0.4
training_pre: lfq_refinement
saver_name_pre: lfq_refinement_CelebAHQ_model_16_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/468] gen_loss 1.0382, rec_loss 0.0208, lpips_loss 0.2073, g_loss 0.0990, disc_weight 0.4000, disc_adaptive_weight 7.0078, d_loss 2.5877, logits_real -0.0211, logits_fake -0.0971,
Train Epoch: [1/30] Iters:[20/468] gen_loss 0.9877, rec_loss 0.0220, lpips_loss 0.2094, g_loss 0.1043, disc_weight 0.4000, disc_adaptive_weight 6.5922, d_loss 2.2739, logits_real -0.0175, logits_fake -0.1025,
Train Epoch: [1/30] Iters:[30/468] gen_loss 1.4480, rec_loss 0.0256, lpips_loss 0.2212, g_loss 0.1367, disc_weight 0.4000, disc_adaptive_weight 7.8538, d_loss 2.0696, logits_real -0.0177, logits_fake -0.1405,
Train Epoch: [1/30] Iters:[40/468] gen_loss 1.6140, rec_loss 0.0301, lpips_loss 0.2315, g_loss 0.1478, disc_weight 0.4000, disc_adaptive_weight 8.3920, d_loss 1.9179, logits_real -0.0177, logits_fake -0.1519,
Train Epoch: [1/30] Iters:[50/468] gen_loss 1.5703, rec_loss 0.0331, lpips_loss 0.2393, g_loss 0.1474, disc_weight 0.4000, disc_adaptive_weight 8.1966, d_loss 1.7964, logits_real -0.0173, logits_fake -0.1509,
Train Epoch: [1/30] Iters:[60/468] gen_loss 1.6059, rec_loss 0.0382, lpips_loss 0.2561, g_loss 0.1567, disc_weight 0.4000, disc_adaptive_weight 8.0007, d_loss 1.5152, logits_real -0.0166, logits_fake -0.1610,
Train Epoch: [1/30] Iters:[70/468] gen_loss 1.7351, rec_loss 0.0440, lpips_loss 0.2832, g_loss 0.1662, disc_weight 0.4000, disc_adaptive_weight 8.2853, d_loss 1.3362, logits_real -0.0167, logits_fake -0.1703,
Train Epoch: [1/30] Iters:[80/468] gen_loss 1.5939, rec_loss 0.0502, lpips_loss 0.3165, g_loss 0.1538, disc_weight 0.4000, disc_adaptive_weight 7.9289, d_loss 1.2007, logits_real -0.0158, logits_fake -0.1553,
Train Epoch: [1/30] Iters:[90/468] gen_loss 1.5501, rec_loss 0.0578, lpips_loss 0.3577, g_loss 0.1399, disc_weight 0.4000, disc_adaptive_weight 8.3841, d_loss 1.0942, logits_real -0.0153, logits_fake -0.1414,
Train Epoch: [1/30] Iters:[100/468] gen_loss 1.6056, rec_loss 0.0681, lpips_loss 0.4010, g_loss 0.1283, disc_weight 0.4000, disc_adaptive_weight 9.3839, d_loss 1.0099, logits_real -0.0146, logits_fake -0.1302,
Train Epoch: [1/30] Iters:[110/468] gen_loss 1.6367, rec_loss 0.0803, lpips_loss 0.4424, g_loss 0.1131, disc_weight 0.4000, disc_adaptive_weight 10.3855, d_loss 0.9480, logits_real -0.0132, logits_fake -0.1147,
