dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-online_vq_transplant_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_refinement
saver_name_pre: online_vq_refinement_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/468] gen_loss -0.1708, rec_loss 0.0101, lpips_loss 0.1349, g_loss -0.0928, disc_weight 0.4000, disc_adaptive_weight 3.2112, d_loss 2.4842, logits_real 0.0536, logits_fake 0.0941,
Train Epoch: [1/30] Iters:[20/468] gen_loss -0.2531, rec_loss 0.0100, lpips_loss 0.1358, g_loss -0.1132, disc_weight 0.4000, disc_adaptive_weight 3.4419, d_loss 2.1926, logits_real 0.0548, logits_fake 0.1150,
Train Epoch: [1/30] Iters:[30/468] gen_loss -0.2544, rec_loss 0.0098, lpips_loss 0.1349, g_loss -0.1052, disc_weight 0.4000, disc_adaptive_weight 3.7700, d_loss 1.9815, logits_real 0.0542, logits_fake 0.1085,
Train Epoch: [1/30] Iters:[40/468] gen_loss -0.2372, rec_loss 0.0097, lpips_loss 0.1345, g_loss -0.1022, disc_weight 0.4000, disc_adaptive_weight 3.7586, d_loss 1.8270, logits_real 0.0532, logits_fake 0.1052,
Train Epoch: [1/30] Iters:[50/468] gen_loss -0.2220, rec_loss 0.0098, lpips_loss 0.1348, g_loss -0.0988, disc_weight 0.4000, disc_adaptive_weight 3.7371, d_loss 1.7053, logits_real 0.0528, logits_fake 0.1009,
Train Epoch: [1/30] Iters:[60/468] gen_loss -0.2156, rec_loss 0.0098, lpips_loss 0.1346, g_loss -0.0966, disc_weight 0.4000, disc_adaptive_weight 3.7895, d_loss 1.4284, logits_real 0.0524, logits_fake 0.0988,
Train Epoch: [1/30] Iters:[70/468] gen_loss -0.1766, rec_loss 0.0098, lpips_loss 0.1341, g_loss -0.0883, disc_weight 0.4000, disc_adaptive_weight 3.6799, d_loss 1.2517, logits_real 0.0514, logits_fake 0.0904,
Train Epoch: [1/30] Iters:[80/468] gen_loss -0.1574, rec_loss 0.0097, lpips_loss 0.1338, g_loss -0.0861, disc_weight 0.4000, disc_adaptive_weight 3.5717, d_loss 1.1279, logits_real 0.0510, logits_fake 0.0868,
Train Epoch: [1/30] Iters:[90/468] gen_loss -0.1588, rec_loss 0.0098, lpips_loss 0.1343, g_loss -0.0830, disc_weight 0.4000, disc_adaptive_weight 3.7022, d_loss 1.0340, logits_real 0.0509, logits_fake 0.0826,
Train Epoch: [1/30] Iters:[100/468] gen_loss -0.1494, rec_loss 0.0098, lpips_loss 0.1344, g_loss -0.0782, disc_weight 0.4000, disc_adaptive_weight 3.8259, d_loss 0.9589, logits_real 0.0507, logits_fake 0.0778,
Train Epoch: [1/30] Iters:[110/468] gen_loss -0.1319, rec_loss 0.0099, lpips_loss 0.1353, g_loss -0.0698, disc_weight 0.4000, disc_adaptive_weight 4.1193, d_loss 0.8990, logits_real 0.0501, logits_fake 0.0691,
