dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-online_vq_transplant_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_refinement
saver_name_pre: online_vq_refinement_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/468] gen_loss 2.0303, rec_loss 0.0157, lpips_loss 0.1747, g_loss 0.3986, disc_weight 0.4000, disc_adaptive_weight 4.5932, d_loss 2.5954, logits_real -0.3778, logits_fake -0.3937,
Train Epoch: [1/30] Iters:[20/468] gen_loss 4.3039, rec_loss 0.0164, lpips_loss 0.1821, g_loss 0.4157, disc_weight 0.4000, disc_adaptive_weight 9.2877, d_loss 2.2938, logits_real -0.3740, logits_fake -0.4123,
Train Epoch: [1/30] Iters:[30/468] gen_loss 6.1802, rec_loss 0.0199, lpips_loss 0.2029, g_loss 0.4378, disc_weight 0.4000, disc_adaptive_weight 12.8658, d_loss 2.0978, logits_real -0.3723, logits_fake -0.4362,
Train Epoch: [1/30] Iters:[40/468] gen_loss 5.6194, rec_loss 0.0272, lpips_loss 0.2182, g_loss 0.4422, disc_weight 0.4000, disc_adaptive_weight 11.6337, d_loss 1.9582, logits_real -0.3709, logits_fake -0.4419,
Train Epoch: [1/30] Iters:[50/468] gen_loss 5.2098, rec_loss 0.0313, lpips_loss 0.2343, g_loss 0.4520, disc_weight 0.4000, disc_adaptive_weight 10.6186, d_loss 1.8374, logits_real -0.3694, logits_fake -0.4500,
Train Epoch: [1/30] Iters:[60/468] gen_loss 5.3423, rec_loss 0.0401, lpips_loss 0.2644, g_loss 0.4658, disc_weight 0.4000, disc_adaptive_weight 10.6742, d_loss 1.5736, logits_real -0.3653, logits_fake -0.4648,
Train Epoch: [1/30] Iters:[70/468] gen_loss 4.2946, rec_loss 0.0571, lpips_loss 0.2989, g_loss 0.4599, disc_weight 0.4000, disc_adaptive_weight 8.3099, d_loss 1.4319, logits_real -0.3620, logits_fake -0.4593,
Train Epoch: [1/30] Iters:[80/468] gen_loss 2.5462, rec_loss 0.0793, lpips_loss 0.3186, g_loss 0.4277, disc_weight 0.4000, disc_adaptive_weight 4.7503, d_loss 1.3511, logits_real -0.3579, logits_fake -0.4270,
Train Epoch: [1/30] Iters:[90/468] gen_loss 2.0644, rec_loss 0.1148, lpips_loss 0.3372, g_loss 0.3900, disc_weight 0.4000, disc_adaptive_weight 3.8721, d_loss 1.2922, logits_real -0.3526, logits_fake -0.3886,
Train Epoch: [1/30] Iters:[100/468] gen_loss 1.6493, rec_loss 0.1583, lpips_loss 0.3502, g_loss 0.3359, disc_weight 0.4000, disc_adaptive_weight 3.3483, d_loss 1.2489, logits_real -0.3461, logits_fake -0.3370,
Train Epoch: [1/30] Iters:[110/468] gen_loss 1.3531, rec_loss 0.1919, lpips_loss 0.3541, g_loss 0.2847, disc_weight 0.4000, disc_adaptive_weight 2.9825, d_loss 1.2038, logits_real -0.3383, logits_fake -0.2857,
