dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-vanilla_vq_transplant_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_refinement
saver_name_pre: vanilla_vq_refinement_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/468] gen_loss -0.0955, rec_loss 0.0141, lpips_loss 0.1639, g_loss -0.0960, disc_weight 0.4000, disc_adaptive_weight 3.0118, d_loss 2.4718, logits_real 0.0537, logits_fake 0.0949,
Train Epoch: [1/30] Iters:[20/468] gen_loss -0.1074, rec_loss 0.0137, lpips_loss 0.1629, g_loss -0.0777, disc_weight 0.4000, disc_adaptive_weight 3.9900, d_loss 2.1664, logits_real 0.0548, logits_fake 0.0769,
Train Epoch: [1/30] Iters:[30/468] gen_loss -0.1076, rec_loss 0.0135, lpips_loss 0.1620, g_loss -0.0744, disc_weight 0.4000, disc_adaptive_weight 4.0557, d_loss 1.9617, logits_real 0.0541, logits_fake 0.0757,
Train Epoch: [1/30] Iters:[40/468] gen_loss -0.1236, rec_loss 0.0134, lpips_loss 0.1617, g_loss -0.0752, disc_weight 0.4000, disc_adaptive_weight 4.1691, d_loss 1.8104, logits_real 0.0531, logits_fake 0.0764,
Train Epoch: [1/30] Iters:[50/468] gen_loss -0.1234, rec_loss 0.0135, lpips_loss 0.1620, g_loss -0.0752, disc_weight 0.4000, disc_adaptive_weight 4.1372, d_loss 1.6909, logits_real 0.0526, logits_fake 0.0757,
Train Epoch: [1/30] Iters:[60/468] gen_loss -0.1227, rec_loss 0.0134, lpips_loss 0.1615, g_loss -0.0714, disc_weight 0.4000, disc_adaptive_weight 4.2285, d_loss 1.4160, logits_real 0.0522, logits_fake 0.0719,
Train Epoch: [1/30] Iters:[70/468] gen_loss -0.1098, rec_loss 0.0135, lpips_loss 0.1614, g_loss -0.0742, disc_weight 0.4000, disc_adaptive_weight 3.8693, d_loss 1.2458, logits_real 0.0511, logits_fake 0.0749,
Train Epoch: [1/30] Iters:[80/468] gen_loss -0.1101, rec_loss 0.0134, lpips_loss 0.1612, g_loss -0.0773, disc_weight 0.4000, disc_adaptive_weight 3.7057, d_loss 1.1236, logits_real 0.0508, logits_fake 0.0768,
Train Epoch: [1/30] Iters:[90/468] gen_loss -0.1104, rec_loss 0.0135, lpips_loss 0.1618, g_loss -0.0782, disc_weight 0.4000, disc_adaptive_weight 3.6853, d_loss 1.0312, logits_real 0.0507, logits_fake 0.0768,
Train Epoch: [1/30] Iters:[100/468] gen_loss -0.1315, rec_loss 0.0135, lpips_loss 0.1622, g_loss -0.0804, disc_weight 0.4000, disc_adaptive_weight 3.8276, d_loss 0.9583, logits_real 0.0505, logits_fake 0.0789,
Train Epoch: [1/30] Iters:[110/468] gen_loss -0.1559, rec_loss 0.0136, lpips_loss 0.1631, g_loss -0.0826, disc_weight 0.4000, disc_adaptive_weight 4.0350, d_loss 0.9003, logits_real 0.0499, logits_fake 0.0811,
