dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_CelebAHQ_model_256_8_2_loss_1.0_0.2_0.5_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: wasserstein_vq_refinement
saver_name_pre: wasserstein_vq_refinement_CelebAHQ_model_256_8_2_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/468] gen_loss -1.4861, rec_loss 0.0118, lpips_loss 0.1452, g_loss -0.2050, disc_weight 0.4000, disc_adaptive_weight 7.1576, d_loss 2.6710, logits_real 0.1404, logits_fake 0.2075,
Train Epoch: [1/30] Iters:[20/468] gen_loss -2.8573, rec_loss 0.0199, lpips_loss 0.1750, g_loss -0.2749, disc_weight 0.4000, disc_adaptive_weight 10.0922, d_loss 2.4131, logits_real 0.1396, logits_fake 0.2766,
Train Epoch: [1/30] Iters:[30/468] gen_loss -3.5896, rec_loss 0.0294, lpips_loss 0.1959, g_loss -0.2948, disc_weight 0.4000, disc_adaptive_weight 12.0570, d_loss 2.2433, logits_real 0.1403, logits_fake 0.2990,
Train Epoch: [1/30] Iters:[40/468] gen_loss -3.9964, rec_loss 0.0347, lpips_loss 0.2208, g_loss -0.3144, disc_weight 0.4000, disc_adaptive_weight 12.7745, d_loss 2.0985, logits_real 0.1401, logits_fake 0.3171,
Train Epoch: [1/30] Iters:[50/468] gen_loss -4.3158, rec_loss 0.0396, lpips_loss 0.2431, g_loss -0.3227, disc_weight 0.4000, disc_adaptive_weight 13.5790, d_loss 1.9837, logits_real 0.1400, logits_fake 0.3253,
Train Epoch: [1/30] Iters:[60/468] gen_loss -4.8864, rec_loss 0.0511, lpips_loss 0.2821, g_loss -0.3441, disc_weight 0.4000, disc_adaptive_weight 15.1792, d_loss 1.7314, logits_real 0.1394, logits_fake 0.3446,
Train Epoch: [1/30] Iters:[70/468] gen_loss -4.3804, rec_loss 0.0592, lpips_loss 0.3028, g_loss -0.3305, disc_weight 0.4000, disc_adaptive_weight 14.0556, d_loss 1.5479, logits_real 0.1391, logits_fake 0.3312,
Train Epoch: [1/30] Iters:[80/468] gen_loss -3.5991, rec_loss 0.0631, lpips_loss 0.3069, g_loss -0.3060, disc_weight 0.4000, disc_adaptive_weight 12.2515, d_loss 1.3900, logits_real 0.1379, logits_fake 0.3053,
Train Epoch: [1/30] Iters:[90/468] gen_loss -2.6738, rec_loss 0.0673, lpips_loss 0.2951, g_loss -0.2682, disc_weight 0.4000, disc_adaptive_weight 10.2400, d_loss 1.2618, logits_real 0.1370, logits_fake 0.2673,
Train Epoch: [1/30] Iters:[100/468] gen_loss -1.6532, rec_loss 0.0670, lpips_loss 0.2703, g_loss -0.2305, disc_weight 0.4000, disc_adaptive_weight 7.7889, d_loss 1.1466, logits_real 0.1361, logits_fake 0.2290,
Train Epoch: [1/30] Iters:[110/468] gen_loss -0.9046, rec_loss 0.0658, lpips_loss 0.2430, g_loss -0.1994, disc_weight 0.4000, disc_adaptive_weight 5.8613, d_loss 1.0465, logits_real 0.1357, logits_fake 0.1992,
Train Epoch: [1/30] Iters:[120/468] gen_loss -0.6443, rec_loss 0.0640, lpips_loss 0.2223, g_loss -0.1744, disc_weight 0.4000, disc_adaptive_weight 5.2463, d_loss 0.9711, logits_real 0.1352, logits_fake 0.1738,
Train Epoch: [1/30] Iters:[130/468] gen_loss -0.4805, rec_loss 0.0620, lpips_loss 0.2124, g_loss -0.1592, disc_weight 0.4000, disc_adaptive_weight 4.7310, d_loss 0.9141, logits_real 0.1351, logits_fake 0.1580,
Train Epoch: [1/30] Iters:[140/468] gen_loss -0.4169, rec_loss 0.0579, lpips_loss 0.2078, g_loss -0.1466, disc_weight 0.4000, disc_adaptive_weight 4.6432, d_loss 0.8679, logits_real 0.1349, logits_fake 0.1460,
