dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 52
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_CelebAHQ_model_65536_16_1_loss_1.0_0.2_0.5_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: wasserstein_vq_refinement
saver_name_pre: wasserstein_vq_refinement_CelebAHQ_model_65536_16_1_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/468] gen_loss 0.2036, rec_loss 0.0104, lpips_loss 0.1370, g_loss 0.0023, disc_weight 0.4000, disc_adaptive_weight 4.7339, d_loss 2.4044, logits_real 0.0566, logits_fake -0.0018,
Train Epoch: [1/30] Iters:[20/468] gen_loss 0.8086, rec_loss 0.0111, lpips_loss 0.1485, g_loss 0.0420, disc_weight 0.4000, disc_adaptive_weight 9.6474, d_loss 2.1256, logits_real 0.0564, logits_fake -0.0389,
Train Epoch: [1/30] Iters:[30/468] gen_loss 0.9896, rec_loss 0.0122, lpips_loss 0.1563, g_loss 0.0533, disc_weight 0.4000, disc_adaptive_weight 11.5510, d_loss 1.9261, logits_real 0.0570, logits_fake -0.0541,
Train Epoch: [1/30] Iters:[40/468] gen_loss 1.1067, rec_loss 0.0133, lpips_loss 0.1680, g_loss 0.0581, disc_weight 0.4000, disc_adaptive_weight 12.8622, d_loss 1.7726, logits_real 0.0570, logits_fake -0.0586,
Train Epoch: [1/30] Iters:[50/468] gen_loss 1.2269, rec_loss 0.0152, lpips_loss 0.1853, g_loss 0.0610, disc_weight 0.4000, disc_adaptive_weight 14.2805, d_loss 1.6566, logits_real 0.0568, logits_fake -0.0619,
Train Epoch: [1/30] Iters:[60/468] gen_loss 1.4673, rec_loss 0.0186, lpips_loss 0.2136, g_loss 0.0741, disc_weight 0.4000, disc_adaptive_weight 16.5828, d_loss 1.3925, logits_real 0.0570, logits_fake -0.0745,
Train Epoch: [1/30] Iters:[70/468] gen_loss 1.4902, rec_loss 0.0216, lpips_loss 0.2373, g_loss 0.0695, disc_weight 0.4000, disc_adaptive_weight 17.8933, d_loss 1.2248, logits_real 0.0567, logits_fake -0.0713,
Train Epoch: [1/30] Iters:[80/468] gen_loss 1.3542, rec_loss 0.0236, lpips_loss 0.2547, g_loss 0.0581, disc_weight 0.4000, disc_adaptive_weight 19.0560, d_loss 1.1075, logits_real 0.0565, logits_fake -0.0582,
Train Epoch: [1/30] Iters:[90/468] gen_loss 1.0886, rec_loss 0.0249, lpips_loss 0.2613, g_loss 0.0418, disc_weight 0.4000, disc_adaptive_weight 18.9788, d_loss 1.0234, logits_real 0.0564, logits_fake -0.0416,
Train Epoch: [1/30] Iters:[100/468] gen_loss 0.7487, rec_loss 0.0248, lpips_loss 0.2545, g_loss 0.0242, disc_weight 0.4000, disc_adaptive_weight 17.8960, d_loss 0.9531, logits_real 0.0564, logits_fake -0.0233,
Train Epoch: [1/30] Iters:[110/468] gen_loss 0.3811, rec_loss 0.0236, lpips_loss 0.2391, g_loss 0.0021, disc_weight 0.4000, disc_adaptive_weight 17.8189, d_loss 0.8978, logits_real 0.0561, logits_fake -0.0018,
