dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: bsq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-bsq_transplant_FFHQ_model_16_2_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_16_2
loss_pre: loss_1.0_0.4
training_pre: bsq_refinement
saver_name_pre: bsq_refinement_FFHQ_model_16_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss 0.1857, rec_loss 0.0123, lpips_loss 0.1451, g_loss 0.0109, disc_weight 0.4000, disc_adaptive_weight 4.9862, d_loss 2.5209, logits_real -0.0163, logits_fake -0.0062,
Train Epoch: [1/30] Iters:[20/1093] gen_loss -0.0064, rec_loss 0.0126, lpips_loss 0.1462, g_loss -0.0191, disc_weight 0.4000, disc_adaptive_weight 6.3518, d_loss 2.2159, logits_real -0.0158, logits_fake 0.0221,
Train Epoch: [1/30] Iters:[30/1093] gen_loss -0.1550, rec_loss 0.0130, lpips_loss 0.1484, g_loss -0.0368, disc_weight 0.4000, disc_adaptive_weight 7.1364, d_loss 1.9973, logits_real -0.0162, logits_fake 0.0408,
Train Epoch: [1/30] Iters:[40/1093] gen_loss -0.2004, rec_loss 0.0135, lpips_loss 0.1511, g_loss -0.0466, disc_weight 0.4000, disc_adaptive_weight 7.0622, d_loss 1.8342, logits_real -0.0161, logits_fake 0.0503,
Train Epoch: [1/30] Iters:[50/1093] gen_loss -0.2046, rec_loss 0.0138, lpips_loss 0.1526, g_loss -0.0515, disc_weight 0.4000, disc_adaptive_weight 6.7596, d_loss 1.7075, logits_real -0.0163, logits_fake 0.0539,
Train Epoch: [1/30] Iters:[60/1093] gen_loss -0.2914, rec_loss 0.0142, lpips_loss 0.1554, g_loss -0.0692, disc_weight 0.4000, disc_adaptive_weight 6.8456, d_loss 1.4226, logits_real -0.0163, logits_fake 0.0703,
Train Epoch: [1/30] Iters:[70/1093] gen_loss -0.3169, rec_loss 0.0147, lpips_loss 0.1590, g_loss -0.0756, disc_weight 0.4000, disc_adaptive_weight 6.5968, d_loss 1.2413, logits_real -0.0161, logits_fake 0.0761,
Train Epoch: [1/30] Iters:[80/1093] gen_loss -0.3146, rec_loss 0.0154, lpips_loss 0.1645, g_loss -0.0758, disc_weight 0.4000, disc_adaptive_weight 6.6085, d_loss 1.1197, logits_real -0.0162, logits_fake 0.0756,
Train Epoch: [1/30] Iters:[90/1093] gen_loss -0.3274, rec_loss 0.0160, lpips_loss 0.1717, g_loss -0.0743, disc_weight 0.4000, disc_adaptive_weight 7.0379, d_loss 1.0312, logits_real -0.0161, logits_fake 0.0741,
Train Epoch: [1/30] Iters:[100/1093] gen_loss -0.3247, rec_loss 0.0167, lpips_loss 0.1778, g_loss -0.0713, disc_weight 0.4000, disc_adaptive_weight 7.3933, d_loss 0.9586, logits_real -0.0154, logits_fake 0.0713,
Train Epoch: [1/30] Iters:[110/1093] gen_loss -0.2796, rec_loss 0.0172, lpips_loss 0.1811, g_loss -0.0636, disc_weight 0.4000, disc_adaptive_weight 7.4092, d_loss 0.9000, logits_real -0.0148, logits_fake 0.0642,
Train Epoch: [1/30] Iters:[120/1093] gen_loss -0.2056, rec_loss 0.0171, lpips_loss 0.1815, g_loss -0.0529, disc_weight 0.4000, disc_adaptive_weight 7.1235, d_loss 0.8518, logits_real -0.0140, logits_fake 0.0541,
Train Epoch: [1/30] Iters:[130/1093] gen_loss -0.0993, rec_loss 0.0168, lpips_loss 0.1780, g_loss -0.0428, disc_weight 0.4000, disc_adaptive_weight 6.1360, d_loss 0.8098, logits_real -0.0127, logits_fake 0.0441,
