dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-ema_vq_transplant_FFHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_refinement
saver_name_pre: ema_vq_refinement_FFHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss 0.0183, rec_loss 0.0099, lpips_loss 0.1327, g_loss -0.0643, disc_weight 0.4000, disc_adaptive_weight 2.0162, d_loss 2.5802, logits_real 0.0665, logits_fake 0.0681,
Train Epoch: [1/30] Iters:[20/1093] gen_loss 0.0098, rec_loss 0.0104, lpips_loss 0.1327, g_loss -0.0543, disc_weight 0.4000, disc_adaptive_weight 2.6823, d_loss 2.2700, logits_real 0.0711, logits_fake 0.0569,
Train Epoch: [1/30] Iters:[30/1093] gen_loss 0.0042, rec_loss 0.0106, lpips_loss 0.1329, g_loss -0.0549, disc_weight 0.4000, disc_adaptive_weight 2.6988, d_loss 2.0536, logits_real 0.0720, logits_fake 0.0576,
Train Epoch: [1/30] Iters:[40/1093] gen_loss -0.0011, rec_loss 0.0109, lpips_loss 0.1339, g_loss -0.0543, disc_weight 0.4000, disc_adaptive_weight 2.8115, d_loss 1.8908, logits_real 0.0715, logits_fake 0.0566,
Train Epoch: [1/30] Iters:[50/1093] gen_loss -0.0012, rec_loss 0.0113, lpips_loss 0.1342, g_loss -0.0553, disc_weight 0.4000, disc_adaptive_weight 2.7575, d_loss 1.7630, logits_real 0.0709, logits_fake 0.0566,
Train Epoch: [1/30] Iters:[60/1093] gen_loss -0.0007, rec_loss 0.0118, lpips_loss 0.1349, g_loss -0.0526, disc_weight 0.4000, disc_adaptive_weight 2.8607, d_loss 1.4713, logits_real 0.0714, logits_fake 0.0533,
Train Epoch: [1/30] Iters:[70/1093] gen_loss 0.0054, rec_loss 0.0123, lpips_loss 0.1356, g_loss -0.0548, disc_weight 0.4000, disc_adaptive_weight 2.6184, d_loss 1.2859, logits_real 0.0698, logits_fake 0.0549,
Train Epoch: [1/30] Iters:[80/1093] gen_loss 0.0098, rec_loss 0.0128, lpips_loss 0.1369, g_loss -0.0545, disc_weight 0.4000, disc_adaptive_weight 2.5832, d_loss 1.1568, logits_real 0.0680, logits_fake 0.0539,
Train Epoch: [1/30] Iters:[90/1093] gen_loss 0.0157, rec_loss 0.0133, lpips_loss 0.1373, g_loss -0.0564, disc_weight 0.4000, disc_adaptive_weight 2.4034, d_loss 1.0608, logits_real 0.0671, logits_fake 0.0557,
Train Epoch: [1/30] Iters:[100/1093] gen_loss 0.0227, rec_loss 0.0137, lpips_loss 0.1382, g_loss -0.0554, disc_weight 0.4000, disc_adaptive_weight 2.3415, d_loss 0.9841, logits_real 0.0659, logits_fake 0.0553,
Train Epoch: [1/30] Iters:[110/1093] gen_loss 0.0245, rec_loss 0.0143, lpips_loss 0.1391, g_loss -0.0565, disc_weight 0.4000, disc_adaptive_weight 2.2831, d_loss 0.9248, logits_real 0.0648, logits_fake 0.0561,
Train Epoch: [1/30] Iters:[120/1093] gen_loss 0.0284, rec_loss 0.0148, lpips_loss 0.1401, g_loss -0.0559, disc_weight 0.4000, disc_adaptive_weight 2.2552, d_loss 0.8765, logits_real 0.0634, logits_fake 0.0561,
Train Epoch: [1/30] Iters:[130/1093] gen_loss 0.0334, rec_loss 0.0153, lpips_loss 0.1405, g_loss -0.0555, disc_weight 0.4000, disc_adaptive_weight 2.1911, d_loss 0.8346, logits_real 0.0624, logits_fake 0.0556,
Train Epoch: [1/30] Iters:[140/1093] gen_loss 0.0393, rec_loss 0.0159, lpips_loss 0.1410, g_loss -0.0548, disc_weight 0.4000, disc_adaptive_weight 2.1368, d_loss 0.7988, logits_real 0.0615, logits_fake 0.0545,
Train Epoch: [1/30] Iters:[150/1093] gen_loss 0.0405, rec_loss 0.0165, lpips_loss 0.1411, g_loss -0.0551, disc_weight 0.4000, disc_adaptive_weight 2.1172, d_loss 0.7680, logits_real 0.0605, logits_fake 0.0547,
Train Epoch: [1/30] Iters:[160/1093] gen_loss 0.0404, rec_loss 0.0171, lpips_loss 0.1410, g_loss -0.0559, disc_weight 0.4000, disc_adaptive_weight 2.1009, d_loss 0.7433, logits_real 0.0598, logits_fake 0.0554,
