dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-ema_vq_transplant_FFHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_refinement
saver_name_pre: ema_vq_refinement_FFHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss 1.1548, rec_loss 0.0107, lpips_loss 0.1379, g_loss 0.2809, disc_weight 0.4000, disc_adaptive_weight 3.6540, d_loss 2.5653, logits_real -0.2954, logits_fake -0.2780,
Train Epoch: [1/30] Iters:[20/1093] gen_loss 2.0056, rec_loss 0.0113, lpips_loss 0.1433, g_loss 0.2311, disc_weight 0.4000, disc_adaptive_weight 9.6769, d_loss 2.2618, logits_real -0.2908, logits_fake -0.2301,
Train Epoch: [1/30] Iters:[30/1093] gen_loss 2.5826, rec_loss 0.0131, lpips_loss 0.1639, g_loss 0.1865, disc_weight 0.4000, disc_adaptive_weight 18.5985, d_loss 2.0427, logits_real -0.2896, logits_fake -0.1838,
Train Epoch: [1/30] Iters:[40/1093] gen_loss 3.3432, rec_loss 0.0179, lpips_loss 0.2047, g_loss 0.1621, disc_weight 0.4000, disc_adaptive_weight 28.8048, d_loss 1.8784, logits_real -0.2883, logits_fake -0.1594,
Train Epoch: [1/30] Iters:[50/1093] gen_loss 4.6963, rec_loss 0.0273, lpips_loss 0.2596, g_loss 0.1532, disc_weight 0.4000, disc_adaptive_weight 39.2965, d_loss 1.7448, logits_real -0.2868, logits_fake -0.1533,
Train Epoch: [1/30] Iters:[60/1093] gen_loss 6.8994, rec_loss 0.0443, lpips_loss 0.3514, g_loss 0.1209, disc_weight 0.4000, disc_adaptive_weight 57.6913, d_loss 1.4491, logits_real -0.2831, logits_fake -0.1230,
Train Epoch: [1/30] Iters:[70/1093] gen_loss 8.8028, rec_loss 0.0691, lpips_loss 0.4579, g_loss 0.1075, disc_weight 0.4000, disc_adaptive_weight 74.1837, d_loss 1.2628, logits_real -0.2799, logits_fake -0.1099,
Train Epoch: [1/30] Iters:[80/1093] gen_loss 10.7856, rec_loss 0.0991, lpips_loss 0.5598, g_loss 0.1162, disc_weight 0.4000, disc_adaptive_weight 84.9628, d_loss 1.1389, logits_real -0.2761, logits_fake -0.1189,
Train Epoch: [1/30] Iters:[90/1093] gen_loss 12.2134, rec_loss 0.1281, lpips_loss 0.6365, g_loss 0.1289, disc_weight 0.4000, disc_adaptive_weight 88.5858, d_loss 1.0509, logits_real -0.2721, logits_fake -0.1326,
Train Epoch: [1/30] Iters:[100/1093] gen_loss 11.2945, rec_loss 0.1456, lpips_loss 0.6774, g_loss 0.1385, disc_weight 0.4000, disc_adaptive_weight 77.9870, d_loss 0.9819, logits_real -0.2678, logits_fake -0.1407,
Train Epoch: [1/30] Iters:[110/1093] gen_loss 9.7296, rec_loss 0.1552, lpips_loss 0.6916, g_loss 0.1503, disc_weight 0.4000, disc_adaptive_weight 62.7908, d_loss 0.9222, logits_real -0.2629, logits_fake -0.1510,
Train Epoch: [1/30] Iters:[120/1093] gen_loss 7.7816, rec_loss 0.1482, lpips_loss 0.6838, g_loss 0.1621, disc_weight 0.4000, disc_adaptive_weight 45.3129, d_loss 0.8624, logits_real -0.2583, logits_fake -0.1617,
Train Epoch: [1/30] Iters:[130/1093] gen_loss 5.4331, rec_loss 0.1272, lpips_loss 0.6562, g_loss 0.1629, disc_weight 0.4000, disc_adaptive_weight 28.9798, d_loss 0.7998, logits_real -0.2520, logits_fake -0.1624,
Train Epoch: [1/30] Iters:[140/1093] gen_loss 3.1653, rec_loss 0.1006, lpips_loss 0.6012, g_loss 0.1554, disc_weight 0.4000, disc_adaptive_weight 15.1288, d_loss 0.7417, logits_real -0.2434, logits_fake -0.1546,
Train Epoch: [1/30] Iters:[150/1093] gen_loss 2.2892, rec_loss 0.0758, lpips_loss 0.5293, g_loss 0.1434, disc_weight 0.4000, disc_adaptive_weight 10.9974, d_loss 0.6977, logits_real -0.2333, logits_fake -0.1424,
Train Epoch: [1/30] Iters:[160/1093] gen_loss 1.6283, rec_loss 0.0518, lpips_loss 0.4521, g_loss 0.1263, disc_weight 0.4000, disc_adaptive_weight 8.6751, d_loss 0.6666, logits_real -0.2210, logits_fake -0.1270,
Train Epoch: [1/30] Iters:[170/1093] gen_loss 1.2660, rec_loss 0.0357, lpips_loss 0.3753, g_loss 0.1099, disc_weight 0.4000, disc_adaptive_weight 7.7633, d_loss 0.6456, logits_real -0.2065, logits_fake -0.1107,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 1.0308, rec_loss 0.0270, lpips_loss 0.3069, g_loss 0.0991, disc_weight 0.4000, disc_adaptive_weight 7.0769, d_loss 0.6363, logits_real -0.1911, logits_fake -0.0996,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.8724, rec_loss 0.0216, lpips_loss 0.2640, g_loss 0.0942, disc_weight 0.4000, disc_adaptive_weight 6.3017, d_loss 0.6272, logits_real -0.1757, logits_fake -0.0946,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.7678, rec_loss 0.0192, lpips_loss 0.2403, g_loss 0.0949, disc_weight 0.4000, disc_adaptive_weight 5.4868, d_loss 0.6224, logits_real -0.1605, logits_fake -0.0944,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.6898, rec_loss 0.0174, lpips_loss 0.2225, g_loss 0.0980, disc_weight 0.4000, disc_adaptive_weight 4.6947, d_loss 0.6218, logits_real -0.1467, logits_fake -0.0964,
Train Epoch: [1/30] Iters:[220/1093] gen_loss 0.7184, rec_loss 0.0164, lpips_loss 0.2085, g_loss 0.1007, disc_weight 0.4000, disc_adaptive_weight 4.9287, d_loss 0.6303, logits_real -0.1345, logits_fake -0.0994,
