dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: fsq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-fsq_transplant_FFHQ_model_8_4_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_8_4
loss_pre: loss_1.0_0.4
training_pre: fsq_refinement
saver_name_pre: fsq_refinement_FFHQ_model_8_4_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss 0.0511, rec_loss 0.0127, lpips_loss 0.1748, g_loss 0.0060, disc_weight 0.4000, disc_adaptive_weight 10.3504, d_loss 2.5449, logits_real -0.1225, logits_fake -0.0024,
Train Epoch: [1/30] Iters:[20/1093] gen_loss -0.4869, rec_loss 0.0172, lpips_loss 0.2068, g_loss -0.0493, disc_weight 0.4000, disc_adaptive_weight 11.5647, d_loss 2.2370, logits_real -0.1218, logits_fake 0.0504,
Train Epoch: [1/30] Iters:[30/1093] gen_loss -0.7620, rec_loss 0.0247, lpips_loss 0.2476, g_loss -0.0794, disc_weight 0.4000, disc_adaptive_weight 11.7362, d_loss 2.0181, logits_real -0.1211, logits_fake 0.0840,
Train Epoch: [1/30] Iters:[40/1093] gen_loss -1.1716, rec_loss 0.0336, lpips_loss 0.3036, g_loss -0.0991, disc_weight 0.4000, disc_adaptive_weight 13.4553, d_loss 1.8608, logits_real -0.1209, logits_fake 0.1041,
Train Epoch: [1/30] Iters:[50/1093] gen_loss -1.3981, rec_loss 0.0441, lpips_loss 0.3482, g_loss -0.1051, disc_weight 0.4000, disc_adaptive_weight 15.3575, d_loss 1.7361, logits_real -0.1196, logits_fake 0.1076,
Train Epoch: [1/30] Iters:[60/1093] gen_loss -1.8119, rec_loss 0.0643, lpips_loss 0.4368, g_loss -0.1262, disc_weight 0.4000, disc_adaptive_weight 18.8786, d_loss 1.4492, logits_real -0.1195, logits_fake 0.1262,
Train Epoch: [1/30] Iters:[70/1093] gen_loss -1.7765, rec_loss 0.0884, lpips_loss 0.5226, g_loss -0.1193, disc_weight 0.4000, disc_adaptive_weight 20.9064, d_loss 1.2673, logits_real -0.1197, logits_fake 0.1217,
Train Epoch: [1/30] Iters:[80/1093] gen_loss -1.4383, rec_loss 0.1102, lpips_loss 0.5892, g_loss -0.0977, disc_weight 0.4000, disc_adaptive_weight 21.3989, d_loss 1.1404, logits_real -0.1191, logits_fake 0.0984,
Train Epoch: [1/30] Iters:[90/1093] gen_loss -0.8863, rec_loss 0.1260, lpips_loss 0.6157, g_loss -0.0718, disc_weight 0.4000, disc_adaptive_weight 20.3569, d_loss 1.0363, logits_real -0.1181, logits_fake 0.0701,
Train Epoch: [1/30] Iters:[100/1093] gen_loss -0.3576, rec_loss 0.1334, lpips_loss 0.6192, g_loss -0.0526, disc_weight 0.4000, disc_adaptive_weight 17.7573, d_loss 0.9521, logits_real -0.1172, logits_fake 0.0510,
Train Epoch: [1/30] Iters:[110/1093] gen_loss 0.1225, rec_loss 0.1320, lpips_loss 0.5893, g_loss -0.0390, disc_weight 0.4000, disc_adaptive_weight 13.3570, d_loss 0.8868, logits_real -0.1137, logits_fake 0.0393,
Train Epoch: [1/30] Iters:[120/1093] gen_loss 0.3531, rec_loss 0.1180, lpips_loss 0.5270, g_loss -0.0286, disc_weight 0.4000, disc_adaptive_weight 10.1232, d_loss 0.8299, logits_real -0.1086, logits_fake 0.0265,
Train Epoch: [1/30] Iters:[130/1093] gen_loss 0.3312, rec_loss 0.0974, lpips_loss 0.4502, g_loss -0.0241, disc_weight 0.4000, disc_adaptive_weight 8.4265, d_loss 0.7872, logits_real -0.1033, logits_fake 0.0230,
Train Epoch: [1/30] Iters:[140/1093] gen_loss 0.3023, rec_loss 0.0761, lpips_loss 0.3746, g_loss -0.0203, disc_weight 0.4000, disc_adaptive_weight 6.5945, d_loss 0.7558, logits_real -0.0964, logits_fake 0.0196,
Train Epoch: [1/30] Iters:[150/1093] gen_loss 0.2846, rec_loss 0.0562, lpips_loss 0.3051, g_loss -0.0124, disc_weight 0.4000, disc_adaptive_weight 5.4305, d_loss 0.7330, logits_real -0.0887, logits_fake 0.0138,
Train Epoch: [1/30] Iters:[160/1093] gen_loss 0.2531, rec_loss 0.0395, lpips_loss 0.2489, g_loss -0.0050, disc_weight 0.4000, disc_adaptive_weight 4.7994, d_loss 0.7136, logits_real -0.0808, logits_fake 0.0056,
Train Epoch: [1/30] Iters:[170/1093] gen_loss 0.2420, rec_loss 0.0288, lpips_loss 0.2126, g_loss 0.0020, disc_weight 0.4000, disc_adaptive_weight 4.1014, d_loss 0.7015, logits_real -0.0727, logits_fake -0.0004,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 0.2312, rec_loss 0.0229, lpips_loss 0.1908, g_loss 0.0062, disc_weight 0.4000, disc_adaptive_weight 3.3829, d_loss 0.6893, logits_real -0.0644, logits_fake -0.0060,
Train Epoch: [1/30] Iters:[190/1093] gen_loss 0.2314, rec_loss 0.0192, lpips_loss 0.1787, g_loss 0.0110, disc_weight 0.4000, disc_adaptive_weight 3.0163, d_loss 0.6818, logits_real -0.0566, logits_fake -0.0092,
Train Epoch: [1/30] Iters:[200/1093] gen_loss 0.2227, rec_loss 0.0172, lpips_loss 0.1712, g_loss 0.0127, disc_weight 0.4000, disc_adaptive_weight 2.6418, d_loss 0.6746, logits_real -0.0499, logits_fake -0.0115,
Train Epoch: [1/30] Iters:[210/1093] gen_loss 0.2175, rec_loss 0.0152, lpips_loss 0.1655, g_loss 0.0141, disc_weight 0.4000, disc_adaptive_weight 2.5302, d_loss 0.6685, logits_real -0.0440, logits_fake -0.0125,
Train Epoch: [1/30] Iters:[220/1093] gen_loss 0.2074, rec_loss 0.0142, lpips_loss 0.1620, g_loss 0.0129, disc_weight 0.4000, disc_adaptive_weight 2.3784, d_loss 0.6631, logits_real -0.0393, logits_fake -0.0120,
Train Epoch: [1/30] Iters:[230/1093] gen_loss 0.2020, rec_loss 0.0136, lpips_loss 0.1590, g_loss 0.0121, disc_weight 0.4000, disc_adaptive_weight 2.3860, d_loss 0.6560, logits_real -0.0358, logits_fake -0.0115,
Train Epoch: [1/30] Iters:[240/1093] gen_loss 0.1970, rec_loss 0.0134, lpips_loss 0.1576, g_loss 0.0108, disc_weight 0.4000, disc_adaptive_weight 2.3407, d_loss 0.6461, logits_real -0.0329, logits_fake -0.0111,
Train Epoch: [1/30] Iters:[250/1093] gen_loss 0.1922, rec_loss 0.0133, lpips_loss 0.1567, g_loss 0.0091, disc_weight 0.4000, disc_adaptive_weight 2.3715, d_loss 0.6361, logits_real -0.0306, logits_fake -0.0093,
Train Epoch: [1/30] Iters:[260/1093] gen_loss 0.1877, rec_loss 0.0132, lpips_loss 0.1557, g_loss 0.0074, disc_weight 0.4000, disc_adaptive_weight 2.4755, d_loss 0.6263, logits_real -0.0283, logits_fake -0.0074,
Train Epoch: [1/30] Iters:[270/1093] gen_loss 0.1829, rec_loss 0.0133, lpips_loss 0.1550, g_loss 0.0057, disc_weight 0.4000, disc_adaptive_weight 2.5726, d_loss 0.6169, logits_real -0.0259, logits_fake -0.0055,
