dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: lfq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-lfq_transplant_FFHQ_model_16_2_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_16_2
loss_pre: loss_1.0_0.4
training_pre: lfq_refinement
saver_name_pre: lfq_refinement_FFHQ_model_16_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss 0.2433, rec_loss 0.0167, lpips_loss 0.1861, g_loss 0.0100, disc_weight 0.4000, disc_adaptive_weight 4.5859, d_loss 2.5054, logits_real -0.0163, logits_fake -0.0090,
Train Epoch: [1/30] Iters:[20/1093] gen_loss 0.1701, rec_loss 0.0172, lpips_loss 0.1868, g_loss -0.0074, disc_weight 0.4000, disc_adaptive_weight 4.3448, d_loss 2.2091, logits_real -0.0158, logits_fake 0.0080,
Train Epoch: [1/30] Iters:[30/1093] gen_loss 0.1663, rec_loss 0.0173, lpips_loss 0.1868, g_loss -0.0084, disc_weight 0.4000, disc_adaptive_weight 4.4559, d_loss 1.9954, logits_real -0.0162, logits_fake 0.0080,
Train Epoch: [1/30] Iters:[40/1093] gen_loss 0.1879, rec_loss 0.0175, lpips_loss 0.1873, g_loss -0.0039, disc_weight 0.4000, disc_adaptive_weight 4.3548, d_loss 1.8372, logits_real -0.0161, logits_fake 0.0033,
Train Epoch: [1/30] Iters:[50/1093] gen_loss 0.1967, rec_loss 0.0177, lpips_loss 0.1872, g_loss -0.0017, disc_weight 0.4000, disc_adaptive_weight 4.1580, d_loss 1.7121, logits_real -0.0165, logits_fake 0.0011,
Train Epoch: [1/30] Iters:[60/1093] gen_loss 0.1916, rec_loss 0.0179, lpips_loss 0.1874, g_loss -0.0030, disc_weight 0.4000, disc_adaptive_weight 3.9285, d_loss 1.4308, logits_real -0.0165, logits_fake 0.0029,
Train Epoch: [1/30] Iters:[70/1093] gen_loss 0.2160, rec_loss 0.0180, lpips_loss 0.1876, g_loss 0.0022, disc_weight 0.4000, disc_adaptive_weight 3.7700, d_loss 1.2489, logits_real -0.0165, logits_fake -0.0027,
Train Epoch: [1/30] Iters:[80/1093] gen_loss 0.2352, rec_loss 0.0183, lpips_loss 0.1887, g_loss 0.0068, disc_weight 0.4000, disc_adaptive_weight 3.5756, d_loss 1.1251, logits_real -0.0169, logits_fake -0.0067,
Train Epoch: [1/30] Iters:[90/1093] gen_loss 0.2389, rec_loss 0.0185, lpips_loss 0.1893, g_loss 0.0088, disc_weight 0.4000, disc_adaptive_weight 3.3887, d_loss 1.0310, logits_real -0.0172, logits_fake -0.0086,
Train Epoch: [1/30] Iters:[100/1093] gen_loss 0.2528, rec_loss 0.0187, lpips_loss 0.1900, g_loss 0.0128, disc_weight 0.4000, disc_adaptive_weight 3.3787, d_loss 0.9560, logits_real -0.0173, logits_fake -0.0124,
Train Epoch: [1/30] Iters:[110/1093] gen_loss 0.2633, rec_loss 0.0190, lpips_loss 0.1908, g_loss 0.0158, disc_weight 0.4000, disc_adaptive_weight 3.3341, d_loss 0.8972, logits_real -0.0176, logits_fake -0.0165,
