dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-mmd_vq_transplant_FFHQ_model_256_8_2_loss_1.0_0.2_0.5_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: mmd_vq_refinement
saver_name_pre: mmd_vq_refinement_FFHQ_model_256_8_2_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss -0.0525, rec_loss 0.0101, lpips_loss 0.1342, g_loss -0.0636, disc_weight 0.4000, disc_adaptive_weight 3.2210, d_loss 2.4692, logits_real 0.0549, logits_fake 0.0619,
Train Epoch: [1/30] Iters:[20/1093] gen_loss -0.1782, rec_loss 0.0104, lpips_loss 0.1348, g_loss -0.0822, disc_weight 0.4000, disc_adaptive_weight 3.7740, d_loss 2.1942, logits_real 0.0550, logits_fake 0.0822,
Train Epoch: [1/30] Iters:[30/1093] gen_loss -0.2202, rec_loss 0.0105, lpips_loss 0.1356, g_loss -0.0931, disc_weight 0.4000, disc_adaptive_weight 3.8963, d_loss 1.9905, logits_real 0.0534, logits_fake 0.0930,
Train Epoch: [1/30] Iters:[40/1093] gen_loss -0.2398, rec_loss 0.0106, lpips_loss 0.1363, g_loss -0.0865, disc_weight 0.4000, disc_adaptive_weight 4.6281, d_loss 1.8388, logits_real 0.0527, logits_fake 0.0869,
Train Epoch: [1/30] Iters:[50/1093] gen_loss -0.2673, rec_loss 0.0108, lpips_loss 0.1368, g_loss -0.0862, disc_weight 0.4000, disc_adaptive_weight 4.9478, d_loss 1.7186, logits_real 0.0525, logits_fake 0.0867,
Train Epoch: [1/30] Iters:[60/1093] gen_loss -0.2981, rec_loss 0.0111, lpips_loss 0.1376, g_loss -0.0880, disc_weight 0.4000, disc_adaptive_weight 5.2966, d_loss 1.4477, logits_real 0.0523, logits_fake 0.0895,
Train Epoch: [1/30] Iters:[70/1093] gen_loss -0.2664, rec_loss 0.0113, lpips_loss 0.1383, g_loss -0.0816, disc_weight 0.4000, disc_adaptive_weight 5.2916, d_loss 1.2687, logits_real 0.0517, logits_fake 0.0830,
Train Epoch: [1/30] Iters:[80/1093] gen_loss -0.2179, rec_loss 0.0115, lpips_loss 0.1392, g_loss -0.0694, disc_weight 0.4000, disc_adaptive_weight 5.2682, d_loss 1.1446, logits_real 0.0520, logits_fake 0.0709,
Train Epoch: [1/30] Iters:[90/1093] gen_loss -0.1635, rec_loss 0.0117, lpips_loss 0.1396, g_loss -0.0649, disc_weight 0.4000, disc_adaptive_weight 4.7104, d_loss 1.0485, logits_real 0.0519, logits_fake 0.0660,
Train Epoch: [1/30] Iters:[100/1093] gen_loss -0.0900, rec_loss 0.0118, lpips_loss 0.1403, g_loss -0.0546, disc_weight 0.4000, disc_adaptive_weight 4.4778, d_loss 0.9701, logits_real 0.0515, logits_fake 0.0553,
Train Epoch: [1/30] Iters:[110/1093] gen_loss -0.0435, rec_loss 0.0120, lpips_loss 0.1417, g_loss -0.0459, disc_weight 0.4000, disc_adaptive_weight 4.3830, d_loss 0.9092, logits_real 0.0502, logits_fake 0.0460,
Train Epoch: [1/30] Iters:[120/1093] gen_loss -0.0067, rec_loss 0.0122, lpips_loss 0.1435, g_loss -0.0363, disc_weight 0.4000, disc_adaptive_weight 4.6923, d_loss 0.8581, logits_real 0.0491, logits_fake 0.0365,
Train Epoch: [1/30] Iters:[130/1093] gen_loss 0.0223, rec_loss 0.0125, lpips_loss 0.1457, g_loss -0.0285, disc_weight 0.4000, disc_adaptive_weight 4.9854, d_loss 0.8142, logits_real 0.0478, logits_fake 0.0284,
Train Epoch: [1/30] Iters:[140/1093] gen_loss 0.0417, rec_loss 0.0128, lpips_loss 0.1481, g_loss -0.0226, disc_weight 0.4000, disc_adaptive_weight 5.4487, d_loss 0.7770, logits_real 0.0466, logits_fake 0.0225,
Train Epoch: [1/30] Iters:[150/1093] gen_loss 0.0534, rec_loss 0.0132, lpips_loss 0.1513, g_loss -0.0191, disc_weight 0.4000, disc_adaptive_weight 5.9951, d_loss 0.7470, logits_real 0.0454, logits_fake 0.0192,
Train Epoch: [1/30] Iters:[160/1093] gen_loss 0.0628, rec_loss 0.0139, lpips_loss 0.1542, g_loss -0.0171, disc_weight 0.4000, disc_adaptive_weight 6.1801, d_loss 0.7205, logits_real 0.0440, logits_fake 0.0172,
Train Epoch: [1/30] Iters:[170/1093] gen_loss 0.0701, rec_loss 0.0141, lpips_loss 0.1559, g_loss -0.0167, disc_weight 0.4000, disc_adaptive_weight 5.9978, d_loss 0.6985, logits_real 0.0426, logits_fake 0.0165,
