dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 52
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-mmd_vq_transplant_FFHQ_model_65536_16_1_loss_1.0_0.2_0.5_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: mmd_vq_refinement
saver_name_pre: mmd_vq_refinement_FFHQ_model_65536_16_1_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss -0.2902, rec_loss 0.0111, lpips_loss 0.1348, g_loss -0.0786, disc_weight 0.4000, disc_adaptive_weight 6.0413, d_loss 2.4279, logits_real 0.0458, logits_fake 0.0785,
Train Epoch: [1/30] Iters:[20/1093] gen_loss 1.2324, rec_loss 0.0193, lpips_loss 0.1605, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 15.3391, d_loss 2.1262, logits_real 0.0483, logits_fake -0.0029,
Train Epoch: [1/30] Iters:[30/1093] gen_loss 3.4582, rec_loss 0.0362, lpips_loss 0.2144, g_loss 0.0588, disc_weight 0.4000, disc_adaptive_weight 25.9088, d_loss 1.9253, logits_real 0.0484, logits_fake -0.0585,
Train Epoch: [1/30] Iters:[40/1093] gen_loss 4.1023, rec_loss 0.0613, lpips_loss 0.2860, g_loss 0.0804, disc_weight 0.4000, disc_adaptive_weight 28.5788, d_loss 1.7796, logits_real 0.0487, logits_fake -0.0798,
Train Epoch: [1/30] Iters:[50/1093] gen_loss 4.2381, rec_loss 0.0811, lpips_loss 0.3569, g_loss 0.0879, disc_weight 0.4000, disc_adaptive_weight 29.6821, d_loss 1.6785, logits_real 0.0482, logits_fake -0.0909,
Train Epoch: [1/30] Iters:[60/1093] gen_loss 5.0193, rec_loss 0.1102, lpips_loss 0.4699, g_loss 0.1207, disc_weight 0.4000, disc_adaptive_weight 35.1515, d_loss 1.4202, logits_real 0.0488, logits_fake -0.1245,
Train Epoch: [1/30] Iters:[70/1093] gen_loss 4.8917, rec_loss 0.1417, lpips_loss 0.5807, g_loss 0.1088, disc_weight 0.4000, disc_adaptive_weight 37.4559, d_loss 1.2664, logits_real 0.0478, logits_fake -0.1137,
Train Epoch: [1/30] Iters:[80/1093] gen_loss 3.6109, rec_loss 0.1613, lpips_loss 0.6649, g_loss 0.0805, disc_weight 0.4000, disc_adaptive_weight 33.2447, d_loss 1.1573, logits_real 0.0472, logits_fake -0.0844,
Train Epoch: [1/30] Iters:[90/1093] gen_loss 2.6926, rec_loss 0.1660, lpips_loss 0.7138, g_loss 0.0582, disc_weight 0.4000, disc_adaptive_weight 29.2128, d_loss 1.0684, logits_real 0.0463, logits_fake -0.0614,
Train Epoch: [1/30] Iters:[100/1093] gen_loss 2.0430, rec_loss 0.1678, lpips_loss 0.7319, g_loss 0.0438, disc_weight 0.4000, disc_adaptive_weight 25.1596, d_loss 0.9773, logits_real 0.0457, logits_fake -0.0429,
Train Epoch: [1/30] Iters:[110/1093] gen_loss 1.5825, rec_loss 0.1693, lpips_loss 0.7335, g_loss 0.0311, disc_weight 0.4000, disc_adaptive_weight 22.2787, d_loss 0.9049, logits_real 0.0448, logits_fake -0.0298,
Train Epoch: [1/30] Iters:[120/1093] gen_loss 1.3787, rec_loss 0.1561, lpips_loss 0.7227, g_loss 0.0274, disc_weight 0.4000, disc_adaptive_weight 19.1553, d_loss 0.8462, logits_real 0.0445, logits_fake -0.0264,
Train Epoch: [1/30] Iters:[130/1093] gen_loss 1.2327, rec_loss 0.1420, lpips_loss 0.7096, g_loss 0.0234, disc_weight 0.4000, disc_adaptive_weight 18.0088, d_loss 0.7993, logits_real 0.0436, logits_fake -0.0216,
Train Epoch: [1/30] Iters:[140/1093] gen_loss 1.0192, rec_loss 0.1270, lpips_loss 0.6895, g_loss 0.0127, disc_weight 0.4000, disc_adaptive_weight 18.4806, d_loss 0.7648, logits_real 0.0428, logits_fake -0.0122,
Train Epoch: [1/30] Iters:[150/1093] gen_loss 0.7641, rec_loss 0.1099, lpips_loss 0.6706, g_loss -0.0017, disc_weight 0.4000, disc_adaptive_weight 19.1804, d_loss 0.7407, logits_real 0.0424, logits_fake 0.0017,
Train Epoch: [1/30] Iters:[160/1093] gen_loss 0.5709, rec_loss 0.0930, lpips_loss 0.6547, g_loss -0.0121, disc_weight 0.4000, disc_adaptive_weight 17.8759, d_loss 0.7205, logits_real 0.0421, logits_fake 0.0121,
Train Epoch: [1/30] Iters:[170/1093] gen_loss 0.3832, rec_loss 0.0833, lpips_loss 0.6393, g_loss -0.0226, disc_weight 0.4000, disc_adaptive_weight 16.4970, d_loss 0.6992, logits_real 0.0415, logits_fake 0.0226,
Train Epoch: [1/30] Iters:[180/1093] gen_loss 0.2660, rec_loss 0.0765, lpips_loss 0.6207, g_loss -0.0306, disc_weight 0.4000, disc_adaptive_weight 14.8461, d_loss 0.6778, logits_real 0.0412, logits_fake 0.0297,
