dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-online_vq_transplant_FFHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_refinement
saver_name_pre: online_vq_refinement_FFHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss 0.0748, rec_loss 0.0100, lpips_loss 0.1338, g_loss -0.0253, disc_weight 0.4000, disc_adaptive_weight 3.1369, d_loss 2.4554, logits_real 0.0549, logits_fake 0.0264,
Train Epoch: [1/30] Iters:[20/1093] gen_loss 0.1010, rec_loss 0.0102, lpips_loss 0.1331, g_loss -0.0171, disc_weight 0.4000, disc_adaptive_weight 3.1774, d_loss 2.1820, logits_real 0.0549, logits_fake 0.0180,
Train Epoch: [1/30] Iters:[30/1093] gen_loss 0.1395, rec_loss 0.0102, lpips_loss 0.1336, g_loss -0.0058, disc_weight 0.4000, disc_adaptive_weight 3.3401, d_loss 1.9753, logits_real 0.0533, logits_fake 0.0038,
Train Epoch: [1/30] Iters:[40/1093] gen_loss 0.1682, rec_loss 0.0103, lpips_loss 0.1348, g_loss 0.0015, disc_weight 0.4000, disc_adaptive_weight 3.5977, d_loss 1.8259, logits_real 0.0526, logits_fake -0.0034,
Train Epoch: [1/30] Iters:[50/1093] gen_loss 0.1566, rec_loss 0.0104, lpips_loss 0.1349, g_loss -0.0010, disc_weight 0.4000, disc_adaptive_weight 3.5485, d_loss 1.7068, logits_real 0.0524, logits_fake -0.0001,
Train Epoch: [1/30] Iters:[60/1093] gen_loss 0.1461, rec_loss 0.0106, lpips_loss 0.1352, g_loss -0.0028, disc_weight 0.4000, disc_adaptive_weight 3.6297, d_loss 1.4378, logits_real 0.0522, logits_fake 0.0020,
Train Epoch: [1/30] Iters:[70/1093] gen_loss 0.1167, rec_loss 0.0107, lpips_loss 0.1358, g_loss -0.0110, disc_weight 0.4000, disc_adaptive_weight 3.6371, d_loss 1.2602, logits_real 0.0515, logits_fake 0.0104,
Train Epoch: [1/30] Iters:[80/1093] gen_loss 0.0770, rec_loss 0.0109, lpips_loss 0.1364, g_loss -0.0250, disc_weight 0.4000, disc_adaptive_weight 3.3961, d_loss 1.1398, logits_real 0.0519, logits_fake 0.0258,
Train Epoch: [1/30] Iters:[90/1093] gen_loss 0.0302, rec_loss 0.0109, lpips_loss 0.1361, g_loss -0.0389, disc_weight 0.4000, disc_adaptive_weight 3.0645, d_loss 1.0449, logits_real 0.0519, logits_fake 0.0401,
Train Epoch: [1/30] Iters:[100/1093] gen_loss 0.0170, rec_loss 0.0110, lpips_loss 0.1365, g_loss -0.0429, disc_weight 0.4000, disc_adaptive_weight 3.1179, d_loss 0.9678, logits_real 0.0515, logits_fake 0.0437,
Train Epoch: [1/30] Iters:[110/1093] gen_loss 0.0232, rec_loss 0.0112, lpips_loss 0.1380, g_loss -0.0401, disc_weight 0.4000, disc_adaptive_weight 3.4069, d_loss 0.9077, logits_real 0.0503, logits_fake 0.0403,
