dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-vanilla_vq_transplant_FFHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_refinement
saver_name_pre: vanilla_vq_refinement_FFHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss 0.0003, rec_loss 0.0112, lpips_loss 0.1432, g_loss -0.0598, disc_weight 0.4000, disc_adaptive_weight 2.5973, d_loss 2.4612, logits_real 0.0549, logits_fake 0.0603,
Train Epoch: [1/30] Iters:[20/1093] gen_loss -0.0238, rec_loss 0.0114, lpips_loss 0.1429, g_loss -0.0639, disc_weight 0.4000, disc_adaptive_weight 2.8038, d_loss 2.1855, logits_real 0.0549, logits_fake 0.0646,
Train Epoch: [1/30] Iters:[30/1093] gen_loss 0.0023, rec_loss 0.0114, lpips_loss 0.1427, g_loss -0.0545, disc_weight 0.4000, disc_adaptive_weight 2.8738, d_loss 1.9810, logits_real 0.0533, logits_fake 0.0533,
Train Epoch: [1/30] Iters:[40/1093] gen_loss 0.0137, rec_loss 0.0115, lpips_loss 0.1431, g_loss -0.0515, disc_weight 0.4000, disc_adaptive_weight 2.8161, d_loss 1.8309, logits_real 0.0526, logits_fake 0.0506,
Train Epoch: [1/30] Iters:[50/1093] gen_loss 0.0174, rec_loss 0.0115, lpips_loss 0.1431, g_loss -0.0501, disc_weight 0.4000, disc_adaptive_weight 2.8074, d_loss 1.7111, logits_real 0.0523, logits_fake 0.0498,
Train Epoch: [1/30] Iters:[60/1093] gen_loss 0.0239, rec_loss 0.0116, lpips_loss 0.1432, g_loss -0.0475, disc_weight 0.4000, disc_adaptive_weight 2.8173, d_loss 1.4416, logits_real 0.0522, logits_fake 0.0478,
Train Epoch: [1/30] Iters:[70/1093] gen_loss 0.0390, rec_loss 0.0117, lpips_loss 0.1436, g_loss -0.0440, disc_weight 0.4000, disc_adaptive_weight 2.7163, d_loss 1.2639, logits_real 0.0515, logits_fake 0.0445,
Train Epoch: [1/30] Iters:[80/1093] gen_loss 0.0391, rec_loss 0.0118, lpips_loss 0.1444, g_loss -0.0451, disc_weight 0.4000, disc_adaptive_weight 2.6111, d_loss 1.1409, logits_real 0.0519, logits_fake 0.0465,
Train Epoch: [1/30] Iters:[90/1093] gen_loss 0.0396, rec_loss 0.0119, lpips_loss 0.1448, g_loss -0.0450, disc_weight 0.4000, disc_adaptive_weight 2.5894, d_loss 1.0452, logits_real 0.0518, logits_fake 0.0464,
Train Epoch: [1/30] Iters:[100/1093] gen_loss 0.0435, rec_loss 0.0120, lpips_loss 0.1454, g_loss -0.0429, disc_weight 0.4000, disc_adaptive_weight 2.6859, d_loss 0.9678, logits_real 0.0515, logits_fake 0.0436,
Train Epoch: [1/30] Iters:[110/1093] gen_loss 0.0462, rec_loss 0.0121, lpips_loss 0.1459, g_loss -0.0411, disc_weight 0.4000, disc_adaptive_weight 2.7448, d_loss 0.9072, logits_real 0.0503, logits_fake 0.0410,
