dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-vanilla_vq_transplant_FFHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_refinement
saver_name_pre: vanilla_vq_refinement_FFHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss 1.8940, rec_loss 0.0232, lpips_loss 0.2402, g_loss 0.3744, disc_weight 0.4000, disc_adaptive_weight 4.3381, d_loss 2.5373, logits_real -0.3738, logits_fake -0.3684,
Train Epoch: [1/30] Iters:[20/1093] gen_loss 2.0647, rec_loss 0.0240, lpips_loss 0.2402, g_loss 0.3792, disc_weight 0.4000, disc_adaptive_weight 4.7252, d_loss 2.2402, logits_real -0.3732, logits_fake -0.3773,
Train Epoch: [1/30] Iters:[30/1093] gen_loss 2.0265, rec_loss 0.0243, lpips_loss 0.2407, g_loss 0.3652, disc_weight 0.4000, disc_adaptive_weight 4.8138, d_loss 2.0273, logits_real -0.3711, logits_fake -0.3627,
Train Epoch: [1/30] Iters:[40/1093] gen_loss 1.9326, rec_loss 0.0250, lpips_loss 0.2420, g_loss 0.3551, disc_weight 0.4000, disc_adaptive_weight 4.6719, d_loss 1.8682, logits_real -0.3693, logits_fake -0.3524,
Train Epoch: [1/30] Iters:[50/1093] gen_loss 1.8454, rec_loss 0.0260, lpips_loss 0.2426, g_loss 0.3527, disc_weight 0.4000, disc_adaptive_weight 4.4474, d_loss 1.7423, logits_real -0.3679, logits_fake -0.3513,
Train Epoch: [1/30] Iters:[60/1093] gen_loss 1.9387, rec_loss 0.0275, lpips_loss 0.2445, g_loss 0.3515, disc_weight 0.4000, disc_adaptive_weight 4.7087, d_loss 1.4592, logits_real -0.3649, logits_fake -0.3515,
Train Epoch: [1/30] Iters:[70/1093] gen_loss 1.7881, rec_loss 0.0302, lpips_loss 0.2487, g_loss 0.3501, disc_weight 0.4000, disc_adaptive_weight 4.3144, d_loss 1.2800, logits_real -0.3616, logits_fake -0.3494,
Train Epoch: [1/30] Iters:[80/1093] gen_loss 1.6671, rec_loss 0.0341, lpips_loss 0.2554, g_loss 0.3609, disc_weight 0.4000, disc_adaptive_weight 3.8404, d_loss 1.1599, logits_real -0.3592, logits_fake -0.3611,
Train Epoch: [1/30] Iters:[90/1093] gen_loss 1.6638, rec_loss 0.0406, lpips_loss 0.2668, g_loss 0.3729, disc_weight 0.4000, disc_adaptive_weight 3.6506, d_loss 1.0750, logits_real -0.3566, logits_fake -0.3740,
Train Epoch: [1/30] Iters:[100/1093] gen_loss 1.6034, rec_loss 0.0539, lpips_loss 0.2864, g_loss 0.3749, disc_weight 0.4000, disc_adaptive_weight 3.3638, d_loss 1.0241, logits_real -0.3536, logits_fake -0.3761,
Train Epoch: [1/30] Iters:[110/1093] gen_loss 1.3545, rec_loss 0.0814, lpips_loss 0.3131, g_loss 0.3641, disc_weight 0.4000, disc_adaptive_weight 2.5960, d_loss 1.0109, logits_real -0.3501, logits_fake -0.3651,
