dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_FFHQ_model_256_8_2_loss_1.0_0.2_0.5_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: wasserstein_vq_refinement
saver_name_pre: wasserstein_vq_refinement_FFHQ_model_256_8_2_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss -0.8408, rec_loss 0.0116, lpips_loss 0.1419, g_loss -0.1837, disc_weight 0.4000, disc_adaptive_weight 5.2696, d_loss 2.5963, logits_real 0.1445, logits_fake 0.1834,
Train Epoch: [1/30] Iters:[20/1093] gen_loss -2.4847, rec_loss 0.0159, lpips_loss 0.1638, g_loss -0.2516, disc_weight 0.4000, disc_adaptive_weight 9.3970, d_loss 2.3472, logits_real 0.1442, logits_fake 0.2524,
Train Epoch: [1/30] Iters:[30/1093] gen_loss -2.6555, rec_loss 0.0268, lpips_loss 0.1880, g_loss -0.2520, disc_weight 0.4000, disc_adaptive_weight 10.6093, d_loss 2.1883, logits_real 0.1436, logits_fake 0.2541,
Train Epoch: [1/30] Iters:[40/1093] gen_loss -2.2991, rec_loss 0.0384, lpips_loss 0.2391, g_loss -0.2160, disc_weight 0.4000, disc_adaptive_weight 11.9442, d_loss 2.0468, logits_real 0.1435, logits_fake 0.2180,
Train Epoch: [1/30] Iters:[50/1093] gen_loss -1.7338, rec_loss 0.0540, lpips_loss 0.3138, g_loss -0.1753, disc_weight 0.4000, disc_adaptive_weight 12.2678, d_loss 1.9149, logits_real 0.1431, logits_fake 0.1779,
Train Epoch: [1/30] Iters:[60/1093] gen_loss -1.3907, rec_loss 0.0727, lpips_loss 0.4136, g_loss -0.1365, disc_weight 0.4000, disc_adaptive_weight 13.3965, d_loss 1.6330, logits_real 0.1422, logits_fake 0.1414,
Train Epoch: [1/30] Iters:[70/1093] gen_loss -0.4271, rec_loss 0.0926, lpips_loss 0.5024, g_loss -0.0746, disc_weight 0.4000, disc_adaptive_weight 11.9122, d_loss 1.4307, logits_real 0.1411, logits_fake 0.0784,
Train Epoch: [1/30] Iters:[80/1093] gen_loss 0.2793, rec_loss 0.1086, lpips_loss 0.5834, g_loss -0.0325, disc_weight 0.4000, disc_adaptive_weight 10.4144, d_loss 1.2599, logits_real 0.1395, logits_fake 0.0336,
Train Epoch: [1/30] Iters:[90/1093] gen_loss 0.6145, rec_loss 0.1245, lpips_loss 0.6348, g_loss -0.0223, disc_weight 0.4000, disc_adaptive_weight 8.4718, d_loss 1.1267, logits_real 0.1378, logits_fake 0.0232,
Train Epoch: [1/30] Iters:[100/1093] gen_loss 0.6187, rec_loss 0.1364, lpips_loss 0.6459, g_loss -0.0316, disc_weight 0.4000, disc_adaptive_weight 6.7383, d_loss 1.0276, logits_real 0.1365, logits_fake 0.0310,
Train Epoch: [1/30] Iters:[110/1093] gen_loss 0.4995, rec_loss 0.1602, lpips_loss 0.6544, g_loss -0.0523, disc_weight 0.4000, disc_adaptive_weight 5.9014, d_loss 0.9686, logits_real 0.1355, logits_fake 0.0495,
