dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Refinement/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Refinement/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Refinement/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Refinement/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Refinement/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-wasserstein_vq_transplant_FFHQ_model_65536_16_1_loss_1.0_0.2_0.5_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: wasserstein_vq_refinement
saver_name_pre: wasserstein_vq_refinement_FFHQ_model_65536_16_1_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/30] Iters:[10/1093] gen_loss -0.9613, rec_loss 0.0116, lpips_loss 0.1514, g_loss -0.2097, disc_weight 0.4000, disc_adaptive_weight 6.2015, d_loss 2.3700, logits_real 0.3047, logits_fake 0.1971,
Train Epoch: [1/30] Iters:[20/1093] gen_loss -0.5457, rec_loss 0.0198, lpips_loss 0.2175, g_loss -0.1152, disc_weight 0.4000, disc_adaptive_weight 10.4604, d_loss 2.0688, logits_real 0.2997, logits_fake 0.1071,
Train Epoch: [1/30] Iters:[30/1093] gen_loss -0.2481, rec_loss 0.0274, lpips_loss 0.2532, g_loss -0.0755, disc_weight 0.4000, disc_adaptive_weight 12.7743, d_loss 1.8638, logits_real 0.2989, logits_fake 0.0669,
Train Epoch: [1/30] Iters:[40/1093] gen_loss -0.3643, rec_loss 0.0289, lpips_loss 0.2647, g_loss -0.0757, disc_weight 0.4000, disc_adaptive_weight 12.9951, d_loss 1.7278, logits_real 0.2976, logits_fake 0.0691,
Train Epoch: [1/30] Iters:[50/1093] gen_loss -0.4365, rec_loss 0.0312, lpips_loss 0.2873, g_loss -0.0772, disc_weight 0.4000, disc_adaptive_weight 13.1550, d_loss 1.6234, logits_real 0.2960, logits_fake 0.0715,
Train Epoch: [1/30] Iters:[60/1093] gen_loss -0.3919, rec_loss 0.0365, lpips_loss 0.3361, g_loss -0.0531, disc_weight 0.4000, disc_adaptive_weight 14.5535, d_loss 1.3664, logits_real 0.2931, logits_fake 0.0514,
Train Epoch: [1/30] Iters:[70/1093] gen_loss -0.7392, rec_loss 0.0364, lpips_loss 0.3456, g_loss -0.0781, disc_weight 0.4000, disc_adaptive_weight 14.6304, d_loss 1.2164, logits_real 0.2916, logits_fake 0.0775,
Train Epoch: [1/30] Iters:[80/1093] gen_loss -1.4386, rec_loss 0.0325, lpips_loss 0.3341, g_loss -0.1184, disc_weight 0.4000, disc_adaptive_weight 14.5847, d_loss 1.1160, logits_real 0.2892, logits_fake 0.1196,
Train Epoch: [1/30] Iters:[90/1093] gen_loss -2.0251, rec_loss 0.0299, lpips_loss 0.3207, g_loss -0.1504, disc_weight 0.4000, disc_adaptive_weight 15.1229, d_loss 1.0328, logits_real 0.2873, logits_fake 0.1516,
Train Epoch: [1/30] Iters:[100/1093] gen_loss -2.6210, rec_loss 0.0252, lpips_loss 0.2828, g_loss -0.1887, disc_weight 0.4000, disc_adaptive_weight 15.2189, d_loss 0.9629, logits_real 0.2857, logits_fake 0.1902,
Train Epoch: [1/30] Iters:[110/1093] gen_loss -3.1867, rec_loss 0.0205, lpips_loss 0.2383, g_loss -0.2288, disc_weight 0.4000, disc_adaptive_weight 15.1737, d_loss 0.9104, logits_real 0.2841, logits_fake 0.2285,
Train Epoch: [1/30] Iters:[120/1093] gen_loss -4.0031, rec_loss 0.0181, lpips_loss 0.2082, g_loss -0.2596, disc_weight 0.4000, disc_adaptive_weight 16.2601, d_loss 0.8643, logits_real 0.2824, logits_fake 0.2590,
Train Epoch: [1/30] Iters:[130/1093] gen_loss -4.7512, rec_loss 0.0173, lpips_loss 0.1978, g_loss -0.2819, disc_weight 0.4000, disc_adaptive_weight 17.4404, d_loss 0.8276, logits_real 0.2811, logits_fake 0.2818,
Train Epoch: [1/30] Iters:[140/1093] gen_loss -5.4901, rec_loss 0.0184, lpips_loss 0.2041, g_loss -0.2984, disc_weight 0.4000, disc_adaptive_weight 18.9665, d_loss 0.7968, logits_real 0.2798, logits_fake 0.2978,
Train Epoch: [1/30] Iters:[150/1093] gen_loss -6.1289, rec_loss 0.0207, lpips_loss 0.2189, g_loss -0.3061, disc_weight 0.4000, disc_adaptive_weight 20.7268, d_loss 0.7701, logits_real 0.2784, logits_fake 0.3052,
Train Epoch: [1/30] Iters:[160/1093] gen_loss -6.7517, rec_loss 0.0234, lpips_loss 0.2348, g_loss -0.3091, disc_weight 0.4000, disc_adaptive_weight 22.6990, d_loss 0.7454, logits_real 0.2772, logits_fake 0.3083,
