dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-ema_vq_transplant_False_ImageNet_model_256_8_2_2_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_refinement_False
saver_name_pre: ema_vq_refinement_False_ImageNet_model_256_8_2_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.0001, rec_loss 0.0205, lpips_loss 0.1742, g_loss -0.0915, disc_weight 0.4000, disc_adaptive_weight 2.1284, d_loss 2.5456, logits_real 0.0697, logits_fake 0.0959,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.0140, rec_loss 0.0222, lpips_loss 0.1762, g_loss -0.0792, disc_weight 0.4000, disc_adaptive_weight 2.3587, d_loss 2.2724, logits_real 0.0723, logits_fake 0.0822,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.0208, rec_loss 0.0223, lpips_loss 0.1777, g_loss -0.0746, disc_weight 0.4000, disc_adaptive_weight 2.4326, d_loss 2.0636, logits_real 0.0718, logits_fake 0.0777,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.0166, rec_loss 0.0229, lpips_loss 0.1788, g_loss -0.0757, disc_weight 0.4000, disc_adaptive_weight 2.4701, d_loss 1.9087, logits_real 0.0712, logits_fake 0.0781,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.0015, rec_loss 0.0234, lpips_loss 0.1806, g_loss -0.0786, disc_weight 0.4000, disc_adaptive_weight 2.5779, d_loss 1.7818, logits_real 0.0707, logits_fake 0.0803,
Train Epoch: [1/5] Iters:[60/20018] gen_loss -0.0328, rec_loss 0.0239, lpips_loss 0.1808, g_loss -0.0797, disc_weight 0.4000, disc_adaptive_weight 2.9129, d_loss 1.5007, logits_real 0.0708, logits_fake 0.0804,
Train Epoch: [1/5] Iters:[70/20018] gen_loss -0.0891, rec_loss 0.0238, lpips_loss 0.1812, g_loss -0.0862, disc_weight 0.4000, disc_adaptive_weight 3.3149, d_loss 1.3102, logits_real 0.0693, logits_fake 0.0870,
Train Epoch: [1/5] Iters:[80/20018] gen_loss -0.1610, rec_loss 0.0244, lpips_loss 0.1824, g_loss -0.0933, disc_weight 0.4000, disc_adaptive_weight 3.8627, d_loss 1.1783, logits_real 0.0680, logits_fake 0.0936,
Train Epoch: [1/5] Iters:[90/20018] gen_loss -0.2111, rec_loss 0.0248, lpips_loss 0.1836, g_loss -0.0968, disc_weight 0.4000, disc_adaptive_weight 4.3081, d_loss 1.0756, logits_real 0.0672, logits_fake 0.0970,
Train Epoch: [1/5] Iters:[100/20018] gen_loss -0.2627, rec_loss 0.0248, lpips_loss 0.1839, g_loss -0.0973, disc_weight 0.4000, disc_adaptive_weight 4.8586, d_loss 0.9944, logits_real 0.0665, logits_fake 0.0978,
Train Epoch: [1/5] Iters:[110/20018] gen_loss -0.2838, rec_loss 0.0258, lpips_loss 0.1877, g_loss -0.0959, disc_weight 0.4000, disc_adaptive_weight 5.2125, d_loss 0.9333, logits_real 0.0652, logits_fake 0.0966,
Train Epoch: [1/5] Iters:[120/20018] gen_loss -0.2698, rec_loss 0.0265, lpips_loss 0.1896, g_loss -0.0937, disc_weight 0.4000, disc_adaptive_weight 5.1986, d_loss 0.8820, logits_real 0.0639, logits_fake 0.0937,
Train Epoch: [1/5] Iters:[130/20018] gen_loss -0.2311, rec_loss 0.0269, lpips_loss 0.1912, g_loss -0.0905, disc_weight 0.4000, disc_adaptive_weight 4.9705, d_loss 0.8364, logits_real 0.0633, logits_fake 0.0903,
Train Epoch: [1/5] Iters:[140/20018] gen_loss -0.2096, rec_loss 0.0264, lpips_loss 0.1912, g_loss -0.0880, disc_weight 0.4000, disc_adaptive_weight 4.8429, d_loss 0.7959, logits_real 0.0624, logits_fake 0.0876,
Train Epoch: [1/5] Iters:[150/20018] gen_loss -0.1580, rec_loss 0.0267, lpips_loss 0.1914, g_loss -0.0860, disc_weight 0.4000, disc_adaptive_weight 4.3618, d_loss 0.7644, logits_real 0.0619, logits_fake 0.0853,
Train Epoch: [1/5] Iters:[160/20018] gen_loss -0.1101, rec_loss 0.0263, lpips_loss 0.1898, g_loss -0.0836, disc_weight 0.4000, disc_adaptive_weight 3.8804, d_loss 0.7363, logits_real 0.0614, logits_fake 0.0825,
Train Epoch: [1/5] Iters:[170/20018] gen_loss -0.0838, rec_loss 0.0260, lpips_loss 0.1889, g_loss -0.0814, disc_weight 0.4000, disc_adaptive_weight 3.6567, d_loss 0.7139, logits_real 0.0615, logits_fake 0.0805,
Train Epoch: [1/5] Iters:[180/20018] gen_loss -0.0617, rec_loss 0.0256, lpips_loss 0.1861, g_loss -0.0799, disc_weight 0.4000, disc_adaptive_weight 3.4103, d_loss 0.6952, logits_real 0.0620, logits_fake 0.0791,
Train Epoch: [1/5] Iters:[190/20018] gen_loss -0.0323, rec_loss 0.0255, lpips_loss 0.1845, g_loss -0.0787, disc_weight 0.4000, disc_adaptive_weight 3.0761, d_loss 0.6801, logits_real 0.0629, logits_fake 0.0781,
Train Epoch: [1/5] Iters:[200/20018] gen_loss -0.0175, rec_loss 0.0252, lpips_loss 0.1828, g_loss -0.0774, disc_weight 0.4000, disc_adaptive_weight 2.9101, d_loss 0.6664, logits_real 0.0635, logits_fake 0.0775,
Train Epoch: [1/5] Iters:[210/20018] gen_loss -0.0188, rec_loss 0.0249, lpips_loss 0.1805, g_loss -0.0773, disc_weight 0.4000, disc_adaptive_weight 2.9037, d_loss 0.6541, logits_real 0.0646, logits_fake 0.0774,
Train Epoch: [1/5] Iters:[220/20018] gen_loss -0.0067, rec_loss 0.0248, lpips_loss 0.1794, g_loss -0.0773, disc_weight 0.4000, disc_adaptive_weight 2.7231, d_loss 0.6428, logits_real 0.0658, logits_fake 0.0775,
