dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: fsq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-fsq_transplant_ImageNet_model_8_2_4_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_8_2_4
loss_pre: loss_1.0_0.4
training_pre: fsq_refinement
saver_name_pre: fsq_refinement_ImageNet_model_8_2_4_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 1.3524, rec_loss 0.0284, lpips_loss 0.2275, g_loss 0.2033, disc_weight 0.4000, disc_adaptive_weight 4.8135, d_loss 2.4849, logits_real -0.1200, logits_fake -0.1994,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 2.2780, rec_loss 0.0340, lpips_loss 0.2536, g_loss 0.2615, disc_weight 0.4000, disc_adaptive_weight 6.9700, d_loss 2.2249, logits_real -0.1160, logits_fake -0.2594,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 2.6023, rec_loss 0.0379, lpips_loss 0.2757, g_loss 0.2827, disc_weight 0.4000, disc_adaptive_weight 7.6144, d_loss 2.0237, logits_real -0.1174, logits_fake -0.2853,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 2.5554, rec_loss 0.0405, lpips_loss 0.2864, g_loss 0.2749, disc_weight 0.4000, disc_adaptive_weight 7.7370, d_loss 1.8760, logits_real -0.1162, logits_fake -0.2779,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 2.4966, rec_loss 0.0422, lpips_loss 0.2935, g_loss 0.2572, disc_weight 0.4000, disc_adaptive_weight 8.1876, d_loss 1.7492, logits_real -0.1151, logits_fake -0.2598,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 2.4382, rec_loss 0.0458, lpips_loss 0.3056, g_loss 0.2436, disc_weight 0.4000, disc_adaptive_weight 8.3014, d_loss 1.4792, logits_real -0.1137, logits_fake -0.2461,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 1.9713, rec_loss 0.0464, lpips_loss 0.3042, g_loss 0.2023, disc_weight 0.4000, disc_adaptive_weight 7.4506, d_loss 1.2904, logits_real -0.1133, logits_fake -0.2051,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 1.4502, rec_loss 0.0452, lpips_loss 0.2933, g_loss 0.1548, disc_weight 0.4000, disc_adaptive_weight 6.4451, d_loss 1.1529, logits_real -0.1112, logits_fake -0.1550,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 1.0709, rec_loss 0.0429, lpips_loss 0.2802, g_loss 0.1183, disc_weight 0.4000, disc_adaptive_weight 5.4831, d_loss 1.0368, logits_real -0.1109, logits_fake -0.1173,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.7023, rec_loss 0.0398, lpips_loss 0.2653, g_loss 0.0906, disc_weight 0.4000, disc_adaptive_weight 4.0500, d_loss 0.9463, logits_real -0.1095, logits_fake -0.0897,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.5704, rec_loss 0.0376, lpips_loss 0.2567, g_loss 0.0731, disc_weight 0.4000, disc_adaptive_weight 3.4756, d_loss 0.8776, logits_real -0.1068, logits_fake -0.0729,
Train Epoch: [1/5] Iters:[120/20018] gen_loss 0.4714, rec_loss 0.0358, lpips_loss 0.2494, g_loss 0.0580, disc_weight 0.4000, disc_adaptive_weight 3.0599, d_loss 0.8201, logits_real -0.1034, logits_fake -0.0583,
Train Epoch: [1/5] Iters:[130/20018] gen_loss 0.4231, rec_loss 0.0349, lpips_loss 0.2450, g_loss 0.0486, disc_weight 0.4000, disc_adaptive_weight 2.8989, d_loss 0.7766, logits_real -0.0991, logits_fake -0.0489,
