dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
chunks: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-mmd_vq_transplant_False_ImageNet_model_256_8_4_1_loss_1.0_0.2_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_4_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: mmd_vq_refinement_False
saver_name_pre: mmd_vq_refinement_False_ImageNet_model_256_8_4_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.1838, rec_loss 0.0210, lpips_loss 0.1773, g_loss -0.0068, disc_weight 0.4000, disc_adaptive_weight 3.7221, d_loss 2.3982, logits_real 0.0509, logits_fake 0.0029,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.2583, rec_loss 0.0229, lpips_loss 0.1821, g_loss 0.0088, disc_weight 0.4000, disc_adaptive_weight 4.1576, d_loss 2.1676, logits_real 0.0506, logits_fake -0.0112,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.2243, rec_loss 0.0228, lpips_loss 0.1826, g_loss 0.0025, disc_weight 0.4000, disc_adaptive_weight 4.3872, d_loss 1.9779, logits_real 0.0496, logits_fake -0.0044,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.0807, rec_loss 0.0238, lpips_loss 0.1864, g_loss -0.0151, disc_weight 0.4000, disc_adaptive_weight 5.3742, d_loss 1.8357, logits_real 0.0499, logits_fake 0.0139,
Train Epoch: [1/5] Iters:[50/20018] gen_loss -0.0008, rec_loss 0.0243, lpips_loss 0.1889, g_loss -0.0269, disc_weight 0.4000, disc_adaptive_weight 5.7819, d_loss 1.7165, logits_real 0.0505, logits_fake 0.0256,
Train Epoch: [1/5] Iters:[60/20018] gen_loss -0.0729, rec_loss 0.0250, lpips_loss 0.1900, g_loss -0.0409, disc_weight 0.4000, disc_adaptive_weight 6.0450, d_loss 1.4618, logits_real 0.0499, logits_fake 0.0406,
Train Epoch: [1/5] Iters:[70/20018] gen_loss -0.1385, rec_loss 0.0247, lpips_loss 0.1889, g_loss -0.0587, disc_weight 0.4000, disc_adaptive_weight 5.7479, d_loss 1.2796, logits_real 0.0491, logits_fake 0.0588,
Train Epoch: [1/5] Iters:[80/20018] gen_loss -0.1741, rec_loss 0.0254, lpips_loss 0.1920, g_loss -0.0638, disc_weight 0.4000, disc_adaptive_weight 6.1915, d_loss 1.1534, logits_real 0.0492, logits_fake 0.0642,
Train Epoch: [1/5] Iters:[90/20018] gen_loss -0.1023, rec_loss 0.0252, lpips_loss 0.1907, g_loss -0.0576, disc_weight 0.4000, disc_adaptive_weight 5.6476, d_loss 1.0540, logits_real 0.0482, logits_fake 0.0575,
Train Epoch: [1/5] Iters:[100/20018] gen_loss -0.0203, rec_loss 0.0249, lpips_loss 0.1887, g_loss -0.0491, disc_weight 0.4000, disc_adaptive_weight 4.9814, d_loss 0.9770, logits_real 0.0466, logits_fake 0.0494,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.0376, rec_loss 0.0253, lpips_loss 0.1908, g_loss -0.0390, disc_weight 0.4000, disc_adaptive_weight 4.7908, d_loss 0.9163, logits_real 0.0455, logits_fake 0.0389,
