dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-vanilla_vq_transplant_False_ImageNet_model_256_8_2_2_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_refinement_False
saver_name_pre: vanilla_vq_refinement_False_ImageNet_model_256_8_2_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.0032, rec_loss 0.0219, lpips_loss 0.1821, g_loss -0.0682, disc_weight 0.4000, disc_adaptive_weight 3.0938, d_loss 2.4132, logits_real 0.0509, logits_fake 0.0683,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.0684, rec_loss 0.0237, lpips_loss 0.1853, g_loss -0.0501, disc_weight 0.4000, disc_adaptive_weight 2.8280, d_loss 2.1798, logits_real 0.0506, logits_fake 0.0507,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.1206, rec_loss 0.0237, lpips_loss 0.1876, g_loss -0.0326, disc_weight 0.4000, disc_adaptive_weight 3.4260, d_loss 1.9860, logits_real 0.0497, logits_fake 0.0322,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.1403, rec_loss 0.0245, lpips_loss 0.1894, g_loss -0.0261, disc_weight 0.4000, disc_adaptive_weight 3.4739, d_loss 1.8413, logits_real 0.0499, logits_fake 0.0256,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.1490, rec_loss 0.0250, lpips_loss 0.1914, g_loss -0.0233, disc_weight 0.4000, disc_adaptive_weight 3.5387, d_loss 1.7200, logits_real 0.0506, logits_fake 0.0232,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 0.1739, rec_loss 0.0256, lpips_loss 0.1917, g_loss -0.0148, disc_weight 0.4000, disc_adaptive_weight 3.5288, d_loss 1.4611, logits_real 0.0500, logits_fake 0.0154,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 0.1688, rec_loss 0.0253, lpips_loss 0.1911, g_loss -0.0161, disc_weight 0.4000, disc_adaptive_weight 3.5396, d_loss 1.2761, logits_real 0.0493, logits_fake 0.0165,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.1429, rec_loss 0.0258, lpips_loss 0.1909, g_loss -0.0255, disc_weight 0.4000, disc_adaptive_weight 3.1563, d_loss 1.1491, logits_real 0.0492, logits_fake 0.0264,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.1046, rec_loss 0.0256, lpips_loss 0.1896, g_loss -0.0352, disc_weight 0.4000, disc_adaptive_weight 3.1861, d_loss 1.0502, logits_real 0.0482, logits_fake 0.0357,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.0578, rec_loss 0.0252, lpips_loss 0.1877, g_loss -0.0444, disc_weight 0.4000, disc_adaptive_weight 3.3430, d_loss 0.9741, logits_real 0.0465, logits_fake 0.0441,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.0156, rec_loss 0.0256, lpips_loss 0.1896, g_loss -0.0517, disc_weight 0.4000, disc_adaptive_weight 3.6995, d_loss 0.9157, logits_real 0.0455, logits_fake 0.0504,
