dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: bsq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_16_2
loss_pre: loss_1.0_0.4
training_pre: bsq_transplant
saver_name_pre: bsq_transplant_CelebAHQ_model_16_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 4.0059, rec_loss 0.4478, p_loss 0.7648, quant_error 0.9859, utilization 0.0233, perplexity 1017.9511,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 2.9566, rec_loss 0.2948, p_loss 0.7263, quant_error 0.7423, utilization 0.0124, perplexity 519.0955,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 2.4964, rec_loss 0.2310, p_loss 0.6977, quant_error 0.6309, utilization 0.0087, perplexity 352.4137,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 2.2299, rec_loss 0.1952, p_loss 0.6718, quant_error 0.5699, utilization 0.0070, perplexity 269.6759,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 2.0491, rec_loss 0.1718, p_loss 0.6463, quant_error 0.5314, utilization 0.0063, perplexity 221.6472,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 1.4907, rec_loss 0.0959, p_loss 0.5926, quant_error 0.4073, utilization 0.0024, perplexity 25.0440,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 1.3430, rec_loss 0.0804, p_loss 0.5503, quant_error 0.3795, utilization 0.0031, perplexity 29.5087,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 1.2487, rec_loss 0.0715, p_loss 0.5131, quant_error 0.3670, utilization 0.0037, perplexity 35.2925,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 1.1802, rec_loss 0.0649, p_loss 0.4834, quant_error 0.3605, utilization 0.0044, perplexity 42.6002,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 1.1277, rec_loss 0.0600, p_loss 0.4610, quant_error 0.3546, utilization 0.0052, perplexity 51.3895,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 1.0917, rec_loss 0.0569, p_loss 0.4457, quant_error 0.3497, utilization 0.0061, perplexity 60.9311,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 1.0652, rec_loss 0.0546, p_loss 0.4333, quant_error 0.3463, utilization 0.0069, perplexity 71.8873,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 1.0453, rec_loss 0.0530, p_loss 0.4225, quant_error 0.3450, utilization 0.0078, perplexity 83.3203,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 1.0238, rec_loss 0.0516, p_loss 0.4121, quant_error 0.3406, utilization 0.0086, perplexity 95.3417,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 1.0019, rec_loss 0.0500, p_loss 0.4024, quant_error 0.3362, utilization 0.0094, perplexity 108.9042,
Train Epoch: [1/30] Iters:[160/468] transplant_loss 0.9860, rec_loss 0.0490, p_loss 0.3937, quant_error 0.3337, utilization 0.0105, perplexity 126.0481,
Train Epoch: [1/30] Iters:[170/468] transplant_loss 0.9643, rec_loss 0.0473, p_loss 0.3842, quant_error 0.3293, utilization 0.0118, perplexity 144.7143,
Train Epoch: [1/30] Iters:[180/468] transplant_loss 0.9441, rec_loss 0.0458, p_loss 0.3759, quant_error 0.3245, utilization 0.0135, perplexity 172.1072,
Train Epoch: [1/30] Iters:[190/468] transplant_loss 0.9316, rec_loss 0.0447, p_loss 0.3697, quant_error 0.3231, utilization 0.0154, perplexity 207.3623,
Train Epoch: [1/30] Iters:[200/468] transplant_loss 0.9183, rec_loss 0.0438, p_loss 0.3635, quant_error 0.3202, utilization 0.0176, perplexity 248.4481,
Train Epoch: [1/30] Iters:[210/468] transplant_loss 0.9035, rec_loss 0.0426, p_loss 0.3574, quant_error 0.3170, utilization 0.0199, perplexity 297.7707,
Train Epoch: [1/30] Iters:[220/468] transplant_loss 0.8880, rec_loss 0.0418, p_loss 0.3499, quant_error 0.3128, utilization 0.0226, perplexity 360.0358,
Train Epoch: [1/30] Iters:[230/468] transplant_loss 0.8728, rec_loss 0.0409, p_loss 0.3428, quant_error 0.3085, utilization 0.0255, perplexity 426.3323,
Train Epoch: [1/30] Iters:[240/468] transplant_loss 0.8535, rec_loss 0.0397, p_loss 0.3343, quant_error 0.3031, utilization 0.0290, perplexity 510.3288,
Train Epoch: [1/30] Iters:[250/468] transplant_loss 0.8393, rec_loss 0.0389, p_loss 0.3267, quant_error 0.3000, utilization 0.0331, perplexity 625.8534,
Train Epoch: [1/30] Iters:[260/468] transplant_loss 0.8188, rec_loss 0.0374, p_loss 0.3180, quant_error 0.2950, utilization 0.0377, perplexity 762.1147,
Train Epoch: [1/30] Iters:[270/468] transplant_loss 0.8002, rec_loss 0.0359, p_loss 0.3108, quant_error 0.2909, utilization 0.0428, perplexity 923.4650,
Train Epoch: [1/30] Iters:[280/468] transplant_loss 0.7844, rec_loss 0.0346, p_loss 0.3037, quant_error 0.2879, utilization 0.0500, perplexity 1177.1847,
Train Epoch: [1/30] Iters:[290/468] transplant_loss 0.7617, rec_loss 0.0330, p_loss 0.2947, quant_error 0.2816, utilization 0.0576, perplexity 1465.2686,
Train Epoch: [1/30] Iters:[300/468] transplant_loss 0.7362, rec_loss 0.0311, p_loss 0.2852, quant_error 0.2746, utilization 0.0657, perplexity 1815.2245,
Train Epoch: [1/30] Iters:[310/468] transplant_loss 0.7140, rec_loss 0.0297, p_loss 0.2766, quant_error 0.2677, utilization 0.0750, perplexity 2255.4151,
Train Epoch: [1/30] Iters:[320/468] transplant_loss 0.6932, rec_loss 0.0283, p_loss 0.2679, quant_error 0.2620, utilization 0.0849, perplexity 2757.9225,
Train Epoch: [1/30] Iters:[330/468] transplant_loss 0.6695, rec_loss 0.0267, p_loss 0.2591, quant_error 0.2545, utilization 0.0951, perplexity 3380.9575,
Train Epoch: [1/30] Iters:[340/468] transplant_loss 0.6542, rec_loss 0.0259, p_loss 0.2519, quant_error 0.2500, utilization 0.1064, perplexity 4118.3040,
Train Epoch: [1/30] Iters:[350/468] transplant_loss 0.6393, rec_loss 0.0252, p_loss 0.2447, quant_error 0.2453, utilization 0.1176, perplexity 4894.2187,
Train Epoch: [1/30] Iters:[360/468] transplant_loss 0.6224, rec_loss 0.0243, p_loss 0.2375, quant_error 0.2399, utilization 0.1282, perplexity 5690.7618,
Train Epoch: [1/30] Iters:[370/468] transplant_loss 0.6061, rec_loss 0.0235, p_loss 0.2303, quant_error 0.2344, utilization 0.1392, perplexity 6545.5408,
Train Epoch: [1/30] Iters:[380/468] transplant_loss 0.5932, rec_loss 0.0228, p_loss 0.2246, quant_error 0.2307, utilization 0.1485, perplexity 7316.8252,
Train Epoch: [1/30] Iters:[390/468] transplant_loss 0.5757, rec_loss 0.0217, p_loss 0.2185, quant_error 0.2249, utilization 0.1578, perplexity 8131.6573,
Train Epoch: [1/30] Iters:[400/468] transplant_loss 0.5600, rec_loss 0.0207, p_loss 0.2129, quant_error 0.2194, utilization 0.1666, perplexity 8913.2025,
Train Epoch: [1/30] Iters:[410/468] transplant_loss 0.5496, rec_loss 0.0202, p_loss 0.2088, quant_error 0.2158, utilization 0.1746, perplexity 9633.4533,
Train Epoch: [1/30] Iters:[420/468] transplant_loss 0.5416, rec_loss 0.0197, p_loss 0.2063, quant_error 0.2129, utilization 0.1815, perplexity 10274.5902,
Train Epoch: [1/30] Iters:[430/468] transplant_loss 0.5331, rec_loss 0.0195, p_loss 0.2029, quant_error 0.2086, utilization 0.1871, perplexity 10794.5452,
