dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_transplant
saver_name_pre: ema_vq_transplant_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 3.4049, rec_loss 0.2612, p_loss 0.6337, quant_error 0.7458, utilization 0.0607, perplexity 1556.4151,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 2.3790, rec_loss 0.1523, p_loss 0.4988, quant_error 0.5218, utilization 0.0813, perplexity 2969.5678,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 1.8961, rec_loss 0.1081, p_loss 0.4051, quant_error 0.4183, utilization 0.1030, perplexity 4626.7987,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 1.6123, rec_loss 0.0848, p_loss 0.3458, quant_error 0.3561, utilization 0.1262, perplexity 6378.7117,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 1.4362, rec_loss 0.0709, p_loss 0.3090, quant_error 0.3161, utilization 0.1420, perplexity 7590.9257,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 0.8954, rec_loss 0.0215, p_loss 0.2128, quant_error 0.1966, utilization 0.1717, perplexity 9836.4639,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 0.7611, rec_loss 0.0153, p_loss 0.1695, quant_error 0.1658, utilization 0.1934, perplexity 11538.5518,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 0.7066, rec_loss 0.0135, p_loss 0.1553, quant_error 0.1510, utilization 0.2066, perplexity 12557.9883,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 0.6900, rec_loss 0.0128, p_loss 0.1514, quant_error 0.1451, utilization 0.2101, perplexity 12856.9668,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 0.6783, rec_loss 0.0121, p_loss 0.1478, quant_error 0.1416, utilization 0.2116, perplexity 12992.5001,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 0.6723, rec_loss 0.0116, p_loss 0.1460, quant_error 0.1393, utilization 0.2125, perplexity 13069.9055,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 0.6734, rec_loss 0.0116, p_loss 0.1456, quant_error 0.1384, utilization 0.2131, perplexity 13132.2235,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 0.6788, rec_loss 0.0117, p_loss 0.1455, quant_error 0.1385, utilization 0.2137, perplexity 13183.4468,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 0.6775, rec_loss 0.0117, p_loss 0.1448, quant_error 0.1373, utilization 0.2139, perplexity 13210.8128,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 0.6755, rec_loss 0.0116, p_loss 0.1442, quant_error 0.1359, utilization 0.2142, perplexity 13233.7621,
Train Epoch: [1/30] Iters:[160/468] transplant_loss 0.6779, rec_loss 0.0116, p_loss 0.1445, quant_error 0.1354, utilization 0.2144, perplexity 13251.8043,
