dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: fsq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_8_4
loss_pre: loss_1.0_0.4
training_pre: fsq_transplant
saver_name_pre: fsq_transplant_CelebAHQ_model_8_4_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 3.9777, rec_loss 0.4515, p_loss 0.7345, quant_error 0.9858, utilization 0.0096, perplexity 127.8928,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 2.8818, rec_loss 0.2868, p_loss 0.7031, quant_error 0.7449, utilization 0.0075, perplexity 92.7554,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 2.4295, rec_loss 0.2232, p_loss 0.6800, quant_error 0.6334, utilization 0.0075, perplexity 89.5216,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 2.1644, rec_loss 0.1881, p_loss 0.6542, quant_error 0.5694, utilization 0.0082, perplexity 104.9659,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 1.9855, rec_loss 0.1652, p_loss 0.6288, quant_error 0.5305, utilization 0.0094, perplexity 132.2473,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 1.4250, rec_loss 0.0877, p_loss 0.5799, quant_error 0.4065, utilization 0.0111, perplexity 169.7830,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 1.2961, rec_loss 0.0757, p_loss 0.5402, quant_error 0.3774, utilization 0.0145, perplexity 245.4056,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 1.2065, rec_loss 0.0677, p_loss 0.5037, quant_error 0.3642, utilization 0.0185, perplexity 349.2210,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 1.1441, rec_loss 0.0618, p_loss 0.4762, quant_error 0.3589, utilization 0.0229, perplexity 487.3175,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 1.0990, rec_loss 0.0580, p_loss 0.4558, quant_error 0.3531, utilization 0.0278, perplexity 658.3900,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 1.0658, rec_loss 0.0557, p_loss 0.4397, quant_error 0.3478, utilization 0.0327, perplexity 862.0096,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 1.0325, rec_loss 0.0528, p_loss 0.4249, quant_error 0.3437, utilization 0.0380, perplexity 1106.8076,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 1.0117, rec_loss 0.0512, p_loss 0.4135, quant_error 0.3420, utilization 0.0436, perplexity 1396.0451,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 0.9844, rec_loss 0.0494, p_loss 0.4012, quant_error 0.3363, utilization 0.0492, perplexity 1694.7752,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 0.9539, rec_loss 0.0468, p_loss 0.3896, quant_error 0.3304, utilization 0.0550, perplexity 2021.4455,
Train Epoch: [1/30] Iters:[160/468] transplant_loss 0.9272, rec_loss 0.0444, p_loss 0.3793, quant_error 0.3257, utilization 0.0617, perplexity 2408.0649,
Train Epoch: [1/30] Iters:[170/468] transplant_loss 0.8996, rec_loss 0.0423, p_loss 0.3682, quant_error 0.3197, utilization 0.0686, perplexity 2795.7540,
Train Epoch: [1/30] Iters:[180/468] transplant_loss 0.8695, rec_loss 0.0403, p_loss 0.3555, quant_error 0.3124, utilization 0.0757, perplexity 3204.9926,
Train Epoch: [1/30] Iters:[190/468] transplant_loss 0.8504, rec_loss 0.0391, p_loss 0.3457, quant_error 0.3091, utilization 0.0832, perplexity 3639.1833,
Train Epoch: [1/30] Iters:[200/468] transplant_loss 0.8282, rec_loss 0.0377, p_loss 0.3353, quant_error 0.3043, utilization 0.0903, perplexity 4062.0869,
Train Epoch: [1/30] Iters:[210/468] transplant_loss 0.8054, rec_loss 0.0363, p_loss 0.3254, quant_error 0.2986, utilization 0.0968, perplexity 4461.7701,
Train Epoch: [1/30] Iters:[220/468] transplant_loss 0.7837, rec_loss 0.0353, p_loss 0.3150, quant_error 0.2922, utilization 0.1033, perplexity 4878.9312,
Train Epoch: [1/30] Iters:[230/468] transplant_loss 0.7569, rec_loss 0.0334, p_loss 0.3046, quant_error 0.2855, utilization 0.1094, perplexity 5273.4709,
Train Epoch: [1/30] Iters:[240/468] transplant_loss 0.7299, rec_loss 0.0314, p_loss 0.2944, quant_error 0.2783, utilization 0.1152, perplexity 5657.3936,
Train Epoch: [1/30] Iters:[250/468] transplant_loss 0.7094, rec_loss 0.0300, p_loss 0.2862, quant_error 0.2732, utilization 0.1208, perplexity 6036.3413,
Train Epoch: [1/30] Iters:[260/468] transplant_loss 0.6864, rec_loss 0.0285, p_loss 0.2765, quant_error 0.2673, utilization 0.1260, perplexity 6395.9168,
Train Epoch: [1/30] Iters:[270/468] transplant_loss 0.6695, rec_loss 0.0276, p_loss 0.2695, quant_error 0.2622, utilization 0.1306, perplexity 6729.9939,
Train Epoch: [1/30] Iters:[280/468] transplant_loss 0.6557, rec_loss 0.0267, p_loss 0.2634, quant_error 0.2587, utilization 0.1348, perplexity 7030.8819,
Train Epoch: [1/30] Iters:[290/468] transplant_loss 0.6363, rec_loss 0.0256, p_loss 0.2557, quant_error 0.2528, utilization 0.1386, perplexity 7318.7989,
Train Epoch: [1/30] Iters:[300/468] transplant_loss 0.6170, rec_loss 0.0246, p_loss 0.2480, quant_error 0.2463, utilization 0.1423, perplexity 7594.6173,
Train Epoch: [1/30] Iters:[310/468] transplant_loss 0.6046, rec_loss 0.0241, p_loss 0.2429, quant_error 0.2410, utilization 0.1458, perplexity 7859.5204,
Train Epoch: [1/30] Iters:[320/468] transplant_loss 0.5892, rec_loss 0.0229, p_loss 0.2374, quant_error 0.2371, utilization 0.1488, perplexity 8089.2951,
Train Epoch: [1/30] Iters:[330/468] transplant_loss 0.5754, rec_loss 0.0220, p_loss 0.2330, quant_error 0.2325, utilization 0.1516, perplexity 8310.8707,
Train Epoch: [1/30] Iters:[340/468] transplant_loss 0.5676, rec_loss 0.0215, p_loss 0.2300, quant_error 0.2301, utilization 0.1540, perplexity 8495.4853,
Train Epoch: [1/30] Iters:[350/468] transplant_loss 0.5600, rec_loss 0.0209, p_loss 0.2270, quant_error 0.2286, utilization 0.1560, perplexity 8649.1023,
Train Epoch: [1/30] Iters:[360/468] transplant_loss 0.5473, rec_loss 0.0199, p_loss 0.2228, quant_error 0.2252, utilization 0.1582, perplexity 8813.0525,
Train Epoch: [1/30] Iters:[370/468] transplant_loss 0.5396, rec_loss 0.0195, p_loss 0.2195, quant_error 0.2226, utilization 0.1605, perplexity 8972.2699,
Train Epoch: [1/30] Iters:[380/468] transplant_loss 0.5367, rec_loss 0.0198, p_loss 0.2167, quant_error 0.2211, utilization 0.1626, perplexity 9126.2275,
Train Epoch: [1/30] Iters:[390/468] transplant_loss 0.5287, rec_loss 0.0195, p_loss 0.2132, quant_error 0.2179, utilization 0.1645, perplexity 9272.7911,
Train Epoch: [1/30] Iters:[400/468] transplant_loss 0.5208, rec_loss 0.0192, p_loss 0.2097, quant_error 0.2148, utilization 0.1671, perplexity 9464.2400,
Train Epoch: [1/30] Iters:[410/468] transplant_loss 0.5177, rec_loss 0.0191, p_loss 0.2084, quant_error 0.2138, utilization 0.1690, perplexity 9604.5791,
Train Epoch: [1/30] Iters:[420/468] transplant_loss 0.5140, rec_loss 0.0188, p_loss 0.2069, quant_error 0.2132, utilization 0.1712, perplexity 9773.2706,
Train Epoch: [1/30] Iters:[430/468] transplant_loss 0.5076, rec_loss 0.0183, p_loss 0.2051, quant_error 0.2110, utilization 0.1734, perplexity 9929.6559,
Train Epoch: [1/30] Iters:[440/468] transplant_loss 0.5034, rec_loss 0.0180, p_loss 0.2041, quant_error 0.2095, utilization 0.1759, perplexity 10110.2753,
Train Epoch: [1/30] Iters:[450/468] transplant_loss 0.5011, rec_loss 0.0178, p_loss 0.2034, quant_error 0.2086, utilization 0.1780, perplexity 10262.9477,
Train Epoch: [1/30] Iters:[460/468] transplant_loss 0.4986, rec_loss 0.0178, p_loss 0.2019, quant_error 0.2078, utilization 0.1801, perplexity 10429.6246,
epoch:2, cur_lr:0.000097
Train Epoch: [2/30] Iters:[10/468] transplant_loss 0.4987, rec_loss 0.0188, p_loss 0.1988, quant_error 0.2058, utilization 0.1855, perplexity 10865.7394,
Train Epoch: [2/30] Iters:[20/468] transplant_loss 0.4939, rec_loss 0.0181, p_loss 0.1977, quant_error 0.2056, utilization 0.1863, perplexity 10921.1958,
Train Epoch: [2/30] Iters:[30/468] transplant_loss 0.4897, rec_loss 0.0176, p_loss 0.1972, quant_error 0.2045, utilization 0.1869, perplexity 10970.2057,
Train Epoch: [2/30] Iters:[40/468] transplant_loss 0.4858, rec_loss 0.0172, p_loss 0.1965, quant_error 0.2034, utilization 0.1877, perplexity 11031.0504,
Train Epoch: [2/30] Iters:[50/468] transplant_loss 0.4824, rec_loss 0.0169, p_loss 0.1955, quant_error 0.2024, utilization 0.1882, perplexity 11067.2266,
Train Epoch: [2/30] Iters:[60/468] transplant_loss 0.4765, rec_loss 0.0164, p_loss 0.1939, quant_error 0.2006, utilization 0.1894, perplexity 11168.7350,
Train Epoch: [2/30] Iters:[70/468] transplant_loss 0.4724, rec_loss 0.0162, p_loss 0.1927, quant_error 0.1988, utilization 0.1905, perplexity 11249.1090,
Train Epoch: [2/30] Iters:[80/468] transplant_loss 0.4694, rec_loss 0.0161, p_loss 0.1915, quant_error 0.1974, utilization 0.1915, perplexity 11328.8446,
Train Epoch: [2/30] Iters:[90/468] transplant_loss 0.4678, rec_loss 0.0163, p_loss 0.1900, quant_error 0.1964, utilization 0.1923, perplexity 11395.3472,
Train Epoch: [2/30] Iters:[100/468] transplant_loss 0.4651, rec_loss 0.0164, p_loss 0.1888, quant_error 0.1943, utilization 0.1932, perplexity 11468.3960,
Train Epoch: [2/30] Iters:[110/468] transplant_loss 0.4639, rec_loss 0.0164, p_loss 0.1880, quant_error 0.1938, utilization 0.1939, perplexity 11527.8043,
Train Epoch: [2/30] Iters:[120/468] transplant_loss 0.4619, rec_loss 0.0164, p_loss 0.1868, quant_error 0.1930, utilization 0.1946, perplexity 11589.6615,
