dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: lfq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_16_2
loss_pre: loss_1.0_0.4
training_pre: lfq_transplant
saver_name_pre: lfq_transplant_CelebAHQ_model_16_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 4.1566, rec_loss 0.3977, p_loss 0.7541, quant_error 0.9763, utilization 0.0247, perplexity 1035.3609,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 3.0927, rec_loss 0.2611, p_loss 0.7107, quant_error 0.7215, utilization 0.0150, perplexity 542.0140,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 2.6427, rec_loss 0.2067, p_loss 0.6782, quant_error 0.6165, utilization 0.0116, perplexity 376.3503,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 2.3721, rec_loss 0.1755, p_loss 0.6506, quant_error 0.5584, utilization 0.0097, perplexity 292.6525,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 2.1903, rec_loss 0.1552, p_loss 0.6263, quant_error 0.5219, utilization 0.0085, perplexity 241.9502,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 1.6310, rec_loss 0.0888, p_loss 0.5739, quant_error 0.3996, utilization 0.0043, perplexity 43.3125,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 1.4913, rec_loss 0.0771, p_loss 0.5367, quant_error 0.3786, utilization 0.0039, perplexity 42.0482,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 1.3921, rec_loss 0.0693, p_loss 0.5047, quant_error 0.3662, utilization 0.0036, perplexity 42.0407,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 1.3282, rec_loss 0.0645, p_loss 0.4812, quant_error 0.3600, utilization 0.0034, perplexity 43.4957,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 1.2832, rec_loss 0.0613, p_loss 0.4639, quant_error 0.3552, utilization 0.0033, perplexity 45.6211,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 1.2505, rec_loss 0.0591, p_loss 0.4510, quant_error 0.3511, utilization 0.0032, perplexity 48.2044,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 1.2218, rec_loss 0.0570, p_loss 0.4382, quant_error 0.3480, utilization 0.0033, perplexity 50.7509,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 1.2074, rec_loss 0.0559, p_loss 0.4302, quant_error 0.3479, utilization 0.0032, perplexity 53.1237,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 1.1863, rec_loss 0.0544, p_loss 0.4204, quant_error 0.3447, utilization 0.0033, perplexity 55.6084,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 1.1648, rec_loss 0.0528, p_loss 0.4114, quant_error 0.3410, utilization 0.0033, perplexity 57.9228,
Train Epoch: [1/30] Iters:[160/468] transplant_loss 1.1514, rec_loss 0.0518, p_loss 0.4048, quant_error 0.3395, utilization 0.0033, perplexity 59.7937,
Train Epoch: [1/30] Iters:[170/468] transplant_loss 1.1360, rec_loss 0.0504, p_loss 0.3986, quant_error 0.3364, utilization 0.0033, perplexity 61.9228,
Train Epoch: [1/30] Iters:[180/468] transplant_loss 1.1182, rec_loss 0.0488, p_loss 0.3920, quant_error 0.3326, utilization 0.0033, perplexity 64.5113,
Train Epoch: [1/30] Iters:[190/468] transplant_loss 1.1147, rec_loss 0.0485, p_loss 0.3883, quant_error 0.3326, utilization 0.0034, perplexity 66.8129,
Train Epoch: [1/30] Iters:[200/468] transplant_loss 1.1073, rec_loss 0.0476, p_loss 0.3843, quant_error 0.3311, utilization 0.0034, perplexity 69.8956,
Train Epoch: [1/30] Iters:[210/468] transplant_loss 1.0980, rec_loss 0.0467, p_loss 0.3798, quant_error 0.3289, utilization 0.0035, perplexity 73.1566,
Train Epoch: [1/30] Iters:[220/468] transplant_loss 1.0892, rec_loss 0.0459, p_loss 0.3742, quant_error 0.3263, utilization 0.0036, perplexity 76.9146,
Train Epoch: [1/30] Iters:[230/468] transplant_loss 1.0798, rec_loss 0.0454, p_loss 0.3681, quant_error 0.3234, utilization 0.0036, perplexity 79.9543,
Train Epoch: [1/30] Iters:[240/468] transplant_loss 1.0683, rec_loss 0.0443, p_loss 0.3626, quant_error 0.3198, utilization 0.0036, perplexity 83.1159,
Train Epoch: [1/30] Iters:[250/468] transplant_loss 1.0592, rec_loss 0.0434, p_loss 0.3574, quant_error 0.3185, utilization 0.0036, perplexity 86.4722,
Train Epoch: [1/30] Iters:[260/468] transplant_loss 1.0495, rec_loss 0.0425, p_loss 0.3520, quant_error 0.3160, utilization 0.0037, perplexity 89.3173,
Train Epoch: [1/30] Iters:[270/468] transplant_loss 1.0420, rec_loss 0.0417, p_loss 0.3482, quant_error 0.3139, utilization 0.0037, perplexity 92.1880,
Train Epoch: [1/30] Iters:[280/468] transplant_loss 1.0408, rec_loss 0.0410, p_loss 0.3460, quant_error 0.3139, utilization 0.0037, perplexity 96.0405,
Train Epoch: [1/30] Iters:[290/468] transplant_loss 1.0300, rec_loss 0.0400, p_loss 0.3409, quant_error 0.3101, utilization 0.0037, perplexity 99.6308,
Train Epoch: [1/30] Iters:[300/468] transplant_loss 1.0239, rec_loss 0.0397, p_loss 0.3362, quant_error 0.3061, utilization 0.0038, perplexity 102.8054,
Train Epoch: [1/30] Iters:[310/468] transplant_loss 1.0164, rec_loss 0.0390, p_loss 0.3315, quant_error 0.3023, utilization 0.0038, perplexity 106.0506,
Train Epoch: [1/30] Iters:[320/468] transplant_loss 1.0109, rec_loss 0.0383, p_loss 0.3278, quant_error 0.3002, utilization 0.0038, perplexity 109.3093,
Train Epoch: [1/30] Iters:[330/468] transplant_loss 0.9989, rec_loss 0.0374, p_loss 0.3230, quant_error 0.2962, utilization 0.0038, perplexity 111.5141,
Train Epoch: [1/30] Iters:[340/468] transplant_loss 0.9958, rec_loss 0.0369, p_loss 0.3200, quant_error 0.2957, utilization 0.0038, perplexity 114.2071,
Train Epoch: [1/30] Iters:[350/468] transplant_loss 0.9914, rec_loss 0.0362, p_loss 0.3171, quant_error 0.2952, utilization 0.0038, perplexity 117.2353,
Train Epoch: [1/30] Iters:[360/468] transplant_loss 0.9862, rec_loss 0.0356, p_loss 0.3141, quant_error 0.2931, utilization 0.0038, perplexity 120.3709,
Train Epoch: [1/30] Iters:[370/468] transplant_loss 0.9824, rec_loss 0.0352, p_loss 0.3109, quant_error 0.2912, utilization 0.0039, perplexity 122.9823,
Train Epoch: [1/30] Iters:[380/468] transplant_loss 0.9834, rec_loss 0.0352, p_loss 0.3089, quant_error 0.2912, utilization 0.0039, perplexity 126.0827,
Train Epoch: [1/30] Iters:[390/468] transplant_loss 0.9783, rec_loss 0.0346, p_loss 0.3059, quant_error 0.2884, utilization 0.0039, perplexity 128.9895,
Train Epoch: [1/30] Iters:[400/468] transplant_loss 0.9745, rec_loss 0.0343, p_loss 0.3029, quant_error 0.2857, utilization 0.0039, perplexity 131.9311,
Train Epoch: [1/30] Iters:[410/468] transplant_loss 0.9730, rec_loss 0.0342, p_loss 0.3004, quant_error 0.2853, utilization 0.0039, perplexity 134.2545,
Train Epoch: [1/30] Iters:[420/468] transplant_loss 0.9701, rec_loss 0.0334, p_loss 0.2983, quant_error 0.2851, utilization 0.0039, perplexity 136.7970,
Train Epoch: [1/30] Iters:[430/468] transplant_loss 0.9698, rec_loss 0.0332, p_loss 0.2968, quant_error 0.2832, utilization 0.0039, perplexity 139.3131,
Train Epoch: [1/30] Iters:[440/468] transplant_loss 0.9691, rec_loss 0.0332, p_loss 0.2951, quant_error 0.2820, utilization 0.0039, perplexity 141.4894,
Train Epoch: [1/30] Iters:[450/468] transplant_loss 0.9655, rec_loss 0.0328, p_loss 0.2936, quant_error 0.2803, utilization 0.0039, perplexity 142.4910,
Train Epoch: [1/30] Iters:[460/468] transplant_loss 0.9659, rec_loss 0.0326, p_loss 0.2926, quant_error 0.2800, utilization 0.0039, perplexity 144.4269,
epoch:2, cur_lr:0.000097
Train Epoch: [2/30] Iters:[10/468] transplant_loss 0.9552, rec_loss 0.0310, p_loss 0.2865, quant_error 0.2772, utilization 0.0039, perplexity 148.8058,
Train Epoch: [2/30] Iters:[20/468] transplant_loss 0.9632, rec_loss 0.0316, p_loss 0.2872, quant_error 0.2792, utilization 0.0040, perplexity 151.8636,
