dataset_dir: /projects/yuanai/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/checkpoint/Transplant/CelebAHQ
results_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/results/Transplant/CelebAHQ
saver_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/saver/Transplant/CelebAHQ
reconstruction_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/reconstruction/Transplant/CelebAHQ
yaml_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/checkpoint/
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: mmd_vq_transplant
saver_name_pre: mmd_vq_transplant_CelebAHQ_model_65536_16_1_loss_1.0_0.2_0.5_0.4
| distributed init (rank 1): env://
| distributed init (rank 0): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 8.8068, rec_loss 0.5963, p_loss 0.7519, quant_error 0.9908, utilization 0.0122, perplexity 383.9285,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 8.0165, rec_loss 0.4259, p_loss 0.7365, quant_error 0.8178, utilization 0.0070, perplexity 206.4001,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 7.3730, rec_loss 0.3281, p_loss 0.7139, quant_error 0.6976, utilization 0.0054, perplexity 148.4141,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 6.6395, rec_loss 0.2702, p_loss 0.6856, quant_error 0.6149, utilization 0.0048, perplexity 121.7767,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 6.0174, rec_loss 0.2304, p_loss 0.6480, quant_error 0.5597, utilization 0.0046, perplexity 108.9862,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 4.9200, rec_loss 0.1226, p_loss 0.5835, quant_error 0.4255, utilization 0.0035, perplexity 47.9219,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 4.1185, rec_loss 0.0812, p_loss 0.5162, quant_error 0.3589, utilization 0.0057, perplexity 64.6363,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 3.5425, rec_loss 0.0628, p_loss 0.4502, quant_error 0.3260, utilization 0.0095, perplexity 96.3109,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 3.3593, rec_loss 0.0505, p_loss 0.3906, quant_error 0.3111, utilization 0.0150, perplexity 156.2854,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 3.4091, rec_loss 0.0420, p_loss 0.3447, quant_error 0.3000, utilization 0.0219, perplexity 258.9567,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 3.5269, rec_loss 0.0357, p_loss 0.3066, quant_error 0.2907, utilization 0.0294, perplexity 414.5770,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 3.6754, rec_loss 0.0308, p_loss 0.2748, quant_error 0.2833, utilization 0.0364, perplexity 623.4214,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 3.8315, rec_loss 0.0275, p_loss 0.2509, quant_error 0.2804, utilization 0.0422, perplexity 876.6961,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 3.9069, rec_loss 0.0249, p_loss 0.2326, quant_error 0.2780, utilization 0.0467, perplexity 1159.1072,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 3.9003, rec_loss 0.0232, p_loss 0.2199, quant_error 0.2769, utilization 0.0503, perplexity 1457.5766,
