dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_transplant
saver_name_pre: online_vq_transplant_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 5.6227, rec_loss 0.3383, p_loss 0.7205, quant_error 0.8432, utilization 0.0139, perplexity 416.6639,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 4.5492, rec_loss 0.2308, p_loss 0.6816, quant_error 0.7489, utilization 0.0091, perplexity 248.4895,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 4.0265, rec_loss 0.1865, p_loss 0.6528, quant_error 0.6672, utilization 0.0074, perplexity 198.4397,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 3.7615, rec_loss 0.1621, p_loss 0.6272, quant_error 0.6207, utilization 0.0066, perplexity 174.3992,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 3.6251, rec_loss 0.1456, p_loss 0.6065, quant_error 0.5906, utilization 0.0061, perplexity 160.1192,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 3.1301, rec_loss 0.0921, p_loss 0.5591, quant_error 0.5152, utilization 0.0041, perplexity 98.7741,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 3.0655, rec_loss 0.0813, p_loss 0.5251, quant_error 0.4717, utilization 0.0040, perplexity 104.4411,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 3.0896, rec_loss 0.0738, p_loss 0.4958, quant_error 0.4534, utilization 0.0039, perplexity 106.2402,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 3.1346, rec_loss 0.0677, p_loss 0.4734, quant_error 0.4400, utilization 0.0039, perplexity 107.3768,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 3.1761, rec_loss 0.0632, p_loss 0.4540, quant_error 0.4285, utilization 0.0039, perplexity 109.0537,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 3.2132, rec_loss 0.0605, p_loss 0.4408, quant_error 0.4151, utilization 0.0039, perplexity 109.4685,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 3.2590, rec_loss 0.0576, p_loss 0.4284, quant_error 0.4086, utilization 0.0039, perplexity 109.9399,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 3.3125, rec_loss 0.0562, p_loss 0.4194, quant_error 0.4061, utilization 0.0040, perplexity 110.8747,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 3.3391, rec_loss 0.0546, p_loss 0.4107, quant_error 0.4004, utilization 0.0040, perplexity 111.4817,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 3.3395, rec_loss 0.0527, p_loss 0.4031, quant_error 0.3943, utilization 0.0041, perplexity 111.0141,
Train Epoch: [1/30] Iters:[160/468] transplant_loss 3.3343, rec_loss 0.0509, p_loss 0.3965, quant_error 0.3913, utilization 0.0044, perplexity 110.8915,
Train Epoch: [1/30] Iters:[170/468] transplant_loss 3.3147, rec_loss 0.0496, p_loss 0.3906, quant_error 0.3868, utilization 0.0048, perplexity 111.9066,
Train Epoch: [1/30] Iters:[180/468] transplant_loss 3.2948, rec_loss 0.0485, p_loss 0.3847, quant_error 0.3815, utilization 0.0049, perplexity 111.5055,
Train Epoch: [1/30] Iters:[190/468] transplant_loss 3.2921, rec_loss 0.0480, p_loss 0.3812, quant_error 0.3807, utilization 0.0056, perplexity 114.5457,
Train Epoch: [1/30] Iters:[200/468] transplant_loss 3.2816, rec_loss 0.0479, p_loss 0.3783, quant_error 0.3784, utilization 0.0062, perplexity 119.9236,
Train Epoch: [1/30] Iters:[210/468] transplant_loss 3.2678, rec_loss 0.0475, p_loss 0.3756, quant_error 0.3757, utilization 0.0065, perplexity 124.0729,
Train Epoch: [1/30] Iters:[220/468] transplant_loss 3.2479, rec_loss 0.0471, p_loss 0.3724, quant_error 0.3716, utilization 0.0065, perplexity 125.8050,
Train Epoch: [1/30] Iters:[230/468] transplant_loss 3.2112, rec_loss 0.0463, p_loss 0.3697, quant_error 0.3679, utilization 0.0068, perplexity 129.4953,
Train Epoch: [1/30] Iters:[240/468] transplant_loss 3.1849, rec_loss 0.0459, p_loss 0.3679, quant_error 0.3651, utilization 0.0067, perplexity 130.5774,
Train Epoch: [1/30] Iters:[250/468] transplant_loss 3.1719, rec_loss 0.0457, p_loss 0.3663, quant_error 0.3643, utilization 0.0064, perplexity 128.0648,
Train Epoch: [1/30] Iters:[260/468] transplant_loss 3.1489, rec_loss 0.0453, p_loss 0.3649, quant_error 0.3618, utilization 0.0064, perplexity 125.3167,
Train Epoch: [1/30] Iters:[270/468] transplant_loss 3.1350, rec_loss 0.0451, p_loss 0.3647, quant_error 0.3607, utilization 0.0066, perplexity 126.6766,
Train Epoch: [1/30] Iters:[280/468] transplant_loss 3.1316, rec_loss 0.0452, p_loss 0.3638, quant_error 0.3604, utilization 0.0068, perplexity 128.3663,
Train Epoch: [1/30] Iters:[290/468] transplant_loss 3.0959, rec_loss 0.0444, p_loss 0.3609, quant_error 0.3562, utilization 0.0070, perplexity 129.2358,
