dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_transplant
saver_name_pre: vanilla_vq_transplant_CelebAHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 7.0888, rec_loss 0.4992, p_loss 0.7558, quant_error 0.9978, utilization 0.0372, perplexity 832.1528,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 8.2141, rec_loss 0.3968, p_loss 0.7270, quant_error 0.7688, utilization 0.0336, perplexity 542.7682,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 17.6419, rec_loss 0.3548, p_loss 0.7066, quant_error 0.6619, utilization 0.0308, perplexity 388.6784,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 38.9703, rec_loss 0.3236, p_loss 0.7026, quant_error 0.6070, utilization 0.0267, perplexity 295.1280,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 73.5139, rec_loss 0.2932, p_loss 0.6979, quant_error 0.5737, utilization 0.0231, perplexity 237.4815,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 121.9941, rec_loss 0.2242, p_loss 0.6780, quant_error 0.4564, utilization 0.0171, perplexity 72.1235,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 149.6975, rec_loss 0.1951, p_loss 0.6687, quant_error 0.4298, utilization 0.0125, perplexity 22.6078,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 156.7351, rec_loss 0.1671, p_loss 0.6635, quant_error 0.4191, utilization 0.0092, perplexity 7.9843,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 152.1389, rec_loss 0.1460, p_loss 0.6537, quant_error 0.4105, utilization 0.0082, perplexity 6.7014,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 138.4787, rec_loss 0.1363, p_loss 0.6466, quant_error 0.4029, utilization 0.0078, perplexity 6.7220,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 118.7294, rec_loss 0.1289, p_loss 0.6392, quant_error 0.3970, utilization 0.0076, perplexity 7.0870,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 110.5836, rec_loss 0.1204, p_loss 0.6286, quant_error 0.3928, utilization 0.0072, perplexity 7.6439,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 116.4236, rec_loss 0.1146, p_loss 0.6161, quant_error 0.3908, utilization 0.0063, perplexity 8.0761,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 116.9908, rec_loss 0.1088, p_loss 0.6013, quant_error 0.3868, utilization 0.0055, perplexity 8.8362,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 103.7975, rec_loss 0.1028, p_loss 0.5852, quant_error 0.3824, utilization 0.0049, perplexity 9.9697,
