dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_transplant
saver_name_pre: vanilla_vq_transplant_CelebAHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 7.8663, rec_loss 0.5839, p_loss 0.7496, quant_error 1.0158, utilization 0.0129, perplexity 395.2659,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 7.1760, rec_loss 0.4495, p_loss 0.7238, quant_error 0.7865, utilization 0.0080, perplexity 221.6092,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 12.6655, rec_loss 0.3984, p_loss 0.7166, quant_error 0.6735, utilization 0.0062, perplexity 152.3823,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 26.3891, rec_loss 0.3716, p_loss 0.7114, quant_error 0.6260, utilization 0.0051, perplexity 116.2808,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 52.2501, rec_loss 0.3510, p_loss 0.7058, quant_error 0.5871, utilization 0.0044, perplexity 94.0792,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 111.8575, rec_loss 0.2730, p_loss 0.6929, quant_error 0.4689, utilization 0.0020, perplexity 15.9402,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 197.7565, rec_loss 0.2439, p_loss 0.6884, quant_error 0.4401, utilization 0.0016, perplexity 7.2197,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 255.8368, rec_loss 0.2147, p_loss 0.6762, quant_error 0.4281, utilization 0.0013, perplexity 5.3078,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 267.8086, rec_loss 0.1842, p_loss 0.6623, quant_error 0.4102, utilization 0.0011, perplexity 4.6287,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 256.5923, rec_loss 0.1570, p_loss 0.6503, quant_error 0.4021, utilization 0.0009, perplexity 4.5111,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 226.8719, rec_loss 0.1451, p_loss 0.6361, quant_error 0.3948, utilization 0.0009, perplexity 4.5186,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 174.1350, rec_loss 0.1359, p_loss 0.6200, quant_error 0.3911, utilization 0.0008, perplexity 4.5781,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 154.4495, rec_loss 0.1307, p_loss 0.6132, quant_error 0.3920, utilization 0.0007, perplexity 4.6658,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 168.2624, rec_loss 0.1270, p_loss 0.6072, quant_error 0.3902, utilization 0.0007, perplexity 4.7715,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 187.2040, rec_loss 0.1231, p_loss 0.5989, quant_error 0.3890, utilization 0.0006, perplexity 4.9037,
