dataset_dir: /project/6105494/shared/data/
dataset_name: CelebAHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/CelebAHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/CelebAHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/CelebAHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/CelebAHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/CelebAHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: CelebAHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: wasserstein_vq_transplant
saver_name_pre: wasserstein_vq_transplant_CelebAHQ_model_256_8_2_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: CelebAHQ
len train_set: 30000
len val_set: 30000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/468] transplant_loss 8.2257, rec_loss 0.4813, p_loss 0.8404, quant_error 0.8740, utilization 0.0425, perplexity 826.4325,
Train Epoch: [1/30] Iters:[20/468] transplant_loss 14.6534, rec_loss 0.3778, p_loss 0.7893, quant_error 0.7475, utilization 0.0348, perplexity 470.0796,
Train Epoch: [1/30] Iters:[30/468] transplant_loss 29.2536, rec_loss 0.3134, p_loss 0.7640, quant_error 0.6705, utilization 0.0275, perplexity 319.8323,
Train Epoch: [1/30] Iters:[40/468] transplant_loss 41.1042, rec_loss 0.2755, p_loss 0.7418, quant_error 0.6148, utilization 0.0229, perplexity 243.2493,
Train Epoch: [1/30] Iters:[50/468] transplant_loss 42.3655, rec_loss 0.2499, p_loss 0.7241, quant_error 0.5741, utilization 0.0201, perplexity 197.7794,
Train Epoch: [1/30] Iters:[60/468] transplant_loss 48.9225, rec_loss 0.1799, p_loss 0.6846, quant_error 0.4775, utilization 0.0131, perplexity 35.8447,
Train Epoch: [1/30] Iters:[70/468] transplant_loss 58.4951, rec_loss 0.1506, p_loss 0.6635, quant_error 0.4328, utilization 0.0090, perplexity 16.0613,
Train Epoch: [1/30] Iters:[80/468] transplant_loss 64.5730, rec_loss 0.1353, p_loss 0.6403, quant_error 0.4041, utilization 0.0075, perplexity 15.5112,
Train Epoch: [1/30] Iters:[90/468] transplant_loss 70.8418, rec_loss 0.1220, p_loss 0.6191, quant_error 0.3913, utilization 0.0065, perplexity 16.9862,
Train Epoch: [1/30] Iters:[100/468] transplant_loss 78.4888, rec_loss 0.1112, p_loss 0.5981, quant_error 0.3863, utilization 0.0056, perplexity 19.2201,
Train Epoch: [1/30] Iters:[110/468] transplant_loss 81.9828, rec_loss 0.1025, p_loss 0.5754, quant_error 0.3837, utilization 0.0047, perplexity 22.1984,
Train Epoch: [1/30] Iters:[120/468] transplant_loss 74.8244, rec_loss 0.0941, p_loss 0.5552, quant_error 0.3814, utilization 0.0043, perplexity 26.2892,
Train Epoch: [1/30] Iters:[130/468] transplant_loss 62.0889, rec_loss 0.0894, p_loss 0.5440, quant_error 0.3837, utilization 0.0043, perplexity 30.5553,
Train Epoch: [1/30] Iters:[140/468] transplant_loss 45.3821, rec_loss 0.0860, p_loss 0.5349, quant_error 0.3817, utilization 0.0045, perplexity 34.0193,
Train Epoch: [1/30] Iters:[150/468] transplant_loss 33.5291, rec_loss 0.0822, p_loss 0.5266, quant_error 0.3784, utilization 0.0049, perplexity 36.8990,
Train Epoch: [1/30] Iters:[160/468] transplant_loss 26.8983, rec_loss 0.0800, p_loss 0.5215, quant_error 0.3772, utilization 0.0055, perplexity 39.7924,
Train Epoch: [1/30] Iters:[170/468] transplant_loss 25.3622, rec_loss 0.0770, p_loss 0.5146, quant_error 0.3737, utilization 0.0060, perplexity 43.0339,
