dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: bsq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_16_2
loss_pre: loss_1.0_0.4
training_pre: bsq_transplant
saver_name_pre: bsq_transplant_FFHQ_model_16_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 2.9049, rec_loss 0.2499, p_loss 0.7576, quant_error 0.8790, utilization 0.0231, perplexity 1022.4874,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 2.4364, rec_loss 0.1959, p_loss 0.7435, quant_error 0.6972, utilization 0.0124, perplexity 519.7506,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 2.1901, rec_loss 0.1671, p_loss 0.7209, quant_error 0.6194, utilization 0.0089, perplexity 352.1961,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 2.0243, rec_loss 0.1484, p_loss 0.6940, quant_error 0.5749, utilization 0.0077, perplexity 271.9961,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 1.9041, rec_loss 0.1350, p_loss 0.6695, quant_error 0.5463, utilization 0.0072, perplexity 228.6640,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 1.5912, rec_loss 0.0998, p_loss 0.6268, quant_error 0.4538, utilization 0.0035, perplexity 36.2761,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 1.4624, rec_loss 0.0861, p_loss 0.5863, quant_error 0.4344, utilization 0.0045, perplexity 50.0711,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 1.3781, rec_loss 0.0776, p_loss 0.5533, quant_error 0.4251, utilization 0.0058, perplexity 71.4769,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 1.3211, rec_loss 0.0724, p_loss 0.5276, quant_error 0.4197, utilization 0.0075, perplexity 104.4986,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 1.2731, rec_loss 0.0684, p_loss 0.5061, quant_error 0.4127, utilization 0.0093, perplexity 139.4524,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 1.2387, rec_loss 0.0660, p_loss 0.4867, quant_error 0.4094, utilization 0.0118, perplexity 189.2413,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 1.1990, rec_loss 0.0625, p_loss 0.4692, quant_error 0.4040, utilization 0.0140, perplexity 238.9541,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 1.1664, rec_loss 0.0603, p_loss 0.4528, quant_error 0.3986, utilization 0.0167, perplexity 300.5168,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 1.1325, rec_loss 0.0577, p_loss 0.4383, quant_error 0.3919, utilization 0.0186, perplexity 362.4892,
