dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_transplant
saver_name_pre: ema_vq_transplant_FFHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 3.5629, rec_loss 0.2720, p_loss 0.6420, quant_error 0.8109, utilization 0.0647, perplexity 1779.5325,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 2.6047, rec_loss 0.1673, p_loss 0.5402, quant_error 0.5894, utilization 0.0861, perplexity 3264.0032,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 2.0909, rec_loss 0.1200, p_loss 0.4400, quant_error 0.4743, utilization 0.1075, perplexity 4894.3167,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 1.7845, rec_loss 0.0943, p_loss 0.3751, quant_error 0.4051, utilization 0.1292, perplexity 6539.7591,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 1.5878, rec_loss 0.0784, p_loss 0.3323, quant_error 0.3598, utilization 0.1443, perplexity 7710.7222,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 1.0279, rec_loss 0.0268, p_loss 0.2350, quant_error 0.2311, utilization 0.1731, perplexity 9890.7888,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 0.8535, rec_loss 0.0173, p_loss 0.1783, quant_error 0.1910, utilization 0.1936, perplexity 11511.5507,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 0.7945, rec_loss 0.0150, p_loss 0.1615, quant_error 0.1751, utilization 0.2058, perplexity 12461.7024,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 0.7753, rec_loss 0.0143, p_loss 0.1562, quant_error 0.1684, utilization 0.2093, perplexity 12763.1991,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 0.7654, rec_loss 0.0141, p_loss 0.1544, quant_error 0.1642, utilization 0.2108, perplexity 12890.1851,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 0.7658, rec_loss 0.0142, p_loss 0.1533, quant_error 0.1628, utilization 0.2117, perplexity 12979.6906,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 0.7616, rec_loss 0.0139, p_loss 0.1519, quant_error 0.1607, utilization 0.2122, perplexity 13020.7546,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 0.7610, rec_loss 0.0139, p_loss 0.1506, quant_error 0.1595, utilization 0.2125, perplexity 13053.4343,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 0.7582, rec_loss 0.0139, p_loss 0.1489, quant_error 0.1579, utilization 0.2127, perplexity 13073.8035,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 0.7571, rec_loss 0.0137, p_loss 0.1476, quant_error 0.1568, utilization 0.2130, perplexity 13095.8055,
Train Epoch: [1/30] Iters:[160/1093] transplant_loss 0.7557, rec_loss 0.0134, p_loss 0.1466, quant_error 0.1559, utilization 0.2130, perplexity 13085.6000,
Train Epoch: [1/30] Iters:[170/1093] transplant_loss 0.7515, rec_loss 0.0130, p_loss 0.1452, quant_error 0.1543, utilization 0.2131, perplexity 13098.1456,
Train Epoch: [1/30] Iters:[180/1093] transplant_loss 0.7459, rec_loss 0.0128, p_loss 0.1441, quant_error 0.1521, utilization 0.2133, perplexity 13111.6272,
Train Epoch: [1/30] Iters:[190/1093] transplant_loss 0.7461, rec_loss 0.0126, p_loss 0.1438, quant_error 0.1510, utilization 0.2135, perplexity 13126.5357,
Train Epoch: [1/30] Iters:[200/1093] transplant_loss 0.7479, rec_loss 0.0125, p_loss 0.1433, quant_error 0.1505, utilization 0.2137, perplexity 13134.4273,
Train Epoch: [1/30] Iters:[210/1093] transplant_loss 0.7498, rec_loss 0.0124, p_loss 0.1437, quant_error 0.1498, utilization 0.2138, perplexity 13156.8367,
Train Epoch: [1/30] Iters:[220/1093] transplant_loss 0.7558, rec_loss 0.0125, p_loss 0.1446, quant_error 0.1498, utilization 0.2139, perplexity 13162.1700,
Train Epoch: [1/30] Iters:[230/1093] transplant_loss 0.7584, rec_loss 0.0124, p_loss 0.1443, quant_error 0.1498, utilization 0.2140, perplexity 13178.4409,
Train Epoch: [1/30] Iters:[240/1093] transplant_loss 0.7645, rec_loss 0.0123, p_loss 0.1446, quant_error 0.1505, utilization 0.2141, perplexity 13191.6517,
Train Epoch: [1/30] Iters:[250/1093] transplant_loss 0.7673, rec_loss 0.0123, p_loss 0.1448, quant_error 0.1504, utilization 0.2141, perplexity 13204.9975,
Train Epoch: [1/30] Iters:[260/1093] transplant_loss 0.7662, rec_loss 0.0123, p_loss 0.1439, quant_error 0.1494, utilization 0.2141, perplexity 13198.5101,
Train Epoch: [1/30] Iters:[270/1093] transplant_loss 0.7696, rec_loss 0.0123, p_loss 0.1436, quant_error 0.1496, utilization 0.2142, perplexity 13212.3754,
Train Epoch: [1/30] Iters:[280/1093] transplant_loss 0.7759, rec_loss 0.0125, p_loss 0.1443, quant_error 0.1502, utilization 0.2143, perplexity 13209.9601,
Train Epoch: [1/30] Iters:[290/1093] transplant_loss 0.7774, rec_loss 0.0124, p_loss 0.1444, quant_error 0.1500, utilization 0.2142, perplexity 13202.9978,
Train Epoch: [1/30] Iters:[300/1093] transplant_loss 0.7801, rec_loss 0.0125, p_loss 0.1441, quant_error 0.1501, utilization 0.2143, perplexity 13206.1832,
Train Epoch: [1/30] Iters:[310/1093] transplant_loss 0.7841, rec_loss 0.0125, p_loss 0.1444, quant_error 0.1504, utilization 0.2144, perplexity 13220.6839,
Train Epoch: [1/30] Iters:[320/1093] transplant_loss 0.7835, rec_loss 0.0125, p_loss 0.1438, quant_error 0.1497, utilization 0.2143, perplexity 13208.8833,
Train Epoch: [1/30] Iters:[330/1093] transplant_loss 0.7817, rec_loss 0.0123, p_loss 0.1431, quant_error 0.1489, utilization 0.2142, perplexity 13194.6887,
Train Epoch: [1/30] Iters:[340/1093] transplant_loss 0.7841, rec_loss 0.0124, p_loss 0.1429, quant_error 0.1490, utilization 0.2142, perplexity 13195.8689,
Train Epoch: [1/30] Iters:[350/1093] transplant_loss 0.7845, rec_loss 0.0123, p_loss 0.1425, quant_error 0.1488, utilization 0.2141, perplexity 13184.1595,
Train Epoch: [1/30] Iters:[360/1093] transplant_loss 0.7865, rec_loss 0.0123, p_loss 0.1423, quant_error 0.1489, utilization 0.2141, perplexity 13183.1765,
