dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_transplant
saver_name_pre: ema_vq_transplant_FFHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 3.1772, rec_loss 0.2819, p_loss 0.6779, quant_error 0.7556, utilization 0.0495, perplexity 1198.6160,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 2.3459, rec_loss 0.1730, p_loss 0.5849, quant_error 0.5906, utilization 0.0557, perplexity 1731.3141,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 1.8897, rec_loss 0.1258, p_loss 0.4858, quant_error 0.4879, utilization 0.0640, perplexity 2410.4724,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 1.6219, rec_loss 0.0999, p_loss 0.4197, quant_error 0.4262, utilization 0.0706, perplexity 2941.0996,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 1.4494, rec_loss 0.0838, p_loss 0.3739, quant_error 0.3858, utilization 0.0759, perplexity 3358.1587,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 0.9583, rec_loss 0.0310, p_loss 0.2744, quant_error 0.2768, utilization 0.0859, perplexity 4165.9578,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 0.8003, rec_loss 0.0218, p_loss 0.2117, quant_error 0.2334, utilization 0.0939, perplexity 4786.1534,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 0.7507, rec_loss 0.0191, p_loss 0.1899, quant_error 0.2185, utilization 0.0982, perplexity 5116.5732,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 0.7319, rec_loss 0.0182, p_loss 0.1802, quant_error 0.2117, utilization 0.1009, perplexity 5313.8667,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 0.7205, rec_loss 0.0176, p_loss 0.1765, quant_error 0.2063, utilization 0.1023, perplexity 5418.9247,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 0.7189, rec_loss 0.0174, p_loss 0.1748, quant_error 0.2037, utilization 0.1034, perplexity 5494.0936,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 0.7153, rec_loss 0.0170, p_loss 0.1732, quant_error 0.2008, utilization 0.1040, perplexity 5532.0787,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 0.7125, rec_loss 0.0168, p_loss 0.1712, quant_error 0.1982, utilization 0.1046, perplexity 5566.9133,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 0.7081, rec_loss 0.0166, p_loss 0.1692, quant_error 0.1950, utilization 0.1048, perplexity 5580.2875,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 0.7062, rec_loss 0.0164, p_loss 0.1672, quant_error 0.1928, utilization 0.1051, perplexity 5598.4979,
Train Epoch: [1/30] Iters:[160/1093] transplant_loss 0.7079, rec_loss 0.0164, p_loss 0.1664, quant_error 0.1915, utilization 0.1053, perplexity 5607.6723,
Train Epoch: [1/30] Iters:[170/1093] transplant_loss 0.7056, rec_loss 0.0162, p_loss 0.1650, quant_error 0.1894, utilization 0.1055, perplexity 5622.9788,
