dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: fsq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_8_4
loss_pre: loss_1.0_0.4
training_pre: fsq_transplant
saver_name_pre: fsq_transplant_FFHQ_model_8_4_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 3.8918, rec_loss 0.4098, p_loss 0.7578, quant_error 1.0849, utilization 0.0099, perplexity 127.3319,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 2.9627, rec_loss 0.2813, p_loss 0.7255, quant_error 0.8305, utilization 0.0076, perplexity 100.1352,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 2.5302, rec_loss 0.2235, p_loss 0.7053, quant_error 0.7074, utilization 0.0072, perplexity 95.3950,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 2.2625, rec_loss 0.1891, p_loss 0.6775, quant_error 0.6397, utilization 0.0077, perplexity 110.5990,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 2.0827, rec_loss 0.1668, p_loss 0.6512, quant_error 0.5977, utilization 0.0086, perplexity 133.9932,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 1.5573, rec_loss 0.0984, p_loss 0.6021, quant_error 0.4633, utilization 0.0097, perplexity 172.2364,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 1.3958, rec_loss 0.0809, p_loss 0.5613, quant_error 0.4302, utilization 0.0123, perplexity 236.6871,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 1.3021, rec_loss 0.0716, p_loss 0.5237, quant_error 0.4203, utilization 0.0154, perplexity 324.8295,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 1.2415, rec_loss 0.0662, p_loss 0.4960, quant_error 0.4145, utilization 0.0191, perplexity 435.0486,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 1.1897, rec_loss 0.0617, p_loss 0.4751, quant_error 0.4061, utilization 0.0233, perplexity 585.3751,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 1.1506, rec_loss 0.0584, p_loss 0.4570, quant_error 0.4014, utilization 0.0286, perplexity 790.9262,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 1.1107, rec_loss 0.0551, p_loss 0.4408, quant_error 0.3944, utilization 0.0350, perplexity 1071.1438,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 1.0771, rec_loss 0.0525, p_loss 0.4265, quant_error 0.3879, utilization 0.0422, perplexity 1402.6726,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 1.0394, rec_loss 0.0498, p_loss 0.4116, quant_error 0.3787, utilization 0.0499, perplexity 1769.4058,
