dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: lfq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_16_2
loss_pre: loss_1.0_0.4
training_pre: lfq_transplant
saver_name_pre: lfq_transplant_FFHQ_model_16_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 4.0461, rec_loss 0.3944, p_loss 0.7521, quant_error 0.9170, utilization 0.0230, perplexity 1020.4497,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 3.1130, rec_loss 0.2675, p_loss 0.7201, quant_error 0.7188, utilization 0.0132, perplexity 525.5256,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 2.7147, rec_loss 0.2144, p_loss 0.7025, quant_error 0.6348, utilization 0.0100, perplexity 359.4162,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 2.4552, rec_loss 0.1829, p_loss 0.6756, quant_error 0.5844, utilization 0.0082, perplexity 276.5275,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 2.2772, rec_loss 0.1626, p_loss 0.6512, quant_error 0.5525, utilization 0.0069, perplexity 226.7448,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 1.7607, rec_loss 0.0980, p_loss 0.6067, quant_error 0.4521, utilization 0.0027, perplexity 27.7281,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 1.6126, rec_loss 0.0842, p_loss 0.5717, quant_error 0.4311, utilization 0.0023, perplexity 26.9569,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 1.5083, rec_loss 0.0758, p_loss 0.5374, quant_error 0.4212, utilization 0.0019, perplexity 26.9190,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 1.4468, rec_loss 0.0712, p_loss 0.5150, quant_error 0.4173, utilization 0.0016, perplexity 27.1095,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 1.3986, rec_loss 0.0673, p_loss 0.4982, quant_error 0.4123, utilization 0.0015, perplexity 27.4084,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 1.3680, rec_loss 0.0652, p_loss 0.4832, quant_error 0.4101, utilization 0.0015, perplexity 28.6727,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 1.3384, rec_loss 0.0627, p_loss 0.4709, quant_error 0.4063, utilization 0.0015, perplexity 29.8921,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 1.3173, rec_loss 0.0611, p_loss 0.4606, quant_error 0.4028, utilization 0.0016, perplexity 31.7949,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 1.2926, rec_loss 0.0592, p_loss 0.4497, quant_error 0.3979, utilization 0.0016, perplexity 33.4417,
