dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: mmd_vq_transplant
saver_name_pre: mmd_vq_transplant_FFHQ_model_256_8_2_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 6.6879, rec_loss 0.4439, p_loss 0.7661, quant_error 0.9970, utilization 0.0318, perplexity 783.5639,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 7.5186, rec_loss 0.3562, p_loss 0.7395, quant_error 0.8077, utilization 0.0219, perplexity 438.1965,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 13.5283, rec_loss 0.3062, p_loss 0.7244, quant_error 0.7073, utilization 0.0183, perplexity 302.9019,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 24.4249, rec_loss 0.2688, p_loss 0.7137, quant_error 0.6533, utilization 0.0153, perplexity 229.3960,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 33.1977, rec_loss 0.2455, p_loss 0.7061, quant_error 0.6175, utilization 0.0132, perplexity 184.7700,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 41.8173, rec_loss 0.1837, p_loss 0.6857, quant_error 0.5065, utilization 0.0077, perplexity 29.3715,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 53.1763, rec_loss 0.1568, p_loss 0.6743, quant_error 0.4725, utilization 0.0059, perplexity 12.1532,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 69.3557, rec_loss 0.1420, p_loss 0.6702, quant_error 0.4612, utilization 0.0043, perplexity 6.9149,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 80.3103, rec_loss 0.1354, p_loss 0.6649, quant_error 0.4541, utilization 0.0034, perplexity 6.4731,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 87.5940, rec_loss 0.1267, p_loss 0.6525, quant_error 0.4455, utilization 0.0029, perplexity 6.9082,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 98.7099, rec_loss 0.1197, p_loss 0.6394, quant_error 0.4449, utilization 0.0025, perplexity 7.6437,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 100.3856, rec_loss 0.1119, p_loss 0.6255, quant_error 0.4418, utilization 0.0022, perplexity 8.8476,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 88.3156, rec_loss 0.1037, p_loss 0.6051, quant_error 0.4398, utilization 0.0020, perplexity 10.5894,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 74.6901, rec_loss 0.0958, p_loss 0.5837, quant_error 0.4337, utilization 0.0019, perplexity 12.6215,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 64.7123, rec_loss 0.0895, p_loss 0.5692, quant_error 0.4305, utilization 0.0019, perplexity 14.5641,
Train Epoch: [1/30] Iters:[160/1093] transplant_loss 53.7158, rec_loss 0.0850, p_loss 0.5570, quant_error 0.4282, utilization 0.0020, perplexity 16.5696,
Train Epoch: [1/30] Iters:[170/1093] transplant_loss 47.3535, rec_loss 0.0809, p_loss 0.5449, quant_error 0.4235, utilization 0.0020, perplexity 18.6124,
Train Epoch: [1/30] Iters:[180/1093] transplant_loss 44.2455, rec_loss 0.0760, p_loss 0.5323, quant_error 0.4163, utilization 0.0021, perplexity 20.9323,
Train Epoch: [1/30] Iters:[190/1093] transplant_loss 40.3340, rec_loss 0.0726, p_loss 0.5241, quant_error 0.4139, utilization 0.0022, perplexity 23.3532,
Train Epoch: [1/30] Iters:[200/1093] transplant_loss 34.1516, rec_loss 0.0704, p_loss 0.5171, quant_error 0.4138, utilization 0.0024, perplexity 26.0485,
Train Epoch: [1/30] Iters:[210/1093] transplant_loss 28.6862, rec_loss 0.0685, p_loss 0.5101, quant_error 0.4109, utilization 0.0025, perplexity 28.5871,
Train Epoch: [1/30] Iters:[220/1093] transplant_loss 24.6567, rec_loss 0.0663, p_loss 0.5028, quant_error 0.4102, utilization 0.0025, perplexity 30.9524,
Train Epoch: [1/30] Iters:[230/1093] transplant_loss 22.4784, rec_loss 0.0655, p_loss 0.4983, quant_error 0.4096, utilization 0.0026, perplexity 33.2797,
Train Epoch: [1/30] Iters:[240/1093] transplant_loss 21.5912, rec_loss 0.0647, p_loss 0.4936, quant_error 0.4094, utilization 0.0027, perplexity 35.6877,
Train Epoch: [1/30] Iters:[250/1093] transplant_loss 20.2114, rec_loss 0.0632, p_loss 0.4868, quant_error 0.4069, utilization 0.0028, perplexity 38.0989,
Train Epoch: [1/30] Iters:[260/1093] transplant_loss 18.5151, rec_loss 0.0612, p_loss 0.4786, quant_error 0.4035, utilization 0.0029, perplexity 40.9757,
Train Epoch: [1/30] Iters:[270/1093] transplant_loss 16.9601, rec_loss 0.0606, p_loss 0.4723, quant_error 0.4016, utilization 0.0030, perplexity 44.0987,
Train Epoch: [1/30] Iters:[280/1093] transplant_loss 15.7270, rec_loss 0.0595, p_loss 0.4654, quant_error 0.3992, utilization 0.0031, perplexity 47.2953,
Train Epoch: [1/30] Iters:[290/1093] transplant_loss 14.2985, rec_loss 0.0581, p_loss 0.4588, quant_error 0.3969, utilization 0.0032, perplexity 50.6671,
Train Epoch: [1/30] Iters:[300/1093] transplant_loss 13.2599, rec_loss 0.0577, p_loss 0.4535, quant_error 0.3947, utilization 0.0033, perplexity 54.3127,
Train Epoch: [1/30] Iters:[310/1093] transplant_loss 12.5390, rec_loss 0.0569, p_loss 0.4484, quant_error 0.3928, utilization 0.0034, perplexity 57.9031,
Train Epoch: [1/30] Iters:[320/1093] transplant_loss 12.0501, rec_loss 0.0559, p_loss 0.4448, quant_error 0.3901, utilization 0.0034, perplexity 61.7845,
Train Epoch: [1/30] Iters:[330/1093] transplant_loss 11.5728, rec_loss 0.0551, p_loss 0.4401, quant_error 0.3874, utilization 0.0035, perplexity 65.6179,
Train Epoch: [1/30] Iters:[340/1093] transplant_loss 11.3608, rec_loss 0.0552, p_loss 0.4362, quant_error 0.3850, utilization 0.0036, perplexity 69.6584,
Train Epoch: [1/30] Iters:[350/1093] transplant_loss 11.2922, rec_loss 0.0545, p_loss 0.4317, quant_error 0.3828, utilization 0.0037, perplexity 73.4531,
