dataset_dir: /projects/yuanai/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/checkpoint/Transplant/FFHQ
results_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/results/Transplant/FFHQ
saver_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/saver/Transplant/FFHQ
reconstruction_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/reconstruction/Transplant/FFHQ
yaml_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/yaml/Transplant/FFHQ
pretrained_tokenizer: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/checkpoint/
data_pre: FFHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: mmd_vq_transplant
saver_name_pre: mmd_vq_transplant_FFHQ_model_65536_16_1_loss_1.0_0.2_0.5_0.4
| distributed init (rank 1): env://
| distributed init (rank 0): env://
loaded pretrained LPIPS loss from /projects/yuanai/projects/Rate-Distortion-Perspective/VAR-Transplant-MMD/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 8.4765, rec_loss 0.5484, p_loss 0.7625, quant_error 1.0060, utilization 0.0128, perplexity 395.2617,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 7.5202, rec_loss 0.3988, p_loss 0.7441, quant_error 0.8407, utilization 0.0075, perplexity 215.3492,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 6.7897, rec_loss 0.3119, p_loss 0.7263, quant_error 0.7199, utilization 0.0059, perplexity 158.1938,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 6.0950, rec_loss 0.2572, p_loss 0.6960, quant_error 0.6429, utilization 0.0053, perplexity 131.5925,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 5.5794, rec_loss 0.2203, p_loss 0.6574, quant_error 0.5906, utilization 0.0052, perplexity 117.9262,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 4.5701, rec_loss 0.1217, p_loss 0.5917, quant_error 0.4602, utilization 0.0042, perplexity 56.6021,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 3.9610, rec_loss 0.0816, p_loss 0.5240, quant_error 0.3942, utilization 0.0065, perplexity 77.8638,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 3.6699, rec_loss 0.0625, p_loss 0.4540, quant_error 0.3653, utilization 0.0105, perplexity 115.4445,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 3.7054, rec_loss 0.0515, p_loss 0.3930, quant_error 0.3494, utilization 0.0156, perplexity 177.7360,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 3.8393, rec_loss 0.0435, p_loss 0.3453, quant_error 0.3358, utilization 0.0219, perplexity 278.8583,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 4.0035, rec_loss 0.0381, p_loss 0.3082, quant_error 0.3282, utilization 0.0286, perplexity 420.3365,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 4.1515, rec_loss 0.0338, p_loss 0.2782, quant_error 0.3221, utilization 0.0347, perplexity 604.6703,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 4.2389, rec_loss 0.0305, p_loss 0.2564, quant_error 0.3193, utilization 0.0398, perplexity 828.4199,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 4.2401, rec_loss 0.0279, p_loss 0.2405, quant_error 0.3156, utilization 0.0441, perplexity 1085.1852,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 4.2195, rec_loss 0.0261, p_loss 0.2313, quant_error 0.3130, utilization 0.0475, perplexity 1346.0447,
Train Epoch: [1/30] Iters:[160/1093] transplant_loss 4.1604, rec_loss 0.0251, p_loss 0.2240, quant_error 0.3073, utilization 0.0506, perplexity 1605.3041,
Train Epoch: [1/30] Iters:[170/1093] transplant_loss 4.0613, rec_loss 0.0243, p_loss 0.2182, quant_error 0.2982, utilization 0.0534, perplexity 1850.9893,
Train Epoch: [1/30] Iters:[180/1093] transplant_loss 3.9230, rec_loss 0.0235, p_loss 0.2130, quant_error 0.2861, utilization 0.0564, perplexity 2089.8696,
Train Epoch: [1/30] Iters:[190/1093] transplant_loss 3.7861, rec_loss 0.0231, p_loss 0.2094, quant_error 0.2746, utilization 0.0598, perplexity 2326.6881,
Train Epoch: [1/30] Iters:[200/1093] transplant_loss 3.6475, rec_loss 0.0226, p_loss 0.2056, quant_error 0.2647, utilization 0.0641, perplexity 2587.5059,
Train Epoch: [1/30] Iters:[210/1093] transplant_loss 3.5029, rec_loss 0.0218, p_loss 0.2017, quant_error 0.2557, utilization 0.0696, perplexity 2899.9921,
Train Epoch: [1/30] Iters:[220/1093] transplant_loss 3.3666, rec_loss 0.0213, p_loss 0.1986, quant_error 0.2486, utilization 0.0769, perplexity 3294.9462,
Train Epoch: [1/30] Iters:[230/1093] transplant_loss 3.2193, rec_loss 0.0206, p_loss 0.1944, quant_error 0.2414, utilization 0.0859, perplexity 3775.7301,
Train Epoch: [1/30] Iters:[240/1093] transplant_loss 3.0777, rec_loss 0.0202, p_loss 0.1911, quant_error 0.2350, utilization 0.0965, perplexity 4352.7424,
Train Epoch: [1/30] Iters:[250/1093] transplant_loss 2.9274, rec_loss 0.0198, p_loss 0.1877, quant_error 0.2279, utilization 0.1083, perplexity 5009.6147,
Train Epoch: [1/30] Iters:[260/1093] transplant_loss 2.7778, rec_loss 0.0194, p_loss 0.1845, quant_error 0.2209, utilization 0.1206, perplexity 5736.6501,
Train Epoch: [1/30] Iters:[270/1093] transplant_loss 2.6414, rec_loss 0.0191, p_loss 0.1806, quant_error 0.2153, utilization 0.1328, perplexity 6501.7946,
Train Epoch: [1/30] Iters:[280/1093] transplant_loss 2.5245, rec_loss 0.0189, p_loss 0.1785, quant_error 0.2109, utilization 0.1444, perplexity 7267.8848,
Train Epoch: [1/30] Iters:[290/1093] transplant_loss 2.4150, rec_loss 0.0183, p_loss 0.1764, quant_error 0.2068, utilization 0.1545, perplexity 7972.1752,
Train Epoch: [1/30] Iters:[300/1093] transplant_loss 2.3152, rec_loss 0.0180, p_loss 0.1740, quant_error 0.2029, utilization 0.1633, perplexity 8639.0701,
Train Epoch: [1/30] Iters:[310/1093] transplant_loss 2.2274, rec_loss 0.0177, p_loss 0.1716, quant_error 0.1995, utilization 0.1708, perplexity 9232.4247,
Train Epoch: [1/30] Iters:[320/1093] transplant_loss 2.1456, rec_loss 0.0173, p_loss 0.1700, quant_error 0.1959, utilization 0.1766, perplexity 9718.0813,
Train Epoch: [1/30] Iters:[330/1093] transplant_loss 2.0709, rec_loss 0.0167, p_loss 0.1679, quant_error 0.1924, utilization 0.1814, perplexity 10127.9353,
Train Epoch: [1/30] Iters:[340/1093] transplant_loss 2.0089, rec_loss 0.0165, p_loss 0.1659, quant_error 0.1895, utilization 0.1854, perplexity 10492.3190,
Train Epoch: [1/30] Iters:[350/1093] transplant_loss 1.9617, rec_loss 0.0162, p_loss 0.1642, quant_error 0.1872, utilization 0.1887, perplexity 10785.2839,
Train Epoch: [1/30] Iters:[360/1093] transplant_loss 1.9234, rec_loss 0.0160, p_loss 0.1637, quant_error 0.1858, utilization 0.1913, perplexity 11024.5826,
Train Epoch: [1/30] Iters:[370/1093] transplant_loss 1.8946, rec_loss 0.0160, p_loss 0.1633, quant_error 0.1850, utilization 0.1936, perplexity 11240.5315,
Train Epoch: [1/30] Iters:[380/1093] transplant_loss 1.8692, rec_loss 0.0161, p_loss 0.1631, quant_error 0.1843, utilization 0.1954, perplexity 11418.6815,
Train Epoch: [1/30] Iters:[390/1093] transplant_loss 1.8272, rec_loss 0.0158, p_loss 0.1620, quant_error 0.1818, utilization 0.1970, perplexity 11564.9206,
Train Epoch: [1/30] Iters:[400/1093] transplant_loss 1.7992, rec_loss 0.0159, p_loss 0.1617, quant_error 0.1812, utilization 0.1983, perplexity 11698.3146,
Train Epoch: [1/30] Iters:[410/1093] transplant_loss 1.7685, rec_loss 0.0160, p_loss 0.1610, quant_error 0.1796, utilization 0.1996, perplexity 11821.5734,
Train Epoch: [1/30] Iters:[420/1093] transplant_loss 1.7404, rec_loss 0.0159, p_loss 0.1608, quant_error 0.1781, utilization 0.2006, perplexity 11922.0071,
Train Epoch: [1/30] Iters:[430/1093] transplant_loss 1.7265, rec_loss 0.0159, p_loss 0.1600, quant_error 0.1782, utilization 0.2017, perplexity 12027.2268,
Train Epoch: [1/30] Iters:[440/1093] transplant_loss 1.7246, rec_loss 0.0158, p_loss 0.1596, quant_error 0.1784, utilization 0.2026, perplexity 12108.9175,
Train Epoch: [1/30] Iters:[450/1093] transplant_loss 1.7003, rec_loss 0.0156, p_loss 0.1584, quant_error 0.1759, utilization 0.2034, perplexity 12194.7330,
Train Epoch: [1/30] Iters:[460/1093] transplant_loss 1.6844, rec_loss 0.0154, p_loss 0.1579, quant_error 0.1750, utilization 0.2041, perplexity 12254.1767,
Train Epoch: [1/30] Iters:[470/1093] transplant_loss 1.6686, rec_loss 0.0153, p_loss 0.1572, quant_error 0.1747, utilization 0.2048, perplexity 12320.7941,
