dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_transplant
saver_name_pre: online_vq_transplant_FFHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 5.1846, rec_loss 0.3239, p_loss 0.7295, quant_error 1.1158, utilization 0.0387, perplexity 981.8523,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 4.1563, rec_loss 0.2273, p_loss 0.6717, quant_error 0.8945, utilization 0.0360, perplexity 753.4065,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 3.4982, rec_loss 0.1723, p_loss 0.6008, quant_error 0.7382, utilization 0.0382, perplexity 788.6957,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 3.1431, rec_loss 0.1420, p_loss 0.5470, quant_error 0.6551, utilization 0.0422, perplexity 949.9821,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 2.9108, rec_loss 0.1224, p_loss 0.5042, quant_error 0.6015, utilization 0.0467, perplexity 1157.1674,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 2.2428, rec_loss 0.0646, p_loss 0.4175, quant_error 0.4495, utilization 0.0537, perplexity 1433.8895,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 1.9834, rec_loss 0.0447, p_loss 0.3504, quant_error 0.3844, utilization 0.0635, perplexity 1929.1169,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 1.9009, rec_loss 0.0378, p_loss 0.3102, quant_error 0.3655, utilization 0.0728, perplexity 2456.8897,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 1.8275, rec_loss 0.0328, p_loss 0.2813, quant_error 0.3468, utilization 0.0810, perplexity 2945.8649,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 1.7599, rec_loss 0.0291, p_loss 0.2613, quant_error 0.3266, utilization 0.0885, perplexity 3438.4761,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 1.7126, rec_loss 0.0267, p_loss 0.2466, quant_error 0.3106, utilization 0.0949, perplexity 3898.2256,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 1.6555, rec_loss 0.0246, p_loss 0.2339, quant_error 0.2931, utilization 0.0997, perplexity 4245.3293,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 1.6121, rec_loss 0.0232, p_loss 0.2250, quant_error 0.2784, utilization 0.1031, perplexity 4499.8686,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 1.5744, rec_loss 0.0220, p_loss 0.2187, quant_error 0.2655, utilization 0.1052, perplexity 4673.6907,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 1.5484, rec_loss 0.0209, p_loss 0.2127, quant_error 0.2563, utilization 0.1060, perplexity 4746.6368,
Train Epoch: [1/30] Iters:[160/1093] transplant_loss 1.5380, rec_loss 0.0206, p_loss 0.2091, quant_error 0.2502, utilization 0.1063, perplexity 4781.5197,
Train Epoch: [1/30] Iters:[170/1093] transplant_loss 1.5307, rec_loss 0.0202, p_loss 0.2064, quant_error 0.2450, utilization 0.1064, perplexity 4803.7824,
Train Epoch: [1/30] Iters:[180/1093] transplant_loss 1.5207, rec_loss 0.0199, p_loss 0.2041, quant_error 0.2397, utilization 0.1065, perplexity 4823.6510,
Train Epoch: [1/30] Iters:[190/1093] transplant_loss 1.5207, rec_loss 0.0201, p_loss 0.2021, quant_error 0.2370, utilization 0.1070, perplexity 4863.1550,
Train Epoch: [1/30] Iters:[200/1093] transplant_loss 1.5211, rec_loss 0.0200, p_loss 0.2007, quant_error 0.2353, utilization 0.1073, perplexity 4888.5416,
Train Epoch: [1/30] Iters:[210/1093] transplant_loss 1.5141, rec_loss 0.0196, p_loss 0.1995, quant_error 0.2329, utilization 0.1075, perplexity 4915.1220,
Train Epoch: [1/30] Iters:[220/1093] transplant_loss 1.5132, rec_loss 0.0196, p_loss 0.1988, quant_error 0.2320, utilization 0.1077, perplexity 4936.7288,
Train Epoch: [1/30] Iters:[230/1093] transplant_loss 1.5104, rec_loss 0.0193, p_loss 0.1975, quant_error 0.2311, utilization 0.1081, perplexity 4967.5467,
Train Epoch: [1/30] Iters:[240/1093] transplant_loss 1.5090, rec_loss 0.0190, p_loss 0.1975, quant_error 0.2306, utilization 0.1082, perplexity 4985.9535,
Train Epoch: [1/30] Iters:[250/1093] transplant_loss 1.5056, rec_loss 0.0189, p_loss 0.1976, quant_error 0.2299, utilization 0.1084, perplexity 5003.5087,
Train Epoch: [1/30] Iters:[260/1093] transplant_loss 1.4972, rec_loss 0.0187, p_loss 0.1966, quant_error 0.2286, utilization 0.1086, perplexity 5014.3655,
Train Epoch: [1/30] Iters:[270/1093] transplant_loss 1.4939, rec_loss 0.0185, p_loss 0.1961, quant_error 0.2281, utilization 0.1087, perplexity 5025.7763,
Train Epoch: [1/30] Iters:[280/1093] transplant_loss 1.4917, rec_loss 0.0185, p_loss 0.1962, quant_error 0.2277, utilization 0.1088, perplexity 5034.0898,
