dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_transplant
saver_name_pre: vanilla_vq_transplant_FFHQ_model_256_8_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 6.9321, rec_loss 0.4454, p_loss 0.7668, quant_error 1.0087, utilization 0.0388, perplexity 877.1668,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 7.9775, rec_loss 0.3604, p_loss 0.7346, quant_error 0.8059, utilization 0.0392, perplexity 648.5736,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 17.9323, rec_loss 0.3233, p_loss 0.7202, quant_error 0.7033, utilization 0.0356, perplexity 464.0188,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 40.4016, rec_loss 0.2908, p_loss 0.7143, quant_error 0.6519, utilization 0.0305, perplexity 351.7416,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 73.5092, rec_loss 0.2664, p_loss 0.7087, quant_error 0.6176, utilization 0.0264, perplexity 282.8022,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 119.2794, rec_loss 0.2079, p_loss 0.6892, quant_error 0.5072, utilization 0.0203, perplexity 108.5135,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 145.5663, rec_loss 0.1837, p_loss 0.6825, quant_error 0.4796, utilization 0.0141, perplexity 25.7136,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 152.9871, rec_loss 0.1644, p_loss 0.6812, quant_error 0.4734, utilization 0.0105, perplexity 8.1593,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 144.4013, rec_loss 0.1554, p_loss 0.6795, quant_error 0.4679, utilization 0.0096, perplexity 6.7392,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 119.1828, rec_loss 0.1496, p_loss 0.6768, quant_error 0.4603, utilization 0.0096, perplexity 6.8857,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 93.3820, rec_loss 0.1462, p_loss 0.6784, quant_error 0.4587, utilization 0.0096, perplexity 7.3284,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 94.2930, rec_loss 0.1419, p_loss 0.6766, quant_error 0.4534, utilization 0.0093, perplexity 7.7597,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 108.7336, rec_loss 0.1356, p_loss 0.6675, quant_error 0.4494, utilization 0.0085, perplexity 8.3538,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 120.3355, rec_loss 0.1285, p_loss 0.6511, quant_error 0.4428, utilization 0.0076, perplexity 9.3022,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 126.6906, rec_loss 0.1226, p_loss 0.6345, quant_error 0.4396, utilization 0.0069, perplexity 11.0812,
