dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_transplant
saver_name_pre: vanilla_vq_transplant_FFHQ_model_65536_16_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 7.5734, rec_loss 0.5407, p_loss 0.7588, quant_error 1.0216, utilization 0.0134, perplexity 413.5106,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 6.8697, rec_loss 0.4142, p_loss 0.7365, quant_error 0.7848, utilization 0.0086, perplexity 241.3628,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 12.9153, rec_loss 0.3666, p_loss 0.7235, quant_error 0.6866, utilization 0.0067, perplexity 167.4529,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 28.4239, rec_loss 0.3387, p_loss 0.7158, quant_error 0.6371, utilization 0.0056, perplexity 127.9486,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 56.7892, rec_loss 0.3177, p_loss 0.7118, quant_error 0.6069, utilization 0.0049, perplexity 103.4976,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 119.5848, rec_loss 0.2444, p_loss 0.6976, quant_error 0.4998, utilization 0.0025, perplexity 21.7158,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 206.0290, rec_loss 0.2197, p_loss 0.6889, quant_error 0.4873, utilization 0.0020, perplexity 8.7526,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 278.2660, rec_loss 0.1973, p_loss 0.6844, quant_error 0.4858, utilization 0.0016, perplexity 5.7049,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 296.9957, rec_loss 0.1777, p_loss 0.6856, quant_error 0.4832, utilization 0.0013, perplexity 4.7372,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 279.7810, rec_loss 0.1601, p_loss 0.6839, quant_error 0.4778, utilization 0.0012, perplexity 4.5536,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 233.3785, rec_loss 0.1533, p_loss 0.6781, quant_error 0.4722, utilization 0.0011, perplexity 4.5850,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 170.2730, rec_loss 0.1473, p_loss 0.6749, quant_error 0.4629, utilization 0.0011, perplexity 4.6429,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 135.0436, rec_loss 0.1423, p_loss 0.6759, quant_error 0.4567, utilization 0.0010, perplexity 4.7200,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 144.3002, rec_loss 0.1372, p_loss 0.6695, quant_error 0.4505, utilization 0.0009, perplexity 4.8101,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 161.4268, rec_loss 0.1326, p_loss 0.6625, quant_error 0.4480, utilization 0.0008, perplexity 4.9463,
Train Epoch: [1/30] Iters:[160/1093] transplant_loss 172.3467, rec_loss 0.1292, p_loss 0.6556, quant_error 0.4465, utilization 0.0007, perplexity 5.1185,
Train Epoch: [1/30] Iters:[170/1093] transplant_loss 183.6518, rec_loss 0.1253, p_loss 0.6463, quant_error 0.4444, utilization 0.0007, perplexity 5.3198,
Train Epoch: [1/30] Iters:[180/1093] transplant_loss 177.1472, rec_loss 0.1199, p_loss 0.6294, quant_error 0.4394, utilization 0.0006, perplexity 5.5582,
Train Epoch: [1/30] Iters:[190/1093] transplant_loss 160.1909, rec_loss 0.1160, p_loss 0.6145, quant_error 0.4375, utilization 0.0006, perplexity 5.7079,
Train Epoch: [1/30] Iters:[200/1093] transplant_loss 160.6069, rec_loss 0.1136, p_loss 0.6012, quant_error 0.4359, utilization 0.0006, perplexity 5.7829,
Train Epoch: [1/30] Iters:[210/1093] transplant_loss 168.7281, rec_loss 0.1113, p_loss 0.5943, quant_error 0.4330, utilization 0.0006, perplexity 5.8226,
Train Epoch: [1/30] Iters:[220/1093] transplant_loss 171.7279, rec_loss 0.1104, p_loss 0.5908, quant_error 0.4345, utilization 0.0005, perplexity 5.9225,
Train Epoch: [1/30] Iters:[230/1093] transplant_loss 160.1916, rec_loss 0.1135, p_loss 0.5895, quant_error 0.4362, utilization 0.0005, perplexity 5.8863,
Train Epoch: [1/30] Iters:[240/1093] transplant_loss 166.6681, rec_loss 0.1123, p_loss 0.5874, quant_error 0.4390, utilization 0.0005, perplexity 6.0192,
Train Epoch: [1/30] Iters:[250/1093] transplant_loss 155.4486, rec_loss 0.1110, p_loss 0.5859, quant_error 0.4380, utilization 0.0005, perplexity 6.2222,
Train Epoch: [1/30] Iters:[260/1093] transplant_loss 139.6688, rec_loss 0.1087, p_loss 0.5810, quant_error 0.4369, utilization 0.0005, perplexity 6.4385,
Train Epoch: [1/30] Iters:[270/1093] transplant_loss 116.0628, rec_loss 0.1082, p_loss 0.5753, quant_error 0.4376, utilization 0.0005, perplexity 6.4748,
Train Epoch: [1/30] Iters:[280/1093] transplant_loss 104.7084, rec_loss 0.1037, p_loss 0.5720, quant_error 0.4379, utilization 0.0005, perplexity 6.7048,
Train Epoch: [1/30] Iters:[290/1093] transplant_loss 84.5807, rec_loss 0.1015, p_loss 0.5715, quant_error 0.4385, utilization 0.0005, perplexity 6.8691,
Train Epoch: [1/30] Iters:[300/1093] transplant_loss 73.9598, rec_loss 0.0995, p_loss 0.5679, quant_error 0.4383, utilization 0.0005, perplexity 6.9613,
Train Epoch: [1/30] Iters:[310/1093] transplant_loss 61.3716, rec_loss 0.0976, p_loss 0.5652, quant_error 0.4378, utilization 0.0005, perplexity 7.0697,
Train Epoch: [1/30] Iters:[320/1093] transplant_loss 52.8525, rec_loss 0.0936, p_loss 0.5627, quant_error 0.4349, utilization 0.0005, perplexity 7.3861,
Train Epoch: [1/30] Iters:[330/1093] transplant_loss 46.8234, rec_loss 0.0908, p_loss 0.5576, quant_error 0.4316, utilization 0.0005, perplexity 7.6155,
Train Epoch: [1/30] Iters:[340/1093] transplant_loss 41.7957, rec_loss 0.0882, p_loss 0.5504, quant_error 0.4279, utilization 0.0005, perplexity 7.8246,
Train Epoch: [1/30] Iters:[350/1093] transplant_loss 35.9126, rec_loss 0.0852, p_loss 0.5462, quant_error 0.4264, utilization 0.0005, perplexity 8.0508,
Train Epoch: [1/30] Iters:[360/1093] transplant_loss 32.5762, rec_loss 0.0827, p_loss 0.5418, quant_error 0.4256, utilization 0.0005, perplexity 8.3188,
Train Epoch: [1/30] Iters:[370/1093] transplant_loss 30.3143, rec_loss 0.0803, p_loss 0.5376, quant_error 0.4266, utilization 0.0005, perplexity 8.5208,
Train Epoch: [1/30] Iters:[380/1093] transplant_loss 27.8228, rec_loss 0.0775, p_loss 0.5345, quant_error 0.4264, utilization 0.0005, perplexity 8.7271,
Train Epoch: [1/30] Iters:[390/1093] transplant_loss 24.4079, rec_loss 0.0762, p_loss 0.5307, quant_error 0.4225, utilization 0.0005, perplexity 8.9142,
Train Epoch: [1/30] Iters:[400/1093] transplant_loss 21.9631, rec_loss 0.0752, p_loss 0.5283, quant_error 0.4228, utilization 0.0005, perplexity 9.0854,
Train Epoch: [1/30] Iters:[410/1093] transplant_loss 20.4931, rec_loss 0.0737, p_loss 0.5279, quant_error 0.4212, utilization 0.0005, perplexity 9.2316,
Train Epoch: [1/30] Iters:[420/1093] transplant_loss 19.8454, rec_loss 0.0733, p_loss 0.5277, quant_error 0.4198, utilization 0.0005, perplexity 9.3859,
Train Epoch: [1/30] Iters:[430/1093] transplant_loss 19.3889, rec_loss 0.0733, p_loss 0.5262, quant_error 0.4221, utilization 0.0005, perplexity 9.5052,
Train Epoch: [1/30] Iters:[440/1093] transplant_loss 18.8299, rec_loss 0.0725, p_loss 0.5251, quant_error 0.4254, utilization 0.0005, perplexity 9.6548,
Train Epoch: [1/30] Iters:[450/1093] transplant_loss 17.7101, rec_loss 0.0712, p_loss 0.5236, quant_error 0.4208, utilization 0.0005, perplexity 9.8408,
Train Epoch: [1/30] Iters:[460/1093] transplant_loss 16.8474, rec_loss 0.0705, p_loss 0.5211, quant_error 0.4198, utilization 0.0005, perplexity 10.0154,
Train Epoch: [1/30] Iters:[470/1093] transplant_loss 15.8954, rec_loss 0.0693, p_loss 0.5171, quant_error 0.4198, utilization 0.0005, perplexity 10.1853,
Train Epoch: [1/30] Iters:[480/1093] transplant_loss 14.5516, rec_loss 0.0680, p_loss 0.5150, quant_error 0.4164, utilization 0.0005, perplexity 10.4234,
Train Epoch: [1/30] Iters:[490/1093] transplant_loss 14.0962, rec_loss 0.0675, p_loss 0.5127, quant_error 0.4134, utilization 0.0005, perplexity 10.6558,
Train Epoch: [1/30] Iters:[500/1093] transplant_loss 13.7575, rec_loss 0.0673, p_loss 0.5114, quant_error 0.4193, utilization 0.0005, perplexity 10.9060,
Train Epoch: [1/30] Iters:[510/1093] transplant_loss 13.2504, rec_loss 0.0666, p_loss 0.5091, quant_error 0.4176, utilization 0.0005, perplexity 11.1592,
Train Epoch: [1/30] Iters:[520/1093] transplant_loss 12.9667, rec_loss 0.0664, p_loss 0.5072, quant_error 0.4150, utilization 0.0005, perplexity 11.4404,
Train Epoch: [1/30] Iters:[530/1093] transplant_loss 13.0020, rec_loss 0.0657, p_loss 0.5019, quant_error 0.4134, utilization 0.0005, perplexity 11.7331,
Train Epoch: [1/30] Iters:[540/1093] transplant_loss 12.1208, rec_loss 0.0647, p_loss 0.4976, quant_error 0.4119, utilization 0.0005, perplexity 11.9849,
Train Epoch: [1/30] Iters:[550/1093] transplant_loss 11.3134, rec_loss 0.0631, p_loss 0.4902, quant_error 0.4034, utilization 0.0005, perplexity 12.2227,
Train Epoch: [1/30] Iters:[560/1093] transplant_loss 11.0984, rec_loss 0.0630, p_loss 0.4863, quant_error 0.4049, utilization 0.0005, perplexity 12.4601,
Train Epoch: [1/30] Iters:[570/1093] transplant_loss 10.5768, rec_loss 0.0625, p_loss 0.4839, quant_error 0.4050, utilization 0.0005, perplexity 12.6329,
Train Epoch: [1/30] Iters:[580/1093] transplant_loss 10.3540, rec_loss 0.0625, p_loss 0.4836, quant_error 0.4037, utilization 0.0005, perplexity 12.7151,
Train Epoch: [1/30] Iters:[590/1093] transplant_loss 10.7416, rec_loss 0.0622, p_loss 0.4823, quant_error 0.4017, utilization 0.0005, perplexity 12.8716,
