dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_256_8_2
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: wasserstein_vq_transplant
saver_name_pre: wasserstein_vq_transplant_FFHQ_model_256_8_2_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 7.8604, rec_loss 0.3971, p_loss 0.8262, quant_error 0.9813, utilization 0.0442, perplexity 864.6478,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 14.7473, rec_loss 0.3227, p_loss 0.7828, quant_error 0.8017, utilization 0.0385, perplexity 530.4633,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 29.0719, rec_loss 0.2732, p_loss 0.7570, quant_error 0.7226, utilization 0.0312, perplexity 366.2662,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 36.3833, rec_loss 0.2433, p_loss 0.7383, quant_error 0.6667, utilization 0.0263, perplexity 279.0568,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 36.1081, rec_loss 0.2246, p_loss 0.7254, quant_error 0.6241, utilization 0.0235, perplexity 227.1367,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 43.3226, rec_loss 0.1723, p_loss 0.6964, quant_error 0.5187, utilization 0.0168, perplexity 58.2758,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 53.9555, rec_loss 0.1484, p_loss 0.6795, quant_error 0.4843, utilization 0.0119, perplexity 22.3419,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 60.6415, rec_loss 0.1378, p_loss 0.6675, quant_error 0.4606, utilization 0.0100, perplexity 17.9878,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 68.6749, rec_loss 0.1293, p_loss 0.6554, quant_error 0.4505, utilization 0.0089, perplexity 18.1256,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 77.4458, rec_loss 0.1193, p_loss 0.6409, quant_error 0.4454, utilization 0.0076, perplexity 18.8871,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 77.6788, rec_loss 0.1114, p_loss 0.6206, quant_error 0.4425, utilization 0.0066, perplexity 20.8626,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 68.8509, rec_loss 0.1038, p_loss 0.6037, quant_error 0.4390, utilization 0.0061, perplexity 25.2079,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 56.8578, rec_loss 0.0972, p_loss 0.5875, quant_error 0.4368, utilization 0.0062, perplexity 30.8951,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 44.6813, rec_loss 0.0917, p_loss 0.5729, quant_error 0.4327, utilization 0.0065, perplexity 37.6339,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 38.0136, rec_loss 0.0876, p_loss 0.5609, quant_error 0.4309, utilization 0.0071, perplexity 44.7358,
Train Epoch: [1/30] Iters:[160/1093] transplant_loss 35.5304, rec_loss 0.0840, p_loss 0.5528, quant_error 0.4279, utilization 0.0079, perplexity 52.4310,
