dataset_dir: /project/6105494/shared/data/
dataset_name: FFHQ
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
codebook_size: 65536
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
transplant_epochs: 30
refinement_epochs: 30
eval_epochs: 5
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/Transplant/FFHQ
results_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/results/Transplant/FFHQ
saver_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/saver/Transplant/FFHQ
reconstruction_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/reconstruction/Transplant/FFHQ
yaml_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/yaml/Transplant/FFHQ
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/checkpoint/
data_pre: FFHQ
model_pre: model_65536_16_1
loss_pre: loss_1.0_0.2_0.5_0.4
training_pre: wasserstein_vq_transplant
saver_name_pre: wasserstein_vq_transplant_FFHQ_model_65536_16_1_loss_1.0_0.2_0.5_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/Rate-Distortion-Perspective/VAR-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: FFHQ
len train_set: 70000
len val_set: 70000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/30] Iters:[10/1093] transplant_loss 8.1873, rec_loss 0.3947, p_loss 0.8020, quant_error 1.0181, utilization 0.0141, perplexity 389.5764,
Train Epoch: [1/30] Iters:[20/1093] transplant_loss 7.5812, rec_loss 0.2822, p_loss 0.7662, quant_error 0.7831, utilization 0.0107, perplexity 227.2259,
Train Epoch: [1/30] Iters:[30/1093] transplant_loss 6.8518, rec_loss 0.2257, p_loss 0.7288, quant_error 0.6605, utilization 0.0125, perplexity 209.2171,
Train Epoch: [1/30] Iters:[40/1093] transplant_loss 6.1690, rec_loss 0.1887, p_loss 0.6750, quant_error 0.5864, utilization 0.0162, perplexity 255.7483,
Train Epoch: [1/30] Iters:[50/1093] transplant_loss 5.6477, rec_loss 0.1626, p_loss 0.6249, quant_error 0.5363, utilization 0.0193, perplexity 321.5387,
Train Epoch: [1/30] Iters:[60/1093] transplant_loss 4.6380, rec_loss 0.0922, p_loss 0.5337, quant_error 0.3931, utilization 0.0236, perplexity 405.4150,
Train Epoch: [1/30] Iters:[70/1093] transplant_loss 3.8347, rec_loss 0.0651, p_loss 0.4464, quant_error 0.3413, utilization 0.0308, perplexity 611.3156,
Train Epoch: [1/30] Iters:[80/1093] transplant_loss 3.3803, rec_loss 0.0484, p_loss 0.3673, quant_error 0.3152, utilization 0.0376, perplexity 853.9185,
Train Epoch: [1/30] Iters:[90/1093] transplant_loss 3.2361, rec_loss 0.0379, p_loss 0.3110, quant_error 0.2989, utilization 0.0448, perplexity 1163.2413,
Train Epoch: [1/30] Iters:[100/1093] transplant_loss 3.2376, rec_loss 0.0311, p_loss 0.2698, quant_error 0.2863, utilization 0.0548, perplexity 1604.1665,
Train Epoch: [1/30] Iters:[110/1093] transplant_loss 3.3426, rec_loss 0.0269, p_loss 0.2415, quant_error 0.2803, utilization 0.0680, perplexity 2216.6474,
Train Epoch: [1/30] Iters:[120/1093] transplant_loss 3.4707, rec_loss 0.0241, p_loss 0.2220, quant_error 0.2750, utilization 0.0839, perplexity 3019.7528,
Train Epoch: [1/30] Iters:[130/1093] transplant_loss 3.5609, rec_loss 0.0227, p_loss 0.2090, quant_error 0.2704, utilization 0.1015, perplexity 3992.7424,
Train Epoch: [1/30] Iters:[140/1093] transplant_loss 3.5690, rec_loss 0.0216, p_loss 0.1994, quant_error 0.2643, utilization 0.1191, perplexity 5063.7355,
Train Epoch: [1/30] Iters:[150/1093] transplant_loss 3.5123, rec_loss 0.0206, p_loss 0.1919, quant_error 0.2579, utilization 0.1341, perplexity 6067.0769,
