dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: vanilla_vq_transplant_False
saver_name_pre: vanilla_vq_transplant_False_ImageNet_model_256_8_2_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 7.9873, rec_loss 0.5125, p_loss 0.7675, quant_error 1.1793, utilization 0.0439, perplexity 992.0838,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 7.7232, rec_loss 0.4234, p_loss 0.7492, quant_error 1.0205, utilization 0.0446, perplexity 802.8349,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 12.8870, rec_loss 0.3805, p_loss 0.7367, quant_error 0.9213, utilization 0.0408, perplexity 571.8540,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 27.1269, rec_loss 0.3562, p_loss 0.7334, quant_error 0.8664, utilization 0.0349, perplexity 432.1018,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 52.7931, rec_loss 0.3290, p_loss 0.7289, quant_error 0.8328, utilization 0.0303, perplexity 346.8533,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 91.8831, rec_loss 0.2649, p_loss 0.7128, quant_error 0.7284, utilization 0.0233, perplexity 149.3609,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 115.0314, rec_loss 0.2348, p_loss 0.7033, quant_error 0.6815, utilization 0.0165, perplexity 27.7640,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 126.2762, rec_loss 0.2133, p_loss 0.6943, quant_error 0.6654, utilization 0.0124, perplexity 7.0702,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 129.9091, rec_loss 0.1930, p_loss 0.6823, quant_error 0.6536, utilization 0.0114, perplexity 5.7907,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 121.4778, rec_loss 0.1850, p_loss 0.6747, quant_error 0.6413, utilization 0.0112, perplexity 5.8012,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 107.9144, rec_loss 0.1827, p_loss 0.6765, quant_error 0.6465, utilization 0.0113, perplexity 5.9782,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 112.1443, rec_loss 0.1851, p_loss 0.6763, quant_error 0.6511, utilization 0.0109, perplexity 6.0293,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 125.6042, rec_loss 0.1821, p_loss 0.6803, quant_error 0.6597, utilization 0.0101, perplexity 6.1917,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 134.1109, rec_loss 0.1768, p_loss 0.6832, quant_error 0.6492, utilization 0.0095, perplexity 6.8479,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 139.7766, rec_loss 0.1719, p_loss 0.6848, quant_error 0.6506, utilization 0.0092, perplexity 8.1868,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 141.0192, rec_loss 0.1665, p_loss 0.6801, quant_error 0.6393, utilization 0.0090, perplexity 10.0101,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 138.1827, rec_loss 0.1568, p_loss 0.6766, quant_error 0.6308, utilization 0.0089, perplexity 12.4011,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 130.5824, rec_loss 0.1516, p_loss 0.6724, quant_error 0.6166, utilization 0.0088, perplexity 15.4926,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 122.1751, rec_loss 0.1470, p_loss 0.6676, quant_error 0.6194, utilization 0.0086, perplexity 19.1743,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 108.9005, rec_loss 0.1421, p_loss 0.6609, quant_error 0.6147, utilization 0.0085, perplexity 23.3008,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 100.1644, rec_loss 0.1372, p_loss 0.6570, quant_error 0.6079, utilization 0.0083, perplexity 26.6479,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 90.8110, rec_loss 0.1325, p_loss 0.6536, quant_error 0.6095, utilization 0.0082, perplexity 30.0900,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 83.0509, rec_loss 0.1273, p_loss 0.6477, quant_error 0.6111, utilization 0.0081, perplexity 33.4690,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 77.3952, rec_loss 0.1245, p_loss 0.6457, quant_error 0.6135, utilization 0.0081, perplexity 36.6736,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 71.0927, rec_loss 0.1215, p_loss 0.6442, quant_error 0.6108, utilization 0.0083, perplexity 39.5365,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 57.1738, rec_loss 0.1185, p_loss 0.6421, quant_error 0.6072, utilization 0.0086, perplexity 43.7612,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 46.9261, rec_loss 0.1175, p_loss 0.6395, quant_error 0.6041, utilization 0.0090, perplexity 47.7839,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 41.8301, rec_loss 0.1163, p_loss 0.6382, quant_error 0.5964, utilization 0.0093, perplexity 51.3027,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 38.6977, rec_loss 0.1151, p_loss 0.6356, quant_error 0.5921, utilization 0.0097, perplexity 56.3375,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 36.0971, rec_loss 0.1154, p_loss 0.6339, quant_error 0.5966, utilization 0.0102, perplexity 63.1642,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 35.6637, rec_loss 0.1133, p_loss 0.6291, quant_error 0.5982, utilization 0.0106, perplexity 71.4510,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 33.3647, rec_loss 0.1114, p_loss 0.6263, quant_error 0.5998, utilization 0.0111, perplexity 79.8737,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 28.1735, rec_loss 0.1092, p_loss 0.6224, quant_error 0.6040, utilization 0.0116, perplexity 89.0205,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 22.7521, rec_loss 0.1064, p_loss 0.6180, quant_error 0.5981, utilization 0.0120, perplexity 97.7394,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 19.9882, rec_loss 0.1029, p_loss 0.6152, quant_error 0.5916, utilization 0.0123, perplexity 103.8460,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 17.5337, rec_loss 0.1016, p_loss 0.6123, quant_error 0.5940, utilization 0.0127, perplexity 110.4987,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 16.5202, rec_loss 0.0995, p_loss 0.6092, quant_error 0.5879, utilization 0.0130, perplexity 117.8251,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 15.9059, rec_loss 0.1004, p_loss 0.6096, quant_error 0.5880, utilization 0.0134, perplexity 128.5200,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 15.3156, rec_loss 0.0995, p_loss 0.6087, quant_error 0.5936, utilization 0.0139, perplexity 137.5214,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 14.5516, rec_loss 0.0986, p_loss 0.6032, quant_error 0.5849, utilization 0.0144, perplexity 149.0764,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 13.8575, rec_loss 0.0981, p_loss 0.6020, quant_error 0.5816, utilization 0.0149, perplexity 163.8313,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 12.8731, rec_loss 0.0965, p_loss 0.5991, quant_error 0.5763, utilization 0.0154, perplexity 178.4269,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 11.9959, rec_loss 0.0936, p_loss 0.5957, quant_error 0.5703, utilization 0.0158, perplexity 188.7679,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 11.2303, rec_loss 0.0934, p_loss 0.5933, quant_error 0.5690, utilization 0.0162, perplexity 200.7414,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 10.4276, rec_loss 0.0924, p_loss 0.5933, quant_error 0.5697, utilization 0.0166, perplexity 216.5263,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 10.0973, rec_loss 0.0915, p_loss 0.5899, quant_error 0.5635, utilization 0.0168, perplexity 225.5580,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 9.6180, rec_loss 0.0906, p_loss 0.5907, quant_error 0.5698, utilization 0.0171, perplexity 237.1269,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 9.1215, rec_loss 0.0905, p_loss 0.5884, quant_error 0.5689, utilization 0.0174, perplexity 251.8799,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 8.7520, rec_loss 0.0882, p_loss 0.5851, quant_error 0.5614, utilization 0.0176, perplexity 264.6305,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 8.6748, rec_loss 0.0873, p_loss 0.5817, quant_error 0.5614, utilization 0.0178, perplexity 274.2133,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 8.3759, rec_loss 0.0867, p_loss 0.5802, quant_error 0.5631, utilization 0.0180, perplexity 284.6260,
Train Epoch: [1/2] Iters:[520/20018] transplant_loss 8.1948, rec_loss 0.0864, p_loss 0.5736, quant_error 0.5524, utilization 0.0182, perplexity 296.7616,
Train Epoch: [1/2] Iters:[530/20018] transplant_loss 7.8612, rec_loss 0.0845, p_loss 0.5695, quant_error 0.5464, utilization 0.0184, perplexity 308.3724,
Train Epoch: [1/2] Iters:[540/20018] transplant_loss 7.5266, rec_loss 0.0846, p_loss 0.5679, quant_error 0.5425, utilization 0.0185, perplexity 318.1613,
Train Epoch: [1/2] Iters:[550/20018] transplant_loss 7.1695, rec_loss 0.0846, p_loss 0.5658, quant_error 0.5412, utilization 0.0187, perplexity 330.5064,
Train Epoch: [1/2] Iters:[560/20018] transplant_loss 6.9978, rec_loss 0.0827, p_loss 0.5625, quant_error 0.5359, utilization 0.0190, perplexity 345.4860,
Train Epoch: [1/2] Iters:[570/20018] transplant_loss 6.7951, rec_loss 0.0815, p_loss 0.5592, quant_error 0.5349, utilization 0.0192, perplexity 361.5636,
Train Epoch: [1/2] Iters:[580/20018] transplant_loss 6.6867, rec_loss 0.0814, p_loss 0.5556, quant_error 0.5351, utilization 0.0194, perplexity 377.5170,
Train Epoch: [1/2] Iters:[590/20018] transplant_loss 6.4757, rec_loss 0.0808, p_loss 0.5498, quant_error 0.5345, utilization 0.0196, perplexity 399.4403,
Train Epoch: [1/2] Iters:[600/20018] transplant_loss 6.2455, rec_loss 0.0795, p_loss 0.5442, quant_error 0.5284, utilization 0.0198, perplexity 420.2736,
Train Epoch: [1/2] Iters:[610/20018] transplant_loss 6.0658, rec_loss 0.0804, p_loss 0.5387, quant_error 0.5227, utilization 0.0199, perplexity 441.3964,
Train Epoch: [1/2] Iters:[620/20018] transplant_loss 5.9682, rec_loss 0.0800, p_loss 0.5340, quant_error 0.5211, utilization 0.0201, perplexity 461.1646,
Train Epoch: [1/2] Iters:[630/20018] transplant_loss 5.7520, rec_loss 0.0783, p_loss 0.5265, quant_error 0.5107, utilization 0.0202, perplexity 484.7139,
Train Epoch: [1/2] Iters:[640/20018] transplant_loss 5.5828, rec_loss 0.0772, p_loss 0.5189, quant_error 0.5036, utilization 0.0204, perplexity 506.6421,
Train Epoch: [1/2] Iters:[650/20018] transplant_loss 5.4457, rec_loss 0.0758, p_loss 0.5102, quant_error 0.4992, utilization 0.0205, perplexity 530.6519,
Train Epoch: [1/2] Iters:[660/20018] transplant_loss 5.3453, rec_loss 0.0726, p_loss 0.4998, quant_error 0.4926, utilization 0.0206, perplexity 548.4672,
Train Epoch: [1/2] Iters:[670/20018] transplant_loss 5.1914, rec_loss 0.0709, p_loss 0.4897, quant_error 0.4861, utilization 0.0208, perplexity 570.6685,
Train Epoch: [1/2] Iters:[680/20018] transplant_loss 5.2026, rec_loss 0.0720, p_loss 0.4818, quant_error 0.4827, utilization 0.0209, perplexity 582.9678,
Train Epoch: [1/2] Iters:[690/20018] transplant_loss 5.2469, rec_loss 0.0707, p_loss 0.4727, quant_error 0.4750, utilization 0.0209, perplexity 593.5731,
Train Epoch: [1/2] Iters:[700/20018] transplant_loss 5.3521, rec_loss 0.0695, p_loss 0.4631, quant_error 0.4715, utilization 0.0210, perplexity 603.8293,
Train Epoch: [1/2] Iters:[710/20018] transplant_loss 5.4021, rec_loss 0.0692, p_loss 0.4548, quant_error 0.4710, utilization 0.0212, perplexity 621.7284,
Train Epoch: [1/2] Iters:[720/20018] transplant_loss 5.5398, rec_loss 0.0680, p_loss 0.4450, quant_error 0.4655, utilization 0.0213, perplexity 630.6095,
Train Epoch: [1/2] Iters:[730/20018] transplant_loss 5.7296, rec_loss 0.0651, p_loss 0.4366, quant_error 0.4634, utilization 0.0214, perplexity 641.1638,
Train Epoch: [1/2] Iters:[740/20018] transplant_loss 5.9410, rec_loss 0.0643, p_loss 0.4292, quant_error 0.4676, utilization 0.0216, perplexity 652.4563,
