dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: lfq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16_2_2
loss_pre: loss_1.0_0.4
training_pre: lfq_transplant
saver_name_pre: lfq_transplant_ImageNet_model_16_2_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 5.2719, rec_loss 0.5220, p_loss 0.7819, quant_error 1.3884, utilization 0.0299, perplexity 1164.2696,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 3.9796, rec_loss 0.3502, p_loss 0.7454, quant_error 1.0802, utilization 0.0185, perplexity 613.1403,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 3.3945, rec_loss 0.2772, p_loss 0.7150, quant_error 0.9342, utilization 0.0141, perplexity 429.3319,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 3.0629, rec_loss 0.2377, p_loss 0.6931, quant_error 0.8542, utilization 0.0116, perplexity 334.7372,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 2.8562, rec_loss 0.2124, p_loss 0.6782, quant_error 0.8125, utilization 0.0100, perplexity 277.3159,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.1892, rec_loss 0.1288, p_loss 0.6440, quant_error 0.6564, utilization 0.0046, perplexity 53.4577,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 2.0237, rec_loss 0.1126, p_loss 0.6232, quant_error 0.6200, utilization 0.0037, perplexity 49.6387,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 1.9555, rec_loss 0.1066, p_loss 0.6132, quant_error 0.6129, utilization 0.0031, perplexity 45.4061,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 1.9148, rec_loss 0.1024, p_loss 0.6087, quant_error 0.6115, utilization 0.0027, perplexity 42.8936,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 1.8756, rec_loss 0.0993, p_loss 0.6053, quant_error 0.6017, utilization 0.0025, perplexity 40.6908,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 1.8587, rec_loss 0.0975, p_loss 0.6026, quant_error 0.6051, utilization 0.0022, perplexity 38.9484,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 1.8449, rec_loss 0.0969, p_loss 0.5985, quant_error 0.6043, utilization 0.0020, perplexity 38.0303,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 1.8285, rec_loss 0.0948, p_loss 0.5951, quant_error 0.6050, utilization 0.0019, perplexity 37.6031,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 1.7836, rec_loss 0.0908, p_loss 0.5880, quant_error 0.5902, utilization 0.0019, perplexity 37.8621,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 1.7656, rec_loss 0.0889, p_loss 0.5828, quant_error 0.5886, utilization 0.0019, perplexity 38.7393,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 1.7391, rec_loss 0.0870, p_loss 0.5766, quant_error 0.5787, utilization 0.0019, perplexity 40.0306,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 1.7195, rec_loss 0.0848, p_loss 0.5740, quant_error 0.5736, utilization 0.0019, perplexity 40.9987,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 1.6990, rec_loss 0.0838, p_loss 0.5674, quant_error 0.5640, utilization 0.0020, perplexity 42.7421,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 1.7065, rec_loss 0.0846, p_loss 0.5643, quant_error 0.5687, utilization 0.0020, perplexity 44.3208,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 1.6961, rec_loss 0.0838, p_loss 0.5597, quant_error 0.5653, utilization 0.0021, perplexity 45.9689,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 1.6810, rec_loss 0.0828, p_loss 0.5546, quant_error 0.5575, utilization 0.0021, perplexity 47.5795,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 1.6790, rec_loss 0.0826, p_loss 0.5493, quant_error 0.5588, utilization 0.0022, perplexity 49.6738,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 1.6697, rec_loss 0.0812, p_loss 0.5455, quant_error 0.5591, utilization 0.0022, perplexity 51.4663,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 1.6664, rec_loss 0.0809, p_loss 0.5413, quant_error 0.5596, utilization 0.0023, perplexity 53.6066,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 1.6558, rec_loss 0.0802, p_loss 0.5358, quant_error 0.5547, utilization 0.0024, perplexity 56.1347,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 1.6428, rec_loss 0.0790, p_loss 0.5307, quant_error 0.5502, utilization 0.0024, perplexity 58.8877,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 1.6275, rec_loss 0.0783, p_loss 0.5233, quant_error 0.5436, utilization 0.0025, perplexity 61.5156,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 1.6138, rec_loss 0.0773, p_loss 0.5171, quant_error 0.5356, utilization 0.0026, perplexity 64.2976,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 1.5966, rec_loss 0.0760, p_loss 0.5098, quant_error 0.5283, utilization 0.0026, perplexity 66.9035,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 1.5941, rec_loss 0.0756, p_loss 0.5052, quant_error 0.5282, utilization 0.0027, perplexity 69.5735,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 1.5889, rec_loss 0.0747, p_loss 0.5009, quant_error 0.5293, utilization 0.0028, perplexity 72.7940,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 1.5910, rec_loss 0.0744, p_loss 0.4983, quant_error 0.5301, utilization 0.0028, perplexity 75.7173,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 1.5966, rec_loss 0.0747, p_loss 0.4952, quant_error 0.5337, utilization 0.0029, perplexity 78.7221,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 1.5896, rec_loss 0.0740, p_loss 0.4908, quant_error 0.5295, utilization 0.0030, perplexity 82.0726,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 1.5752, rec_loss 0.0725, p_loss 0.4848, quant_error 0.5230, utilization 0.0030, perplexity 86.1145,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 1.5782, rec_loss 0.0723, p_loss 0.4809, quant_error 0.5229, utilization 0.0031, perplexity 90.2115,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 1.5637, rec_loss 0.0709, p_loss 0.4742, quant_error 0.5160, utilization 0.0032, perplexity 94.4297,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 1.5635, rec_loss 0.0712, p_loss 0.4677, quant_error 0.5121, utilization 0.0033, perplexity 99.6233,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 1.5623, rec_loss 0.0700, p_loss 0.4627, quant_error 0.5119, utilization 0.0034, perplexity 104.7750,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 1.5575, rec_loss 0.0697, p_loss 0.4563, quant_error 0.5060, utilization 0.0035, perplexity 109.9123,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 1.5480, rec_loss 0.0688, p_loss 0.4487, quant_error 0.5000, utilization 0.0036, perplexity 114.5873,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 1.5420, rec_loss 0.0678, p_loss 0.4437, quant_error 0.4930, utilization 0.0037, perplexity 119.9848,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 1.5279, rec_loss 0.0653, p_loss 0.4382, quant_error 0.4871, utilization 0.0039, perplexity 125.0142,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 1.5281, rec_loss 0.0652, p_loss 0.4336, quant_error 0.4852, utilization 0.0040, perplexity 130.0525,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 1.5202, rec_loss 0.0637, p_loss 0.4293, quant_error 0.4817, utilization 0.0041, perplexity 135.2227,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 1.5153, rec_loss 0.0632, p_loss 0.4240, quant_error 0.4759, utilization 0.0042, perplexity 141.4129,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 1.5205, rec_loss 0.0626, p_loss 0.4214, quant_error 0.4800, utilization 0.0044, perplexity 146.9542,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 1.5168, rec_loss 0.0621, p_loss 0.4175, quant_error 0.4772, utilization 0.0045, perplexity 153.0356,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 1.5069, rec_loss 0.0607, p_loss 0.4128, quant_error 0.4719, utilization 0.0047, perplexity 159.6634,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 1.5130, rec_loss 0.0608, p_loss 0.4100, quant_error 0.4719, utilization 0.0048, perplexity 165.2146,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 1.5177, rec_loss 0.0604, p_loss 0.4081, quant_error 0.4731, utilization 0.0050, perplexity 170.3766,
Train Epoch: [1/2] Iters:[520/20018] transplant_loss 1.4996, rec_loss 0.0595, p_loss 0.4013, quant_error 0.4626, utilization 0.0051, perplexity 176.6637,
Train Epoch: [1/2] Iters:[530/20018] transplant_loss 1.4895, rec_loss 0.0589, p_loss 0.3973, quant_error 0.4573, utilization 0.0053, perplexity 181.8800,
Train Epoch: [1/2] Iters:[540/20018] transplant_loss 1.4824, rec_loss 0.0584, p_loss 0.3933, quant_error 0.4535, utilization 0.0054, perplexity 186.7953,
Train Epoch: [1/2] Iters:[550/20018] transplant_loss 1.4753, rec_loss 0.0580, p_loss 0.3904, quant_error 0.4517, utilization 0.0055, perplexity 191.6358,
Train Epoch: [1/2] Iters:[560/20018] transplant_loss 1.4616, rec_loss 0.0568, p_loss 0.3873, quant_error 0.4470, utilization 0.0057, perplexity 196.0324,
Train Epoch: [1/2] Iters:[570/20018] transplant_loss 1.4608, rec_loss 0.0564, p_loss 0.3853, quant_error 0.4477, utilization 0.0058, perplexity 200.1709,
