dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
chunks: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_4_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_ImageNet_model_16384_8_4_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 8.1036, rec_loss 0.4449, p_loss 0.8218, quant_error 1.3528, utilization 0.0201, perplexity 105.7921,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 7.6160, rec_loss 0.3292, p_loss 0.7717, quant_error 1.0433, utilization 0.0144, perplexity 73.9740,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 6.7673, rec_loss 0.2620, p_loss 0.7318, quant_error 0.8813, utilization 0.0125, perplexity 67.5963,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 6.0851, rec_loss 0.2215, p_loss 0.6938, quant_error 0.7832, utilization 0.0118, perplexity 67.8561,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 5.5513, rec_loss 0.1919, p_loss 0.6489, quant_error 0.7150, utilization 0.0117, perplexity 70.7948,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 4.5193, rec_loss 0.1131, p_loss 0.5570, quant_error 0.5191, utilization 0.0110, perplexity 69.3043,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 3.6585, rec_loss 0.0788, p_loss 0.4737, quant_error 0.4417, utilization 0.0143, perplexity 85.0712,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 3.2573, rec_loss 0.0618, p_loss 0.4008, quant_error 0.4022, utilization 0.0193, perplexity 102.0800,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 3.1399, rec_loss 0.0500, p_loss 0.3411, quant_error 0.3782, utilization 0.0257, perplexity 121.9975,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 3.1496, rec_loss 0.0430, p_loss 0.3021, quant_error 0.3629, utilization 0.0336, perplexity 148.6438,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 3.2664, rec_loss 0.0410, p_loss 0.2845, quant_error 0.3647, utilization 0.0423, perplexity 184.3453,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 3.3775, rec_loss 0.0404, p_loss 0.2763, quant_error 0.3692, utilization 0.0510, perplexity 231.8805,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 3.4091, rec_loss 0.0394, p_loss 0.2712, quant_error 0.3696, utilization 0.0593, perplexity 294.2834,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 3.2784, rec_loss 0.0376, p_loss 0.2636, quant_error 0.3579, utilization 0.0673, perplexity 374.2625,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 3.1138, rec_loss 0.0368, p_loss 0.2564, quant_error 0.3435, utilization 0.0743, perplexity 467.0776,
