dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
chunks: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_4_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: mmd_vq_transplant_False
saver_name_pre: mmd_vq_transplant_False_ImageNet_model_256_8_4_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 7.9331, rec_loss 0.5177, p_loss 0.7669, quant_error 1.1633, utilization 0.4234, perplexity 27.6145,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 7.9379, rec_loss 0.4271, p_loss 0.7556, quant_error 1.0424, utilization 0.3344, perplexity 20.7445,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 10.4572, rec_loss 0.3766, p_loss 0.7440, quant_error 0.9349, utilization 0.2891, perplexity 16.7243,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 18.3774, rec_loss 0.3370, p_loss 0.7416, quant_error 0.8752, utilization 0.2564, perplexity 13.8620,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 25.4176, rec_loss 0.3067, p_loss 0.7382, quant_error 0.8443, utilization 0.2322, perplexity 12.0389,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 32.6621, rec_loss 0.2393, p_loss 0.7217, quant_error 0.7404, utilization 0.1708, perplexity 7.4882,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 39.4869, rec_loss 0.2068, p_loss 0.7071, quant_error 0.6798, utilization 0.1414, perplexity 5.7175,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 47.3015, rec_loss 0.1876, p_loss 0.6972, quant_error 0.6637, utilization 0.1197, perplexity 4.9639,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 53.3127, rec_loss 0.1783, p_loss 0.6849, quant_error 0.6526, utilization 0.1044, perplexity 4.9195,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 58.3630, rec_loss 0.1722, p_loss 0.6763, quant_error 0.6355, utilization 0.0924, perplexity 5.0675,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 64.2367, rec_loss 0.1650, p_loss 0.6728, quant_error 0.6404, utilization 0.0834, perplexity 5.3182,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 70.4557, rec_loss 0.1578, p_loss 0.6690, quant_error 0.6400, utilization 0.0775, perplexity 5.6846,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 72.0416, rec_loss 0.1471, p_loss 0.6656, quant_error 0.6419, utilization 0.0725, perplexity 6.1756,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 68.6797, rec_loss 0.1350, p_loss 0.6609, quant_error 0.6282, utilization 0.0695, perplexity 6.7164,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 61.7281, rec_loss 0.1273, p_loss 0.6531, quant_error 0.6270, utilization 0.0679, perplexity 7.2246,
