dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2_2
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_transplant_False
saver_name_pre: online_vq_transplant_False_ImageNet_model_256_8_2_2_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
VQ Model Parameters: 108761795
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 5.3372, rec_loss 0.3265, p_loss 0.7386, quant_error 1.2635, utilization 0.0472, perplexity 1238.4540,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 4.4229, rec_loss 0.2328, p_loss 0.6923, quant_error 1.0236, utilization 0.0465, perplexity 1095.1562,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 3.9531, rec_loss 0.1860, p_loss 0.6441, quant_error 0.8876, utilization 0.0497, perplexity 1200.8383,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 3.6916, rec_loss 0.1611, p_loss 0.6116, quant_error 0.8124, utilization 0.0524, perplexity 1305.6695,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 3.4935, rec_loss 0.1434, p_loss 0.5836, quant_error 0.7589, utilization 0.0556, perplexity 1434.6280,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 2.9372, rec_loss 0.0908, p_loss 0.5217, quant_error 0.6076, utilization 0.0611, perplexity 1641.7221,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 2.7235, rec_loss 0.0742, p_loss 0.4713, quant_error 0.5461, utilization 0.0679, perplexity 1983.4961,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 2.6209, rec_loss 0.0669, p_loss 0.4368, quant_error 0.5176, utilization 0.0744, perplexity 2335.8025,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 2.5376, rec_loss 0.0601, p_loss 0.4045, quant_error 0.4920, utilization 0.0810, perplexity 2740.8784,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 2.4717, rec_loss 0.0552, p_loss 0.3767, quant_error 0.4677, utilization 0.0872, perplexity 3153.4012,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 2.4332, rec_loss 0.0521, p_loss 0.3549, quant_error 0.4496, utilization 0.0928, perplexity 3556.0400,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 2.3907, rec_loss 0.0494, p_loss 0.3361, quant_error 0.4301, utilization 0.0978, perplexity 3909.2979,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 2.3403, rec_loss 0.0470, p_loss 0.3202, quant_error 0.4114, utilization 0.1014, perplexity 4181.2701,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 2.2582, rec_loss 0.0438, p_loss 0.3058, quant_error 0.3869, utilization 0.1034, perplexity 4339.1235,
