dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: bsq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-bsq_transplant_ImageNet_model_16_2_2_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16_2_2
loss_pre: loss_1.0_0.4
training_pre: bsq_refinement
saver_name_pre: bsq_refinement_ImageNet_model_16_2_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.0488, rec_loss 0.0231, lpips_loss 0.1850, g_loss -0.0387, disc_weight 0.4000, disc_adaptive_weight 3.8193, d_loss 2.4421, logits_real -0.0193, logits_fake 0.0413,
Train Epoch: [1/5] Iters:[20/20018] gen_loss 0.0001, rec_loss 0.0250, lpips_loss 0.1889, g_loss -0.0498, disc_weight 0.4000, disc_adaptive_weight 4.1504, d_loss 2.1795, logits_real -0.0140, logits_fake 0.0505,
Train Epoch: [1/5] Iters:[30/20018] gen_loss 0.0262, rec_loss 0.0250, lpips_loss 0.1904, g_loss -0.0451, disc_weight 0.4000, disc_adaptive_weight 4.0280, d_loss 1.9855, logits_real -0.0141, logits_fake 0.0477,
Train Epoch: [1/5] Iters:[40/20018] gen_loss 0.0611, rec_loss 0.0258, lpips_loss 0.1915, g_loss -0.0390, disc_weight 0.4000, disc_adaptive_weight 3.7180, d_loss 1.8419, logits_real -0.0142, logits_fake 0.0412,
Train Epoch: [1/5] Iters:[50/20018] gen_loss 0.0948, rec_loss 0.0263, lpips_loss 0.1929, g_loss -0.0310, disc_weight 0.4000, disc_adaptive_weight 3.5248, d_loss 1.7227, logits_real -0.0145, logits_fake 0.0325,
Train Epoch: [1/5] Iters:[60/20018] gen_loss 0.1364, rec_loss 0.0270, lpips_loss 0.1931, g_loss -0.0209, disc_weight 0.4000, disc_adaptive_weight 3.5301, d_loss 1.4596, logits_real -0.0139, logits_fake 0.0218,
Train Epoch: [1/5] Iters:[70/20018] gen_loss 0.1933, rec_loss 0.0266, lpips_loss 0.1923, g_loss -0.0075, disc_weight 0.4000, disc_adaptive_weight 3.3546, d_loss 1.2811, logits_real -0.0149, logits_fake 0.0085,
Train Epoch: [1/5] Iters:[80/20018] gen_loss 0.2266, rec_loss 0.0272, lpips_loss 0.1920, g_loss 0.0014, disc_weight 0.4000, disc_adaptive_weight 3.1773, d_loss 1.1548, logits_real -0.0150, logits_fake -0.0018,
Train Epoch: [1/5] Iters:[90/20018] gen_loss 0.2418, rec_loss 0.0271, lpips_loss 0.1908, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 3.1462, d_loss 1.0558, logits_real -0.0152, logits_fake -0.0081,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.2478, rec_loss 0.0268, lpips_loss 0.1892, g_loss 0.0101, disc_weight 0.4000, disc_adaptive_weight 3.2069, d_loss 0.9772, logits_real -0.0152, logits_fake -0.0104,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.2490, rec_loss 0.0273, lpips_loss 0.1907, g_loss 0.0099, disc_weight 0.4000, disc_adaptive_weight 3.1473, d_loss 0.9186, logits_real -0.0146, logits_fake -0.0104,
