dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 16
pq: 1
L: 2
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: lfq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-lfq_transplant_ImageNet_model_16_2_2_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16_2_2
loss_pre: loss_1.0_0.4
training_pre: lfq_refinement
saver_name_pre: lfq_refinement_ImageNet_model_16_2_2_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss -0.2844, rec_loss 0.0258, lpips_loss 0.2113, g_loss -0.0665, disc_weight 0.4000, disc_adaptive_weight 6.6618, d_loss 2.4385, logits_real -0.0194, logits_fake 0.0730,
Train Epoch: [1/5] Iters:[20/20018] gen_loss -0.8624, rec_loss 0.0304, lpips_loss 0.2316, g_loss -0.1153, disc_weight 0.4000, disc_adaptive_weight 8.5245, d_loss 2.1692, logits_real -0.0141, logits_fake 0.1164,
Train Epoch: [1/5] Iters:[30/20018] gen_loss -1.1388, rec_loss 0.0335, lpips_loss 0.2483, g_loss -0.1279, disc_weight 0.4000, disc_adaptive_weight 10.0860, d_loss 1.9659, logits_real -0.0143, logits_fake 0.1328,
Train Epoch: [1/5] Iters:[40/20018] gen_loss -1.1234, rec_loss 0.0369, lpips_loss 0.2606, g_loss -0.1239, disc_weight 0.4000, disc_adaptive_weight 10.7466, d_loss 1.8119, logits_real -0.0145, logits_fake 0.1290,
Train Epoch: [1/5] Iters:[50/20018] gen_loss -0.9825, rec_loss 0.0389, lpips_loss 0.2700, g_loss -0.1150, disc_weight 0.4000, disc_adaptive_weight 10.5239, d_loss 1.6882, logits_real -0.0147, logits_fake 0.1194,
Train Epoch: [1/5] Iters:[60/20018] gen_loss -0.9677, rec_loss 0.0414, lpips_loss 0.2802, g_loss -0.1130, disc_weight 0.4000, disc_adaptive_weight 11.0112, d_loss 1.4181, logits_real -0.0140, logits_fake 0.1157,
Train Epoch: [1/5] Iters:[70/20018] gen_loss -0.6846, rec_loss 0.0407, lpips_loss 0.2784, g_loss -0.0899, disc_weight 0.4000, disc_adaptive_weight 10.1351, d_loss 1.2384, logits_real -0.0148, logits_fake 0.0934,
Train Epoch: [1/5] Iters:[80/20018] gen_loss -0.3187, rec_loss 0.0391, lpips_loss 0.2681, g_loss -0.0644, disc_weight 0.4000, disc_adaptive_weight 8.4670, d_loss 1.1156, logits_real -0.0145, logits_fake 0.0656,
Train Epoch: [1/5] Iters:[90/20018] gen_loss -0.0617, rec_loss 0.0357, lpips_loss 0.2525, g_loss -0.0443, disc_weight 0.4000, disc_adaptive_weight 6.6178, d_loss 1.0256, logits_real -0.0142, logits_fake 0.0448,
Train Epoch: [1/5] Iters:[100/20018] gen_loss 0.0668, rec_loss 0.0320, lpips_loss 0.2342, g_loss -0.0299, disc_weight 0.4000, disc_adaptive_weight 5.2902, d_loss 0.9551, logits_real -0.0137, logits_fake 0.0301,
Train Epoch: [1/5] Iters:[110/20018] gen_loss 0.1544, rec_loss 0.0305, lpips_loss 0.2251, g_loss -0.0198, disc_weight 0.4000, disc_adaptive_weight 4.2143, d_loss 0.9023, logits_real -0.0127, logits_fake 0.0201,
